dv,model,b1,b2,turning_point,tp_ci_low,tp_ci_high,tp_in_range,x_min,x_max,h3_main_exploratory_support
log1p_engagement_total,primary_raw,-1.4598,2.5539,0.2858,-0.2814,0.853,True,0.0,0.3377,H3main_불지지
log1p_engagement_favorite_retweet,primary_raw,-1.2461,2.4041,0.2592,-0.22,0.7384,True,0.0,0.3377,H3main_불지지
log1p_favorite_count,primary_raw,-1.8801,1.4932,0.6295,-4.4516,5.7107,False,0.0,0.3377,H3main_불지지
log1p_retweet_count,primary_raw,-2.4857,5.2683,0.2359,0.0574,0.4144,True,0.0,0.3377,H3main_불지지
log1p_reply_count,primary_raw,-1.7449,-0.1391,-6.2712,-667.1377,654.5953,False,0.0,0.3377,H3main_불지지
log1p_quote_count,primary_raw,-4.0658,6.5645,0.3097,0.0266,0.5928,True,0.0,0.3377,H3main_불지지
log1p_bookmark_count,primary_raw,-12.5052,23.431,0.2669,0.2163,0.3174,True,0.0,0.3377,H3main_불지지
log1p_view_count,primary_raw,-53.8098,91.4798,0.2941,0.2379,0.3503,True,0.0,0.3377,H3main_불지지
log1p_engagement_total,share_robustness,-1.0942,0.5899,0.9275,-1.628,3.483,True,0.0,1.0,H3main_불지지
log1p_engagement_favorite_retweet,share_robustness,-0.9446,0.3935,1.2002,-4.7175,7.118,False,0.0,1.0,H3main_불지지
log1p_favorite_count,share_robustness,-1.9403,1.332,0.7284,-0.1107,1.5674,True,0.0,1.0,H3main_불지지
log1p_retweet_count,share_robustness,-1.6639,1.802,0.4617,0.2617,0.6617,True,0.0,1.0,H3main_불지지
log1p_reply_count,share_robustness,-2.5234,1.964,0.6424,0.2981,0.9867,True,0.0,1.0,H3main_불지지
log1p_quote_count,share_robustness,-3.1429,2.7715,0.567,0.3651,0.7689,True,0.0,1.0,H3main_불지지
log1p_bookmark_count,share_robustness,-5.2378,6.7166,0.3899,0.3383,0.4415,True,0.0,1.0,H3main_불지지
log1p_view_count,share_robustness,-29.4296,49.5381,0.297,0.2661,0.328,True,0.0,1.0,H3main_불지지
log1p_engagement_total,frequency_robustness,-0.07154,0.002103,17.01,nan,nan,True,0.0,26.0,H3main_불지지
log1p_engagement_favorite_retweet,frequency_robustness,-0.061817,0.001854,16.67,nan,nan,True,0.0,26.0,H3main_불지지
log1p_favorite_count,frequency_robustness,-0.067288,0.001983,16.97,nan,nan,True,0.0,26.0,H3main_불지지
log1p_retweet_count,frequency_robustness,-0.103109,0.002659,19.39,nan,nan,True,0.0,26.0,H3main_불지지
log1p_reply_count,frequency_robustness,-0.105097,0.002882,18.23,nan,nan,True,0.0,26.0,H3main_불지지
log1p_quote_count,frequency_robustness,-0.102016,0.002875,17.74,nan,nan,True,0.0,26.0,H3main_불지지
log1p_bookmark_count,frequency_robustness,-0.240741,0.006284,19.16,nan,nan,True,0.0,26.0,H3main_불지지
log1p_view_count,frequency_robustness,-1.464867,0.036133,20.27,nan,nan,True,0.0,26.0,H3main_불지지
log1p_engagement_total,other_humor_robustness,1.8261,-1.6771,0.5444,0.0388,1.05,True,0.0,0.6667,약한_탐색적_지지(tp_in_range)
log1p_engagement_favorite_retweet,other_humor_robustness,2.2521,-2.1637,0.5204,0.1663,0.8745,True,0.0,0.6667,약한_탐색적_지지(tp_in_range)
log1p_favorite_count,other_humor_robustness,1.8465,-1.59,0.5807,-0.1567,1.318,True,0.0,0.6667,약한_탐색적_지지(tp_in_range)
log1p_retweet_count,other_humor_robustness,0.2459,-0.5999,0.2049,-1.1189,1.5288,True,0.0,0.6667,약한_탐색적_지지(tp_in_range)
log1p_reply_count,other_humor_robustness,-1.1522,2.5901,0.2224,-0.0373,0.4821,True,0.0,0.6667,H3main_불지지
log1p_quote_count,other_humor_robustness,-0.4741,1.5575,0.1522,-0.515,0.8194,True,0.0,0.6667,H3main_불지지
log1p_bookmark_count,other_humor_robustness,-3.763,2.1725,0.8661,-0.1002,1.8323,False,0.0,0.6667,H3main_불지지
log1p_view_count,other_humor_robustness,-64.1755,53.0977,0.6043,0.5546,0.654,True,0.0,0.6667,H3main_불지지
