dv,model_name,n_obs,iv,intercept,beta_log1p_p_humor_tfidf_logreg_human,standard_error,t_value,p_value,ci_lower_95,ci_upper_95,r_squared,adj_r_squared,direction,h1_interpretation,notes
log1p_engagement_total,Simple OLS,978,log1p_p_humor_tfidf_logreg_human,4.726837,6.679812,1.392952,4.7954,0.000002,5.831824,9.413337,0.023019,0.022018,positive,H1 예비적 지지,단순 OLS; 통제변수 없음; FE 없음; 표준 SE; IV=log1p_p_humor_tfidf_logreg_human
log1p_engagement_favorite_retweet,Simple OLS,978,log1p_p_humor_tfidf_logreg_human,4.630890,6.596538,1.413529,4.6667,0.000003,5.752200,9.370444,0.021827,0.020825,positive,H1 예비적 지지,단순 OLS; 통제변수 없음; FE 없음; 표준 SE; IV=log1p_p_humor_tfidf_logreg_human
log1p_favorite_count,Simple OLS,978,log1p_p_humor_tfidf_logreg_human,3.908793,7.916023,1.644817,4.8127,0.000002,5.213577,11.143808,0.023182,0.022181,positive,H1 예비적 지지,단순 OLS; 통제변수 없음; FE 없음; 표준 SE; IV=log1p_p_humor_tfidf_logreg_human
log1p_retweet_count,Simple OLS,978,log1p_p_humor_tfidf_logreg_human,2.852016,4.019080,1.438134,2.7946,0.005297,3.992844,6.841270,0.007939,0.006922,positive,H1 예비적 지지,단순 OLS; 통제변수 없음; FE 없음; 표준 SE; IV=log1p_p_humor_tfidf_logreg_human
log1p_reply_count,Simple OLS,978,log1p_p_humor_tfidf_logreg_human,1.809385,6.921235,1.312421,5.2736,0.000000,2.850490,9.496728,0.027706,0.026709,positive,H1 예비적 지지,단순 OLS; 통제변수 없음; FE 없음; 표준 SE; IV=log1p_p_humor_tfidf_logreg_human
log1p_quote_count,Simple OLS,978,log1p_p_humor_tfidf_logreg_human,2.124660,1.934285,1.498778,1.2906,0.197157,3.313595,4.875483,0.001704,0.000681,positive,H1 방향성 지지,단순 OLS; 통제변수 없음; FE 없음; 표준 SE; IV=log1p_p_humor_tfidf_logreg_human
log1p_bookmark_count,Simple OLS,978,log1p_p_humor_tfidf_logreg_human,1.785653,2.091632,1.392002,1.5026,0.133264,2.889886,4.823293,0.002308,0.001286,positive,H1 방향성 지지,단순 OLS; 통제변수 없음; FE 없음; 표준 SE; IV=log1p_p_humor_tfidf_logreg_human
