metric,value
total_rows_in_source,978
filtered_rows,960
filtered_quarters,25
primary_predictor,aggressive_humor_proportion_quarter_loo
primary_predictor_min,0.0
primary_predictor_max,0.3377
primary_predictor_mean,0.2062
primary_predictor_sd,0.0703
primary_predictor_missing,0
primary_dv,log1p_engagement_total
primary_beta1,-1.4598
primary_beta1_sign,negative
primary_beta2,2.5539
primary_beta2_sign,positive
primary_p_linear,0.653
primary_p_quadratic,0.7388
primary_turning_point,0.2858
primary_turning_point_in_range,True
primary_turning_point_ci_low,-0.2814
primary_turning_point_ci_high,0.853
primary_r_squared,0.0004
primary_h3_main_support,H3main_불지지
centered_beta2,2.5539
share_robustness_beta2,0.5899
share_robustness_support,H3main_불지지
frequency_robustness_beta2,0.002103
frequency_robustness_support,H3main_불지지
other_humor_robustness_beta2,-1.6771
other_humor_robustness_support,약한_탐색적_지지(tp_in_range)
period_level_beta2,-4.773
period_level_support,약한_탐색적_지지(tp_in_range)
quarter_fixed_effects_used,False
h3_pre_general_proportion_supported,False
analysis_type,exploratory_h3_main
original_posts_json_modified,False
