dv,model,n_obs,sample,iv,intercept,beta_aggressive,se_aggressive,t_aggressive,p_aggressive,sig_aggressive,ci_aggressive_lo,ci_aggressive_hi,beta_other,se_other,t_other,p_other,sig_other,ci_other_lo,ci_other_hi,beta1_vs_beta2,r_squared,adj_r_squared,h2_interpretation
log1p_engagement_total,Multi-dummy OLS (full labeled),597,labeled (n=597),aggressive_humor + other_humor (ref=non-humor),7.269567,1.142836,0.206118,5.5446,0.000000,***,0.738028,1.547644,0.241918,0.153028,1.5809,0.114440,n.s.,-0.058624,0.542461,+0.900917,0.049274,0.046073,H2 예비적 지지
log1p_engagement_favorite_retweet,Multi-dummy OLS (full labeled),597,labeled (n=597),aggressive_humor + other_humor (ref=non-humor),7.123593,1.157565,0.209861,5.5159,0.000000,***,0.745405,1.569725,0.254643,0.155808,1.6343,0.102716,n.s.,-0.051358,0.560644,+0.902922,0.048755,0.045552,H2 예비적 지지
log1p_favorite_count,Multi-dummy OLS (full labeled),597,labeled (n=597),aggressive_humor + other_humor (ref=non-humor),6.929289,1.281883,0.232599,5.5111,0.000000,***,0.825066,1.738700,0.340107,0.172690,1.9695,0.049363,*,0.000951,0.679263,+0.941776,0.048714,0.045511,H2 예비적 지지
log1p_retweet_count,Multi-dummy OLS (full labeled),597,labeled (n=597),aggressive_humor + other_humor (ref=non-humor),4.423613,1.039269,0.208646,4.9810,0.000001,***,0.629496,1.449042,0.033567,0.154906,0.2167,0.828520,n.s.,-0.270662,0.337796,+1.005701,0.043379,0.040158,H2 예비적 지지
log1p_reply_count,Multi-dummy OLS (full labeled),597,labeled (n=597),aggressive_humor + other_humor (ref=non-humor),4.539973,0.849481,0.186483,4.5553,0.000006,***,0.483235,1.215726,0.252797,0.138451,1.8259,0.068368,†,-0.019116,0.524710,+0.596684,0.033988,0.030735,H2 예비적 지지
log1p_quote_count,Multi-dummy OLS (full labeled),597,labeled (n=597),aggressive_humor + other_humor (ref=non-humor),2.888924,1.071735,0.220437,4.8619,0.000001,***,0.638804,1.504666,0.058069,0.163660,0.3548,0.722855,n.s.,-0.263353,0.379491,+1.013666,0.040782,0.037552,H2 예비적 지지
log1p_bookmark_count,Multi-dummy OLS (full labeled),597,labeled (n=597),aggressive_humor + other_humor (ref=non-humor),3.035728,0.310274,0.211932,1.4640,0.143716,n.s.,-0.105953,0.726501,-0.381933,0.157345,-2.4274,0.015506,*,-0.690954,-0.072912,+0.692207,0.018988,0.015685,H2 방향성 지지
