model_name,included_time_fe,human_n,human_beta,human_p,human_flag,full_binary_n,full_binary_beta,full_binary_p,full_binary_flag,full_probability_n,full_probability_beta,full_probability_p,full_probability_flag
M0_baseline,none,597,0.5043,0.0004,supports_H1,978,0.5008,0.0,supports_H1,978,1.2367,0.0005,supports_H1
M1_year_fe,year_FE,597,0.3442,0.02,supports_H1,978,0.4207,0.0003,supports_H1,978,0.9511,0.0086,supports_H1
M2_month_fe,month_FE,597,0.4348,0.002,supports_H1,978,0.5085,0.0,supports_H1,978,1.2042,0.0005,supports_H1
M3_hour_fe,hour_FE,597,0.4991,0.0006,supports_H1,978,0.5027,0.0,supports_H1,978,1.2295,0.0005,supports_H1
M4_year_month_fe,year_FE+month_FE,597,0.2848,0.0522,weak_support,978,0.443,0.0001,supports_H1,978,0.965,0.0065,supports_H1
M5_year_hour_fe,year_FE+hour_FE,597,0.3726,0.0137,supports_H1,978,0.4368,0.0002,supports_H1,978,1.0381,0.0042,supports_H1
M6_month_hour_fe,month_FE+hour_FE,597,0.4395,0.0022,supports_H1,978,0.5182,0.0,supports_H1,978,1.2175,0.0004,supports_H1
M7_year_month_hour_fe,year_FE+month_FE+hour_FE,597,0.3306,0.0283,supports_H1,978,0.4677,0.0,supports_H1,978,1.0666,0.0027,supports_H1
