"dv","contrast","estimate","std_error","t_value","p_value","significance","interpretation"
"log1p_engagement_total","aggressive - self-enhancing","0.8576","0.2650","3.2368","0.0014","**","positive, p<.05"
"log1p_engagement_total","aggressive - self-defeating","0.2045","0.4509","0.4535","0.6506","","positive"
"log1p_engagement_total","self-enhancing - self-defeating","-0.6532","0.4670","-1.3987","0.1630","","negative_or_zero"
"log1p_engagement_favorite_retweet","aggressive - self-enhancing","0.8776","0.2706","3.2434","0.0013","**","positive, p<.05"
"log1p_engagement_favorite_retweet","aggressive - self-defeating","0.1523","0.4605","0.3307","0.7411","","positive"
"log1p_engagement_favorite_retweet","self-enhancing - self-defeating","-0.7253","0.4769","-1.5210","0.1294","","negative_or_zero"
"log1p_favorite_count","aggressive - self-enhancing","0.8608","0.2886","2.9833","0.0031","**","positive, p<.05"
"log1p_favorite_count","aggressive - self-defeating","0.4315","0.4910","0.8788","0.3803","","positive"
"log1p_favorite_count","self-enhancing - self-defeating","-0.4293","0.5085","-0.8442","0.3993","","negative_or_zero"
"log1p_retweet_count","aggressive - self-enhancing","1.1851","0.2820","4.2026","0.0000","***","positive, p<.05"
"log1p_retweet_count","aggressive - self-defeating","0.1180","0.4799","0.2460","0.8059","","positive"
"log1p_retweet_count","self-enhancing - self-defeating","-1.0671","0.4970","-2.1471","0.0327","*","negative_or_zero"
"log1p_reply_count","aggressive - self-enhancing","0.2853","0.2356","1.2113","0.2268","","positive"
"log1p_reply_count","aggressive - self-defeating","0.4681","0.4009","1.1677","0.2439","","positive"
"log1p_reply_count","self-enhancing - self-defeating","0.1828","0.4151","0.4402","0.6601","","positive"
"log1p_quote_count","aggressive - self-enhancing","0.8166","0.2978","2.7422","0.0065","**","positive, p<.05"
"log1p_quote_count","aggressive - self-defeating","0.4631","0.5068","0.9138","0.3616","","positive"
"log1p_quote_count","self-enhancing - self-defeating","-0.3535","0.5248","-0.6736","0.5011","","negative_or_zero"
"log1p_bookmark_count","aggressive - self-enhancing","0.9944","0.2599","3.8259","0.0002","***","positive, p<.05"
"log1p_bookmark_count","aggressive - self-defeating","0.5002","0.4423","1.1309","0.2591","","positive"
"log1p_bookmark_count","self-enhancing - self-defeating","-0.4942","0.4581","-1.0788","0.2816","","negative_or_zero"
"log1p_view_count","aggressive - self-enhancing","0.9617","0.9001","1.0684","0.2863","","positive"
"log1p_view_count","aggressive - self-defeating","1.6884","1.5318","1.1022","0.2713","","positive"
"log1p_view_count","self-enhancing - self-defeating","0.7267","1.5864","0.4581","0.6473","","positive"
