metric,value
model_based_humor_only_n,564
model_based_aggressive_n,200
model_based_other_humor_n,364
human_validation_n,278
human_aggressive_n,95
human_other_humor_n,183
non_humor_in_mb_sample,0
non_humor_in_hv_sample,0
sample_reduced_by_missing,no
rank_deficient_any,False
log1p_view_count_used,False
time_fe_used,False
post_format_controls_used,False
year_quarter_fe_used,False
new_vars_created,False
H1_performed,False
H3_performed,False
original_posts_json_modified,False
mb_primary_dv_agg_mean,7.9281
mb_primary_dv_other_mean,7.4597
mb_primary_dv_mean_diff,0.4684
mb_primary_dv_beta,0.4684
mb_primary_dv_p,0.0021
mb_primary_dv_welch_t,3.0016
mb_primary_dv_welch_p,0.0029
mb_primary_dv_flag,supports_H2
hv_primary_dv_agg_mean,8.3411
hv_primary_dv_other_mean,7.6338
hv_primary_dv_mean_diff,0.7074
hv_primary_dv_beta,0.7074
hv_primary_dv_p,0.0007
hv_primary_dv_welch_t,3.2896
hv_primary_dv_welch_p,0.0012
hv_primary_dv_flag,supports_H2
