period,period_type,total_posts,humor_posts,non_humor_posts,humor_frequency,humor_proportion,mean_p_humor,median_p_humor,mean_log1p_engagement_total,median_log1p_engagement_total,min_created_date,max_created_date
2009-11,month,1,1,0,1,1.0,0.525364,0.525364,7.3297,7.3297,2009-11-26,2009-11-26
2019-11,month,11,4,7,4,0.363636,0.466918,0.447683,7.4672,8.0193,2019-11-16,2019-11-30
2019-12,month,17,10,7,10,0.588235,0.521772,0.562565,8.3914,9.0018,2019-12-05,2019-12-29
2020-01,month,13,9,4,9,0.692308,0.520073,0.563459,9.7552,9.5086,2020-01-02,2020-01-27
2020-02,month,19,13,6,13,0.684211,0.528348,0.586882,9.4939,9.3082,2020-02-04,2020-02-29
2020-03,month,18,10,8,10,0.555556,0.522405,0.504189,8.1707,8.0754,2020-03-01,2020-03-27
2020-04,month,50,37,13,37,0.74,0.581214,0.613631,6.7807,7.0357,2020-04-01,2020-04-30
2020-05,month,49,32,17,32,0.653061,0.531285,0.546195,6.9737,6.48,2020-05-01,2020-05-29
2020-06,month,11,9,2,9,0.818182,0.570383,0.581657,8.2407,7.7035,2020-06-03,2020-06-25
2020-07,month,19,12,7,12,0.631579,0.531286,0.560209,6.7159,7.1693,2020-07-01,2020-07-30
2020-08,month,30,20,10,20,0.666667,0.554983,0.597977,8.2465,8.0114,2020-08-03,2020-08-31
2020-09,month,16,11,5,11,0.6875,0.524262,0.534911,7.5883,7.213,2020-09-01,2020-09-28
2020-10,month,24,14,10,14,0.583333,0.518153,0.537836,8.3849,7.9905,2020-10-06,2020-10-29
2020-11,month,14,9,5,9,0.642857,0.551256,0.541276,7.8593,7.566,2020-11-09,2020-11-28
2020-12,month,18,12,6,12,0.666667,0.571056,0.595199,7.0942,6.7391,2020-12-01,2020-12-26
2021-01,month,6,3,3,3,0.5,0.487628,0.52668,7.1766,7.0837,2021-01-06,2021-01-30
2021-02,month,38,27,11,27,0.710526,0.589349,0.63868,8.0548,8.4498,2021-02-01,2021-02-26
2021-03,month,34,21,13,21,0.617647,0.488595,0.534303,7.1393,6.9167,2021-03-04,2021-03-31
2021-04,month,19,11,8,11,0.578947,0.523112,0.532398,6.796,6.3784,2021-04-01,2021-04-30
2021-05,month,8,4,4,4,0.5,0.515439,0.483712,7.8346,7.6332,2021-05-05,2021-05-27
2021-06,month,21,9,12,9,0.428571,0.497594,0.474889,8.4898,8.7789,2021-06-03,2021-06-29
2021-07,month,12,11,1,11,0.916667,0.615444,0.641177,7.2297,7.495,2021-07-06,2021-07-26
2021-08,month,13,12,1,12,0.923077,0.590186,0.629397,7.3235,7.4372,2021-08-06,2021-08-31
2021-09,month,18,13,5,13,0.722222,0.580058,0.634405,6.8241,6.7997,2021-09-01,2021-09-28
2021-10,month,12,12,0,12,1.0,0.668108,0.668795,8.8807,8.6257,2021-10-04,2021-10-29
2021-11,month,9,6,3,6,0.666667,0.512784,0.549521,7.6283,7.3834,2021-11-01,2021-11-24
2021-12,month,4,4,0,4,1.0,0.665512,0.70478,8.2468,8.2378,2021-12-02,2021-12-16
2022-01,month,17,12,5,12,0.705882,0.61179,0.633288,7.4096,7.7562,2022-01-10,2022-01-27
2022-02,month,7,7,0,7,1.0,0.624591,0.620566,8.142,8.1702,2022-02-01,2022-02-28
2022-03,month,18,9,9,9,0.5,0.48991,0.50749,6.3881,6.5404,2022-03-01,2022-03-31
2022-04,month,14,13,1,13,0.928571,0.607949,0.606521,7.6613,7.8635,2022-04-03,2022-04-25
2022-05,month,1,1,0,1,1.0,0.657015,0.657015,8.7128,8.7128,2022-05-05,2022-05-05
2022-06,month,9,4,5,4,0.444444,0.418023,0.384283,7.807,7.1156,2022-06-06,2022-06-27
2022-07,month,13,7,6,7,0.538462,0.4437,0.502635,7.8028,7.8348,2022-07-07,2022-07-27
2022-08,month,17,11,6,11,0.647059,0.562065,0.585273,6.6353,6.5876,2022-08-03,2022-08-25
2022-09,month,9,6,3,6,0.666667,0.431988,0.551442,7.8771,7.3896,2022-09-01,2022-09-27
2022-10,month,15,10,5,10,0.666667,0.519861,0.580458,7.5857,7.4307,2022-10-04,2022-10-30
2022-11,month,5,4,1,4,0.8,0.543765,0.596266,7.9176,7.7681,2022-11-15,2022-11-25
2022-12,month,12,5,7,5,0.416667,0.436411,0.47978,7.6872,8.1757,2022-12-02,2022-12-24
2023-01,month,8,2,6,2,0.25,0.349216,0.316793,7.8703,8.7181,2023-01-18,2023-01-31
2023-02,month,8,6,2,6,0.75,0.506938,0.618473,8.6341,8.5788,2023-02-01,2023-02-17
2023-03,month,3,1,2,1,0.333333,0.50081,0.498281,8.953,8.8137,2023-03-09,2023-03-30
2023-04,month,11,5,6,5,0.454545,0.468224,0.484722,6.6759,6.7569,2023-04-06,2023-04-28
2023-05,month,13,4,9,4,0.307692,0.398138,0.413869,6.6234,7.1221,2023-05-03,2023-05-30
2023-06,month,8,2,6,2,0.25,0.27458,0.271941,7.0829,7.3511,2023-06-01,2023-06-30
2023-07,month,4,1,3,1,0.25,0.434221,0.411158,8.151,8.1188,2023-07-06,2023-07-26
2023-08,month,2,1,1,1,0.5,0.302596,0.302596,5.9026,5.9026,2023-08-18,2023-08-18
2023-09,month,6,1,5,1,0.166667,0.315733,0.412577,7.1182,7.1731,2023-09-06,2023-09-22
2023-10,month,4,2,2,2,0.5,0.468599,0.477424,9.5572,10.1439,2023-10-02,2023-10-24
2023-11,month,4,1,3,1,0.25,0.350539,0.374166,7.1514,7.209,2023-11-04,2023-11-15
2024-01,month,7,1,6,1,0.142857,0.311329,0.309689,8.1082,7.6866,2024-01-08,2024-01-30
2024-02,month,5,2,3,2,0.4,0.454268,0.463317,6.4805,6.0822,2024-02-08,2024-02-14
2024-03,month,6,4,2,4,0.666667,0.510429,0.563828,6.974,7.0276,2024-03-12,2024-03-20
2024-04,month,11,5,6,5,0.454545,0.514078,0.46888,6.9,6.8167,2024-04-02,2024-04-30
2024-05,month,8,3,5,3,0.375,0.467767,0.441493,7.4454,7.6069,2024-05-01,2024-05-24
2024-06,month,8,2,6,2,0.25,0.472424,0.464814,7.2609,7.5796,2024-06-03,2024-06-27
2024-07,month,10,4,6,4,0.4,0.534305,0.49737,7.436,6.9146,2024-07-03,2024-07-30
2024-08,month,23,11,12,11,0.478261,0.490934,0.492373,6.2812,6.0426,2024-08-04,2024-08-25
2024-09,month,8,3,5,3,0.375,0.449421,0.43749,5.2552,5.1937,2024-09-10,2024-09-27
2024-10,month,9,2,7,2,0.222222,0.391194,0.382981,8.3606,7.981,2024-10-01,2024-10-24
2024-11,month,3,0,3,0,0.0,0.369364,0.321819,6.512,6.2879,2024-11-20,2024-11-26
2024-12,month,8,2,6,2,0.25,0.421658,0.387275,7.4171,6.6859,2024-12-04,2024-12-31
2025-01,month,4,1,3,1,0.25,0.454763,0.446214,8.6239,8.9387,2025-01-02,2025-01-19
2025-02,month,6,3,3,3,0.5,0.541017,0.513554,7.3533,7.2684,2025-02-02,2025-02-22
2025-03,month,11,5,6,5,0.454545,0.460972,0.44142,6.5591,5.7777,2025-03-12,2025-03-31
2025-04,month,11,4,7,4,0.363636,0.471181,0.495761,8.2432,6.9236,2025-04-01,2025-04-30
2025-05,month,1,0,1,0,0.0,0.401012,0.401012,9.1495,9.1495,2025-05-07,2025-05-07
2025-06,month,2,0,2,0,0.0,0.232592,0.232592,8.4246,8.4246,2025-06-17,2025-06-25
2025-07,month,5,1,4,1,0.2,0.466297,0.436703,7.641,7.4067,2025-07-09,2025-07-24
2025-08,month,2,0,2,0,0.0,0.446877,0.446877,8.1283,8.1283,2025-08-19,2025-08-26
2025-09,month,2,2,0,2,1.0,0.621325,0.621325,6.6024,6.6024,2025-09-09,2025-09-09
2025-10,month,3,2,1,2,0.666667,0.5731,0.629976,7.8791,7.7778,2025-10-06,2025-10-20
2025-11,month,3,2,1,2,0.666667,0.502237,0.549981,6.8475,6.4505,2025-11-12,2025-11-26
2025-12,month,5,2,3,2,0.4,0.546937,0.485964,6.0205,5.7961,2025-12-03,2025-12-18
2026-01,month,7,4,3,4,0.571429,0.569933,0.580753,6.1806,6.2615,2026-01-04,2026-01-26
2026-02,month,8,2,6,2,0.25,0.458622,0.444851,7.221,6.987,2026-02-05,2026-02-26
2026-03,month,31,11,20,11,0.354839,0.432572,0.432404,7.0432,7.1405,2026-03-04,2026-03-30
2026-04,month,31,16,15,16,0.516129,0.466903,0.501264,6.1035,5.5722,2026-04-02,2026-04-27
2026-05,month,23,16,7,16,0.695652,0.518,0.543407,6.5039,5.7236,2026-05-01,2026-05-29
