metric,value
total_rows,978
favorite_count_min,0.0000
favorite_count_mean,8032.6861
favorite_count_median,1202.5000
favorite_count_max,796387.0000
retweet_count_min,0.0000
retweet_count_mean,765.4683
retweet_count_median,71.5000
retweet_count_max,112925.0000
engagement_favorite_retweet_min,4.0000
engagement_favorite_retweet_mean,8798.1544
engagement_favorite_retweet_median,1273.5000
engagement_favorite_retweet_max,909312.0000
log1p_engagement_favorite_retweet_min,1.6094
log1p_engagement_favorite_retweet_mean,7.2843
log1p_engagement_favorite_retweet_median,7.1503
log1p_engagement_favorite_retweet_max,13.7204
p_humor_ml_min,0.0801
p_humor_ml_mean,0.3749
p_humor_ml_median,0.3963
p_humor_ml_max,0.8054
log1p_p_humor_ml_min,0.0770
log1p_p_humor_ml_mean,0.3129
log1p_p_humor_ml_median,0.3338
log1p_p_humor_ml_max,0.5908
number_missing_favorite_count,0
number_missing_retweet_count,0
number_missing_p_humor_ml,0
number_missing_log1p_p_humor_ml,0
