metric,value
total_rows,978
humor_score_zero_count,739
humor_score_zero_share,0.7556
p_humor_ml_zero_count,0
p_humor_ml_zero_share,0.0000
p_humor_ml_mean,0.374941
p_humor_ml_median,0.396255
p_humor_ml_min,0.080090
p_humor_ml_max,0.805374
log1p_p_humor_ml_mean,0.312858
log1p_p_humor_ml_median,0.333794
weak_positive_count,92
weak_negative_count,82
weak_unlabeled_count,804
classifier_trained,True
classifier_cv_accuracy,0.8222
classifier_cv_precision,0.8483
classifier_cv_recall,0.8146
classifier_cv_f1,0.8291
n_topics,8
topic_method,TF-IDF + NMF
human_review_sample_size,120

dv,n_nonmissing,n_missing,mean,median,min,max
log1p_engagement_total,978,0,7.4138,7.2817,1.6094,13.7445
log1p_favorite_count,978,0,7.0930,7.0929,0.0000,13.5878
log1p_retweet_count,978,0,4.4687,4.2836,0.0000,11.6345
log1p_reply_count,978,0,4.5934,4.7449,0.0000,9.8662
log1p_quote_count,978,0,2.9027,2.7726,0.0000,9.3291
log1p_bookmark_count,978,0,2.6270,2.3979,0.0000,9.9658
