"dv","scale","group_variable","group1_name","group2_name","n_group1","n_group2","mean_group1","mean_group2","diff_mean","median_group1","median_group2","sd_group1","sd_group2","t_stat","p_value","ci_lower_95","ci_upper_95","cohens_d","effect_size","significance","h2_interpretation","notes"
"engagement_total","raw","final_humor_type_group","aggressive","other_humor","95","183","23053.4842","9241.7760","13811.7083","5066.0000","1890.0000","99359.0995","32070.4809","1.3197","0.1898","-6942.2239","34565.6404","0.2173","small","","H2 방향성 지지","Welch two-sided; group1=aggressive, group2=other_humor"
"engagement_favorite_retweet","raw","final_humor_type_group","aggressive","other_humor","95","183","21725.4842","8520.8962","13204.5880","4614.0000","1558.0000","96796.8407","29961.1659","1.2977","0.1973","-6974.3090","33383.4851","0.2147","small","","H2 방향성 지지","Welch two-sided; group1=aggressive, group2=other_humor"
"favorite_count","raw","final_humor_type_group","aggressive","other_humor","95","183","19628.7474","7792.7869","11835.9605","4380.0000","1505.0000","85084.6021","26769.6828","1.3223","0.1890","-5914.6358","29586.5567","0.2184","small","","H2 방향성 지지","Welch two-sided; group1=aggressive, group2=other_humor"
"retweet_count","raw","final_humor_type_group","aggressive","other_humor","95","183","2096.7368","728.1093","1368.6276","232.0000","72.0000","11792.6898","3317.9742","1.1086","0.2702","-1080.0858","3817.3409","0.1852","negligible","","H2 방향성 지지","Welch two-sided; group1=aggressive, group2=other_humor"
"reply_count","raw","final_humor_type_group","aggressive","other_humor","95","183","708.4211","412.2568","296.1642","196.0000","137.0000","1679.9929","1517.7787","1.4400","0.1516","-109.7462","702.0746","0.1881","negligible","","H2 방향성 지지","Welch two-sided; group1=aggressive, group2=other_humor"
"quote_count","raw","final_humor_type_group","aggressive","other_humor","95","183","486.2316","138.6831","347.5485","42.0000","16.0000","1619.4350","499.6426","2.0419","0.0437","9.9997","685.0973","0.3379","small","*","H2 예비적 지지","Welch two-sided; group1=aggressive, group2=other_humor"
"bookmark_count","raw","final_humor_type_group","aggressive","other_humor","95","183","133.3474","169.9399","-36.5925","25.0000","8.0000","417.2609","1581.2579","-0.2940","0.7691","-281.8866","208.7015","-0.0280","negligible","","H2 지지 없음","Welch two-sided; group1=aggressive, group2=other_humor"
"log1p_engagement_total","log1p","final_humor_type_group","aggressive","other_humor","95","183","8.3411","7.6338","0.7074","8.5305","7.5449","1.7802","1.5353","3.2896","0.0012","0.2828","1.1319","0.4359","small","**","H2 예비적 지지","Welch two-sided; group1=aggressive, group2=other_humor"
"log1p_engagement_favorite_retweet","log1p","final_humor_type_group","aggressive","other_humor","95","183","8.2120","7.5009","0.7111","8.4371","7.3518","1.8251","1.5654","3.2304","0.0015","0.2765","1.1456","0.4288","small","**","H2 예비적 지지","Welch two-sided; group1=aggressive, group2=other_humor"
"log1p_favorite_count","log1p","final_humor_type_group","aggressive","other_humor","95","183","8.1418","7.3858","0.7560","8.3850","7.3172","1.8232","1.7316","3.3352","0.0010","0.3087","1.2032","0.4287","small","**","H2 예비적 지지","Welch two-sided; group1=aggressive, group2=other_humor"
"log1p_retweet_count","log1p","final_humor_type_group","aggressive","other_humor","95","183","5.4009","4.5306","0.8703","5.4510","4.2905","1.9150","1.6374","3.7714","0.0002","0.4147","1.3259","0.5011","medium","***","H2 예비적 지지","Welch two-sided; group1=aggressive, group2=other_humor"
"log1p_reply_count","log1p","final_humor_type_group","aggressive","other_humor","95","183","5.3120","4.9438","0.3682","5.2832","4.9273","1.5420","1.3819","1.9551","0.0522","-0.0035","0.7399","0.2560","small",".","H2 방향성 지지","Welch two-sided; group1=aggressive, group2=other_humor"
"log1p_quote_count","log1p","final_humor_type_group","aggressive","other_humor","95","183","3.8651","3.0616","0.8035","3.7612","2.8332","2.0412","1.6932","3.2933","0.0012","0.3217","1.2853","0.4417","small","**","H2 예비적 지지","Welch two-sided; group1=aggressive, group2=other_humor"
"log1p_bookmark_count","log1p","final_humor_type_group","aggressive","other_humor","95","183","3.3405","2.5014","0.8391","3.2581","2.1972","1.5818","1.5943","4.1835","0.0000","0.4435","1.2347","0.5277","medium","***","H2 예비적 지지","Welch two-sided; group1=aggressive, group2=other_humor"
