sample_type,model_name,dv,iv,n,aggressive_n,other_humor_n,aggressive_mean,other_humor_mean,mean_difference,coefficient,p_value,r_squared,adj_r_squared,aic,bic,included_time_fe,number_of_time_variables,interpretation_flag
model_based_n564,M4_year_month_fe,log1p_favorite_count,is_aggressive_humor,564,200,364,7.7386,7.1524,0.5862,0.5936,0.0004,0.1723,0.1418,695.1311,786.1672,year_FE+month_FE,2,supports_H2
model_based_n564,M5_year_hour_fe,log1p_favorite_count,is_aggressive_humor,564,200,364,7.7386,7.1524,0.5862,0.7452,0.0,0.1345,0.0858,740.291,874.6777,year_FE+hour_FE,2,supports_H2
model_based_n564,M6_month_hour_fe,log1p_favorite_count,is_aggressive_humor,564,200,364,7.7386,7.1524,0.5862,0.5386,0.0016,0.1703,0.1187,722.4442,869.836,month_FE+hour_FE,2,supports_H2
model_based_n564,M7_year_month_hour_fe,log1p_favorite_count,is_aggressive_humor,564,200,364,7.7386,7.1524,0.5862,0.6504,0.0002,0.2092,0.1471,711.3735,893.4458,year_FE+month_FE+hour_FE,3,supports_H2
model_based_n564,M0_baseline,log1p_retweet_count,is_aggressive_humor,564,200,364,4.8844,4.4095,0.4749,0.4749,0.0034,0.0151,0.0134,687.7375,696.4076,none,0,supports_H2
model_based_n564,M1_year_fe,log1p_retweet_count,is_aggressive_humor,564,200,364,4.8844,4.4095,0.4749,0.5062,0.0021,0.0454,0.0298,686.1549,729.5055,year_FE,1,supports_H2
model_based_n564,M2_month_fe,log1p_retweet_count,is_aggressive_humor,564,200,364,4.8844,4.4095,0.4749,0.3915,0.0137,0.102,0.0825,657.6296,713.9853,month_FE,1,supports_H2
model_based_n564,M3_hour_fe,log1p_retweet_count,is_aggressive_humor,564,200,364,4.8844,4.4095,0.4749,0.5288,0.0012,0.0933,0.0565,683.0648,782.7711,hour_FE,1,supports_H2
model_based_n564,M4_year_month_fe,log1p_retweet_count,is_aggressive_humor,564,200,364,4.8844,4.4095,0.4749,0.4185,0.0097,0.1294,0.0973,656.2019,747.238,year_FE+month_FE,2,supports_H2
model_based_n564,M5_year_hour_fe,log1p_retweet_count,is_aggressive_humor,564,200,364,4.8844,4.4095,0.4749,0.5578,0.0008,0.1243,0.075,679.4817,813.8684,year_FE+hour_FE,2,supports_H2
model_based_n564,M6_month_hour_fe,log1p_retweet_count,is_aggressive_humor,564,200,364,4.8844,4.4095,0.4749,0.4393,0.0062,0.1672,0.1153,657.1427,804.5345,month_FE+hour_FE,2,supports_H2
model_based_n564,M7_year_month_hour_fe,log1p_retweet_count,is_aggressive_humor,564,200,364,4.8844,4.4095,0.4749,0.4636,0.0047,0.1891,0.1254,658.1319,840.2042,year_FE+month_FE+hour_FE,3,supports_H2
model_based_n564,M0_baseline,log1p_reply_count,is_aggressive_humor,564,200,364,4.908,4.706,0.202,0.202,0.1551,0.0036,0.0018,540.4066,549.0767,none,0,positive_not_significant
model_based_n564,M1_year_fe,log1p_reply_count,is_aggressive_humor,564,200,364,4.908,4.706,0.202,0.2362,0.1006,0.0387,0.0231,536.1838,579.5343,year_FE,1,positive_not_significant
model_based_n564,M2_month_fe,log1p_reply_count,is_aggressive_humor,564,200,364,4.908,4.706,0.202,0.1416,0.3087,0.0909,0.0711,510.7138,567.0695,month_FE,1,positive_not_significant
model_based_n564,M3_hour_fe,log1p_reply_count,is_aggressive_humor,564,200,364,4.908,4.706,0.202,0.2561,0.0727,0.0837,0.0465,535.1178,634.824,hour_FE,1,weak_support
model_based_n564,M4_year_month_fe,log1p_reply_count,is_aggressive_humor,564,200,364,4.908,4.706,0.202,0.1947,0.1712,0.1114,0.0787,513.8028,604.8389,year_FE+month_FE,2,positive_not_significant
model_based_n564,M5_year_hour_fe,log1p_reply_count,is_aggressive_humor,564,200,364,4.908,4.706,0.202,0.2806,0.0527,0.1138,0.0639,532.3133,666.7,year_FE+hour_FE,2,weak_support
model_based_n564,M6_month_hour_fe,log1p_reply_count,is_aggressive_humor,564,200,364,4.908,4.706,0.202,0.1775,0.2048,0.1623,0.1101,506.5693,653.9611,month_FE+hour_FE,2,positive_not_significant
