"dv","model_name","sample","n_obs","reference_group","intercept","beta_aggressive_vs_nonhumor","se_aggressive","p_aggressive","beta_other_vs_nonhumor","se_other","p_other","beta_diff_aggressive_minus_other","p_diff_aggressive_minus_other","r_squared","adj_r_squared","h2_interpretation","notes"
"log1p_engagement_total","Multi-dummy OLS","labeled_aggressive_other_nonhumor","566","non_humor","7.2696","1.0715","0.2000","0.0000","0.3642","0.1598","0.0230","0.7074","0.0012","0.0492","0.0458","H2 예비적 지지","base=non_humor; p_diff via Welch t-test (agg vs other on DV)"
"log1p_engagement_favorite_retweet","Multi-dummy OLS","labeled_aggressive_other_nonhumor","566","non_humor","7.1236","1.0884","0.2037","0.0000","0.3773","0.1628","0.0208","0.7111","0.0015","0.0490","0.0457","H2 예비적 지지","base=non_humor; p_diff via Welch t-test (agg vs other on DV)"
"log1p_favorite_count","Multi-dummy OLS","labeled_aggressive_other_nonhumor","566","non_humor","6.9293","1.2125","0.2274","0.0000","0.4566","0.1817","0.0123","0.7560","0.0010","0.0494","0.0460","H2 예비적 지지","base=non_humor; p_diff via Welch t-test (agg vs other on DV)"
"log1p_retweet_count","Multi-dummy OLS","labeled_aggressive_other_nonhumor","566","non_humor","4.4236","0.9773","0.2024","0.0000","0.1070","0.1617","0.5084","0.8703","0.0002","0.0410","0.0376","H2 예비적 지지","base=non_humor; p_diff via Welch t-test (agg vs other on DV)"
"log1p_reply_count","Multi-dummy OLS","labeled_aggressive_other_nonhumor","566","non_humor","4.5400","0.7720","0.1825","0.0000","0.4039","0.1458","0.0058","0.3682","0.0522","0.0347","0.0313","H2 예비적 지지","base=non_humor; p_diff via Welch t-test (agg vs other on DV)"
"log1p_quote_count","Multi-dummy OLS","labeled_aggressive_other_nonhumor","566","non_humor","2.8889","0.9761","0.2149","0.0000","0.1727","0.1717","0.3152","0.8035","0.0012","0.0356","0.0322","H2 예비적 지지","base=non_humor; p_diff via Welch t-test (agg vs other on DV)"
"log1p_bookmark_count","Multi-dummy OLS","labeled_aggressive_other_nonhumor","566","non_humor","3.0357","0.3048","0.2026","0.1331","-0.5343","0.1619","0.0010","0.8391","0.0000","0.0309","0.0275","H2 방향성 지지","base=non_humor; p_diff via Welch t-test (agg vs other on DV)"
