dv,n,n_quarters,predictor,coef_linear,se_linear,t_linear,p_linear,coef_quadratic,se_quadratic,t_quadratic,p_quadratic,r_squared,adj_r_squared,x_min,x_max,x_mean,turning_point,turning_point_ci_low,turning_point_ci_high,turning_point_in_range,h3_main_direction,h3_main_exploratory_support
log1p_engagement_total,960,25,aggressive_humor_proportion_quarter_loo,-1.4598,3.2461,-0.4497,0.653,2.5539,7.658,0.3335,0.7388,0.0004,-0.0017,0.0,0.3377,0.2062,0.2858,-0.2814,0.853,True,U_shape_or_convex,H3main_불지지
log1p_engagement_favorite_retweet,960,25,aggressive_humor_proportion_quarter_loo,-1.2461,3.2916,-0.3786,0.7051,2.4041,7.7652,0.3096,0.7569,0.0002,-0.0019,0.0,0.3377,0.2062,0.2592,-0.22,0.7384,True,U_shape_or_convex,H3main_불지지
log1p_favorite_count,960,25,aggressive_humor_proportion_quarter_loo,-1.8801,3.837,-0.49,0.6243,1.4932,9.0518,0.165,0.869,0.0018,-0.0002,0.0,0.3377,0.2062,0.6295,-4.4516,5.7107,False,U_shape_or_convex,H3main_불지지
log1p_retweet_count,960,25,aggressive_humor_proportion_quarter_loo,-2.4857,3.3167,-0.7494,0.4538,5.2683,7.8246,0.6733,0.5009,0.0006,-0.0015,0.0,0.3377,0.2062,0.2359,0.0574,0.4144,True,U_shape_or_convex,H3main_불지지
log1p_reply_count,960,25,aggressive_humor_proportion_quarter_loo,-1.7449,3.0702,-0.5684,0.5699,-0.1391,7.2429,-0.0192,0.9847,0.0057,0.0036,0.0,0.3377,0.2062,-6.2712,-667.1377,654.5953,False,concave_tp_out_of_range,H3main_불지지
log1p_quote_count,960,25,aggressive_humor_proportion_quarter_loo,-4.0658,3.4295,-1.1855,0.2361,6.5645,8.0907,0.8114,0.4174,0.0033,0.0013,0.0,0.3377,0.2062,0.3097,0.0266,0.5928,True,U_shape_or_convex,H3main_불지지
log1p_bookmark_count,960,25,aggressive_humor_proportion_quarter_loo,-12.5052,3.1491,-3.971,0.0001,23.431,7.4291,3.1539,0.0017,0.0238,0.0218,0.0,0.3377,0.2062,0.2669,0.2163,0.3174,True,U_shape_or_convex,H3main_불지지
log1p_view_count,960,25,aggressive_humor_proportion_quarter_loo,-53.8098,10.7335,-5.0133,0.0,91.4798,25.3217,3.6127,0.0003,0.0494,0.0474,0.0,0.3377,0.2062,0.2941,0.2379,0.3503,True,U_shape_or_convex,H3main_불지지
