"dv","test_type","statistic","p_value","significance","n_total","n_aggressive","n_affiliative","n_self_enhancing","n_self_defeating","interpretation"
"log1p_engagement_total","one-way ANOVA","4.6211","0.0036","**","278","95","106","62","15","네 type 간 차이 존재 (p<.05)"
"log1p_engagement_total","Kruskal-Wallis","16.3312","0.0010","***","278","95","106","62","15","네 type 간 차이 존재 (p<.05)"
"log1p_engagement_favorite_retweet","one-way ANOVA","4.6185","0.0036","**","278","95","106","62","15","네 type 간 차이 존재 (p<.05)"
"log1p_engagement_favorite_retweet","Kruskal-Wallis","16.2717","0.0010","***","278","95","106","62","15","네 type 간 차이 존재 (p<.05)"
"log1p_favorite_count","one-way ANOVA","4.0576","0.0076","**","278","95","106","62","15","네 type 간 차이 존재 (p<.05)"
"log1p_favorite_count","Kruskal-Wallis","15.8461","0.0012","**","278","95","106","62","15","네 type 간 차이 존재 (p<.05)"
"log1p_retweet_count","one-way ANOVA","6.9991","0.0001","***","278","95","106","62","15","네 type 간 차이 존재 (p<.05)"
"log1p_retweet_count","Kruskal-Wallis","26.7111","0.0000","***","278","95","106","62","15","네 type 간 차이 존재 (p<.05)"
"log1p_reply_count","one-way ANOVA","1.4697","0.2231","","278","95","106","62","15","유의한 차이 없음"
"log1p_reply_count","Kruskal-Wallis","5.1166","0.1635","","278","95","106","62","15","유의한 차이 없음"
"log1p_quote_count","one-way ANOVA","4.2380","0.0060","**","278","95","106","62","15","네 type 간 차이 존재 (p<.05)"
"log1p_quote_count","Kruskal-Wallis","12.4818","0.0059","**","278","95","106","62","15","네 type 간 차이 존재 (p<.05)"
"log1p_bookmark_count","one-way ANOVA","6.2399","0.0004","***","278","95","106","62","15","네 type 간 차이 존재 (p<.05)"
"log1p_bookmark_count","Kruskal-Wallis","24.0688","0.0000","***","278","95","106","62","15","네 type 간 차이 존재 (p<.05)"
"log1p_view_count","one-way ANOVA","1.9472","0.1223","","278","95","106","62","15","유의한 차이 없음"
"log1p_view_count","Kruskal-Wallis","6.2241","0.1012","","278","95","106","62","15","유의한 차이 없음"
