metric,value
merge_key,id
left_n_h3,978
right_n_humor,978
merged_n,978
unmatched_h3_to_humor,0
unmatched_h3_to_rv,0
dup_h3_key,False
dup_humor_key,False
model_based_humor_only_n,564
model_based_aggressive_n,200
model_based_other_humor_n,364
human_validation_n,278
human_aggressive_n,95
human_other_humor_n,183
mb_n_unchanged_after_pf_join,True
hv_n_unchanged_after_pf_join,True
non_humor_in_mb,0
non_humor_in_hv,0
text_length_missing,0
hashtag_count_missing,0
mention_count_missing,0
emoji_count_used,False
url_count_used,False
is_quote_status_used,False
is_retweet_text_used,False
day_of_week_used,False
posting_intensity_used,False
log1p_view_count_used,False
year_quarter_fe_used,False
time_fe_vars,created_year+created_month+created_hour
post_format_vars,text_length+hashtag_count+mention_count
H1_performed,False
H3_performed,False
new_vars_created,False
rank_deficient_any,False
original_posts_json_modified,False
mb_M0_beta,0.5199
mb_M0_p,0.0006
mb_M0_flag,supports_H2
mb_M7_beta,0.4056
mb_M7_p,0.006
mb_M7_flag,supports_H2
hv_M0_beta,0.7261
hv_M0_p,0.0003
hv_M7_beta,0.6405
hv_M7_p,0.001
