metric,value
total_rows,978
merged_rows,978
predicted_humor_rows,564
predicted_non_humor_rows,414
missing_pred_humor_rows,0
month_period_count,80
quarter_period_count,28
month_total_posts_min,1
month_total_posts_median,9.0
month_total_posts_mean,12.22
month_total_posts_max,50
quarter_total_posts_min,1
quarter_total_posts_median,30.0
quarter_total_posts_mean,34.93
quarter_total_posts_max,110
month_humor_intensity_min,0.0
month_humor_intensity_max,1.0
month_humor_intensity_mean,0.5296
month_humor_intensity_sd,0.2523
quarter_humor_intensity_min,0.2
quarter_humor_intensity_max,1.0
quarter_humor_intensity_mean,0.5368
quarter_humor_intensity_sd,0.1966
month_sparse_ratio_under10,0.5125
quarter_sparse_ratio_under10,0.1071
month_loo_missing_rows,3
quarter_loo_missing_rows,1
recommended_period_unit,insufficient
original_posts_json_modified,False
analysis_note,H3 회귀분석 이전 사전 점검. 회귀분석 미수행.
