metric,value
seed_label_source,wendys_humor_review_sheet.csv
n_human_coded_total,168
n_labeled_used,167
n_humor,83
n_nonhumor,84
n_missing_excluded,1
n_splits,5
cv_accuracy_mean,0.6406
cv_f1_mean,0.6426
cv_roc_auc_mean,0.7345
p_humor_mean,0.4974
p_humor_median,0.5086
p_humor_ge_050_count,529
p_humor_ge_050_share,0.5409
corr_humor_score,0.1117
corr_p_humor_ml,0.3158
match_count,167
mismatch_count,0
