coding_id,id,tweet_url,review_priority,humor_score,log1p_humor_score,p_humor_ml,log1p_p_humor_ml,weak_humor_label,weak_label_source,dominant_topic,dominant_topic_weight
WENDYS_HUMOR_001,1448326668599320576,https://x.com/Wendys/status/1448326668599320576,false_negative_candidate,0.0,0.0,0.467222,0.383371,,unlabeled,2,0.411527
WENDYS_HUMOR_002,1620815679707582465,https://x.com/Wendys/status/1620815679707582465,high_confidence_nonhumor,0.0,0.0,0.08009,0.077044,0,score=0 and (plain_promotion or url_only),0,0.361686
WENDYS_HUMOR_003,1549785096974209024,https://x.com/Wendys/status/1549785096974209024,high_confidence_nonhumor,0.0,0.0,0.08009,0.077044,0,score=0 and (plain_promotion or url_only),0,0.361686
WENDYS_HUMOR_004,1395802538310606852,https://x.com/Wendys/status/1395802538310606852,boundary_case,0.0,0.0,0.440866,0.365244,,unlabeled,7,0.219949
WENDYS_HUMOR_005,1750997136404029658,https://x.com/Wendys/status/1750997136404029658,high_confidence_nonhumor,0.0,0.0,0.08009,0.077044,0,score=0 and (plain_promotion or url_only),0,0.361686
WENDYS_HUMOR_006,1316371848960061440,https://x.com/Wendys/status/1316371848960061440,false_negative_candidate,0.0,0.0,0.437618,0.362988,,unlabeled,5,0.083894
WENDYS_HUMOR_007,1654524291231129600,https://x.com/Wendys/status/1654524291231129600,high_confidence_nonhumor,0.0,0.0,0.08009,0.077044,0,score=0 and (plain_promotion or url_only),0,0.361686
WENDYS_HUMOR_008,1425937918149943298,https://x.com/Wendys/status/1425937918149943298,high_confidence_nonhumor,0.0,0.0,0.08009,0.077044,0,score=0 and (plain_promotion or url_only),0,0.361686
WENDYS_HUMOR_009,1352663870469500930,https://x.com/Wendys/status/1352663870469500930,high_confidence_nonhumor,0.0,0.0,0.08009,0.077044,0,score=0 and (plain_promotion or url_only),0,0.361686
WENDYS_HUMOR_010,1483861582073548809,https://x.com/Wendys/status/1483861582073548809,boundary_case,0.32,0.2776317365982795,0.52164,0.419789,,unlabeled,5,0.006139
WENDYS_HUMOR_011,1485407829506904069,https://x.com/Wendys/status/1485407829506904069,high_confidence_humor,0.703,0.5323914016805512,0.745827,0.557228,1,humor_score>=0.60 or strong_cue,5,0.039263
WENDYS_HUMOR_012,1537586561033744384,https://x.com/Wendys/status/1537586561033744384,high_confidence_nonhumor,0.0,0.0,0.08009,0.077044,0,score=0 and (plain_promotion or url_only),0,0.361686
WENDYS_HUMOR_013,1938000813210714481,https://x.com/Wendys/status/1938000813210714481,high_confidence_nonhumor,0.0,0.0,0.08009,0.077044,0,score=0 and (plain_promotion or url_only),0,0.361686
WENDYS_HUMOR_014,1379243596214329349,https://x.com/Wendys/status/1379243596214329349,false_negative_candidate,0.0,0.0,0.471955,0.386591,,unlabeled,1,0.181087
WENDYS_HUMOR_015,1293256222922203138,https://x.com/Wendys/status/1293256222922203138,false_negative_candidate,0.0,0.0,0.455632,0.37544,,unlabeled,5,0.022248
WENDYS_HUMOR_016,1224709867753168899,https://x.com/Wendys/status/1224709867753168899,high_confidence_humor,0.5,0.4054651081081644,0.709569,0.536241,1,humor_score>=0.60 or strong_cue,6,0.447587
WENDYS_HUMOR_017,1549774834535645196,https://x.com/Wendys/status/1549774834535645196,high_confidence_nonhumor,0.0,0.0,0.08009,0.077044,0,score=0 and (plain_promotion or url_only),0,0.361686
