period,period_type,total_posts,humor_posts,non_humor_posts,humor_intensity,mean_p_humor,median_p_humor,mean_log1p_engagement_total,mean_log1p_engagement_favorite_retweet,mean_log1p_favorite_count,mean_log1p_retweet_count,mean_log1p_reply_count,mean_log1p_quote_count,mean_log1p_bookmark_count,mean_log1p_view_count,median_log1p_engagement_total,min_created_date,max_created_date
2022-09,month,9,6,3,0.6667,0.431988,0.551442,7.8771,7.7854,7.7344,4.7566,5.0962,3.095,2.802,0.0,7.3896,2022-09-01,2022-09-27
2022-10,month,15,10,5,0.6667,0.519861,0.580458,7.5857,7.479,7.4186,4.612,4.7574,3.0094,3.048,0.0,7.4307,2022-10-04,2022-10-30
2022-11,month,5,4,1,0.8,0.543765,0.596266,7.9176,7.8391,7.7913,4.734,4.9047,3.3476,2.436,0.0,7.7681,2022-11-15,2022-11-25
2022-12,month,12,5,7,0.4167,0.436411,0.47978,7.6872,7.5577,6.9873,5.0692,4.6768,3.3688,2.7754,7.4314,8.1757,2022-12-02,2022-12-24
2023-01,month,8,2,6,0.25,0.349216,0.316793,7.8703,7.8134,7.454,4.9678,4.8589,3.1558,3.1511,12.1753,8.7181,2023-01-18,2023-01-31
2023-02,month,8,6,2,0.75,0.506938,0.618473,8.6341,8.5517,8.4929,5.5914,5.6606,3.9157,3.4258,14.0048,8.5788,2023-02-01,2023-02-17
2023-03,month,3,1,2,0.3333,0.50081,0.498281,8.953,8.1819,8.0971,5.4777,8.0125,5.1501,4.6232,14.5673,8.8137,2023-03-09,2023-03-30
2023-04,month,11,5,6,0.4545,0.468224,0.484722,6.6759,6.4633,6.4053,3.6558,4.3922,2.3561,2.6355,13.2962,6.7569,2023-04-06,2023-04-28
2023-05,month,13,4,9,0.3077,0.398138,0.413869,6.6234,6.4414,6.1368,3.8333,4.3346,2.2732,2.3263,11.7384,7.1221,2023-05-03,2023-05-30
2023-06,month,8,2,6,0.25,0.27458,0.271941,7.0829,6.9628,6.9009,4.0331,4.5065,2.5571,2.6855,13.4798,7.3511,2023-06-01,2023-06-30
2023-07,month,4,1,3,0.25,0.434221,0.411158,8.151,8.0402,7.9753,5.1528,5.4993,3.457,3.6465,13.31,8.1188,2023-07-06,2023-07-26
2023-08,month,2,1,1,0.5,0.302596,0.302596,5.9026,5.5537,5.5285,2.6615,3.8958,2.5376,2.2154,13.5697,5.9026,2023-08-18,2023-08-18
2023-09,month,6,1,5,0.1667,0.315733,0.412577,7.1182,6.8688,6.7989,4.115,5.1913,3.2402,2.9687,12.782,7.1731,2023-09-06,2023-09-22
2023-10,month,4,2,2,0.5,0.468599,0.477424,9.5572,9.4639,9.3125,7.3901,5.6032,6.0495,5.4166,14.7101,10.1439,2023-10-02,2023-10-24
2023-11,month,4,1,3,0.25,0.350539,0.374166,7.1514,6.929,6.8553,4.2799,4.9844,2.5927,3.1352,12.6,7.209,2023-11-04,2023-11-15
2024-01,month,7,1,6,0.1429,0.311329,0.309689,8.1082,7.9642,7.1203,5.7326,5.0506,4.2518,4.0663,12.0468,7.6866,2024-01-08,2024-01-30
2024-02,month,5,2,3,0.4,0.454268,0.463317,6.4805,6.0896,6.0091,3.5496,4.922,2.1938,3.0718,12.254,6.0822,2024-02-08,2024-02-14
2024-03,month,6,4,2,0.6667,0.510429,0.563828,6.974,6.8019,6.7214,4.2106,4.3585,2.8789,3.0964,12.6212,7.0276,2024-03-12,2024-03-20
2024-04,month,11,5,6,0.4545,0.514078,0.46888,6.9,6.7596,6.6379,4.5433,4.0679,2.5524,2.9598,12.461,6.8167,2024-04-02,2024-04-30
2024-05,month,8,3,5,0.375,0.467767,0.441493,7.4454,7.2317,7.1161,4.8275,5.0461,3.6721,3.9912,13.3648,7.6069,2024-05-01,2024-05-24
2024-06,month,8,2,6,0.25,0.472424,0.464814,7.2609,7.1631,7.0795,4.5662,4.0462,2.6985,3.0026,12.3069,7.5796,2024-06-03,2024-06-27
2024-07,month,10,4,6,0.4,0.534305,0.49737,7.436,7.2854,7.1954,4.7919,4.8882,3.0757,3.4029,12.4207,6.9146,2024-07-03,2024-07-30
2024-08,month,23,11,12,0.4783,0.490934,0.492373,6.2812,6.196,6.1281,3.3779,3.1406,1.4568,1.8881,11.7436,6.0426,2024-08-04,2024-08-25
2024-09,month,8,3,5,0.375,0.449421,0.43749,5.2552,5.0635,4.988,2.5486,2.9373,1.5273,1.973,12.2466,5.1937,2024-09-10,2024-09-27
2024-10,month,9,2,7,0.2222,0.391194,0.382981,8.3606,8.2188,8.1235,5.7733,5.5109,3.9037,5.0146,12.8827,7.981,2024-10-01,2024-10-24
2024-11,month,3,0,3,0.0,0.369364,0.321819,6.512,6.3019,6.2067,3.9049,4.567,2.0579,3.0712,11.9129,6.2879,2024-11-20,2024-11-26
2024-12,month,8,2,6,0.25,0.421658,0.387275,7.4171,7.2129,7.0685,5.0015,4.669,3.3667,3.9466,12.7139,6.6859,2024-12-04,2024-12-31
2025-01,month,4,1,3,0.25,0.454763,0.446214,8.6239,8.5274,8.4546,5.7112,5.6505,3.5583,4.927,13.623,8.9387,2025-01-02,2025-01-19
2025-02,month,6,3,3,0.5,0.541017,0.513554,7.3533,7.19,7.0956,4.7311,5.1085,3.0723,3.0849,12.2571,7.2684,2025-02-02,2025-02-22
2025-03,month,11,5,6,0.4545,0.460972,0.44142,6.5591,6.444,6.2678,4.3727,3.6399,1.9044,3.0035,12.648,5.7777,2025-03-12,2025-03-31
2025-04,month,11,4,7,0.3636,0.471181,0.495761,8.2432,8.1305,8.0495,5.4123,5.2092,3.6441,4.554,13.8894,6.9236,2025-04-01,2025-04-30
2025-05,month,1,0,1,0.0,0.401012,0.401012,9.1495,9.0978,9.0591,5.8319,5.7236,3.6376,4.8903,13.1993,9.1495,2025-05-07,2025-05-07
2025-06,month,2,0,2,0.0,0.232592,0.232592,8.4246,8.1993,8.1434,5.2918,6.207,4.2047,5.3137,12.9141,8.4246,2025-06-17,2025-06-25
2025-07,month,5,1,4,0.2,0.466297,0.436703,7.641,7.4831,7.4315,4.3919,5.1058,3.154,4.4023,12.6993,7.4067,2025-07-09,2025-07-24
2025-08,month,2,0,2,0.0,0.446877,0.446877,8.1283,8.0049,7.9115,5.5917,5.2666,3.277,4.2733,12.5207,8.1283,2025-08-19,2025-08-26
2025-09,month,2,2,0,1.0,0.621325,0.621325,6.6024,6.3418,6.2281,4.1223,4.3094,2.2499,2.7234,12.3718,6.6024,2025-09-09,2025-09-09
2025-10,month,3,2,1,0.6667,0.5731,0.629976,7.8791,7.7282,7.6663,4.9,5.0281,4.1764,4.5099,13.2923,7.7778,2025-10-06,2025-10-20
2025-11,month,3,2,1,0.6667,0.502237,0.549981,6.8475,6.599,6.4956,4.2606,4.9448,2.9552,3.3132,11.618,6.4505,2025-11-12,2025-11-26
2025-12,month,5,2,3,0.4,0.546937,0.485964,6.0205,5.7889,5.7045,3.3006,4.0264,1.7626,2.5613,11.7188,5.7961,2025-12-03,2025-12-18
2026-01,month,7,4,3,0.5714,0.569933,0.580753,6.1806,5.9392,5.8739,3.0448,4.3293,1.6927,2.8655,12.0875,6.2615,2026-01-04,2026-01-26
2026-02,month,8,2,6,0.25,0.458622,0.444851,7.221,7.0792,7.0148,4.2199,4.4302,2.6496,3.9079,12.3274,6.987,2026-02-05,2026-02-26
2026-03,month,31,11,20,0.3548,0.432572,0.432404,7.0432,6.8448,6.7517,4.4054,4.2904,3.0925,3.8277,12.5146,7.1405,2026-03-04,2026-03-30
2026-04,month,31,16,15,0.5161,0.466903,0.501264,6.1035,5.8958,5.8229,3.1972,3.773,2.0456,2.9712,11.846,5.5722,2026-04-02,2026-04-27
2026-05,month,23,16,7,0.6957,0.518,0.543407,6.5039,6.3364,6.2484,3.8258,3.9076,1.9628,3.1919,11.5338,5.7236,2026-05-01,2026-05-29
2026-06,month,5,3,2,0.6,0.523567,0.502508,6.2944,6.1038,6.0147,3.6123,4.1186,1.9515,3.0676,10.7756,6.3474,2026-06-01,2026-06-11
