h3_test_type,model_name,dv,predictor,squared_predictor,n,quarter_count,predictor_min,predictor_max,predictor_mean,predictor_std,beta_linear,p_linear,beta_quadratic,p_quadratic,turning_point,turning_point_in_range,included_time_variables,number_of_time_variables,r_squared,adj_r_squared,aic,bic,interpretation_flag
H3-main,M0,log1p_engagement_total,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-1.459812,0.653023,2.553898,0.738835,0.285801,True,none,0,0.000384,-0.001705,3822.0613,3836.6621,not_support
H3-main,M0,log1p_engagement_favorite_retweet,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-1.246092,0.705092,2.404057,0.756939,0.259164,True,none,0,0.000204,-0.001886,3848.7571,3863.3579,not_support
H3-main,M0,log1p_favorite_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-1.880077,0.624252,1.493219,0.869008,0.629538,False,none,0,0.001843,-0.000243,4143.1155,4157.7163,not_support
H3-main,M0,log1p_retweet_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-2.485679,0.453781,5.268262,0.500923,0.235911,True,none,0,0.000632,-0.001457,3863.3816,3877.9824,not_support
H3-main,M0,log1p_reply_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-1.744942,0.569926,-0.139123,0.984679,-6.271202,False,none,0,0.00571,0.003632,3715.0459,3729.6467,not_support
H3-main,M0,log1p_quote_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-4.065809,0.236105,6.564528,0.417358,0.30968,True,none,0,0.003344,0.001261,3927.5928,3942.1936,not_support
H3-main,M0,log1p_bookmark_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-12.505169,7.7e-05,23.431018,0.001661,0.266851,True,none,0,0.023844,0.021804,3763.8023,3778.4031,not_support
H3-main,M1,log1p_engagement_total,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-6.037752,0.07567,9.996406,0.229631,0.301996,True,created_year,1,0.051274,0.042286,3785.9008,3834.5701,not_support
H3-main,M1,log1p_engagement_favorite_retweet,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-6.150978,0.073371,10.433969,0.214757,0.294757,True,created_year,1,0.057277,0.048346,3806.3296,3854.999,not_support
H3-main,M1,log1p_favorite_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-6.493632,0.108535,10.475429,0.29034,0.309946,True,created_year,1,0.03873,0.029623,4120.9671,4169.6364,not_support
H3-main,M1,log1p_retweet_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-5.120322,0.143411,6.751704,0.430672,0.379187,False,created_year,1,0.036443,0.027315,3842.3494,3891.0187,not_support
H3-main,M1,log1p_reply_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-4.407741,0.174,4.023677,0.612234,0.547725,False,created_year,1,0.03938,0.03028,3695.9733,3744.6426,not_support
H3-main,M1,log1p_quote_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-5.521326,0.127081,7.886553,0.373402,0.350047,False,created_year,1,0.038916,0.029811,3906.7027,3955.372,not_support
H3-main,M1,log1p_bookmark_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-9.200544,0.00482,16.678096,0.036783,0.275827,True,created_year,1,0.094477,0.085898,3705.6975,3754.3668,not_support
H3-main,M2,log1p_engagement_total,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,3.176982,0.333567,-11.257256,0.152024,0.141108,True,created_month,1,0.080889,0.068258,3763.4559,3831.5929,directional_only
H3-main,M2,log1p_engagement_favorite_retweet,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,3.478232,0.296526,-11.574672,0.146404,0.150252,True,created_month,1,0.080598,0.067964,3790.2822,3858.4192,directional_only
H3-main,M2,log1p_favorite_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,2.928793,0.452227,-13.123866,0.159102,0.111583,True,created_month,1,0.076068,0.063372,4090.9342,4159.0713,directional_only
H3-main,M2,log1p_retweet_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,1.658111,0.624009,-7.19908,0.373535,0.115161,True,created_month,1,0.066679,0.053853,3819.7427,3887.8797,directional_only
H3-main,M2,log1p_reply_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,1.596709,0.611076,-10.49645,0.162295,0.076059,True,created_month,1,0.066306,0.053475,3676.6808,3744.8179,directional_only
H3-main,M2,log1p_quote_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,0.010109,0.997684,-6.296981,0.449572,0.000803,True,created_month,1,0.077373,0.064694,3875.4987,3943.6358,directional_only
H3-main,M2,log1p_bookmark_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-10.921359,0.000653,16.350814,0.032502,0.33397,True,created_month,1,0.098228,0.085836,3709.7121,3777.8492,not_support
H3-main,M3,log1p_engagement_total,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-2.234229,0.489466,5.353363,0.483232,0.208675,True,created_hour,1,0.047503,0.024098,3817.7085,3934.5149,not_support
H3-main,M3,log1p_engagement_favorite_retweet,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-2.119626,0.517733,5.430894,0.482902,0.195145,True,created_hour,1,0.047866,0.024469,3843.8656,3960.672,not_support
H3-main,M3,log1p_favorite_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-2.726299,0.476957,4.555221,0.614878,0.29925,True,created_hour,1,0.042726,0.019204,4144.9673,4261.7737,not_support
H3-main,M3,log1p_retweet_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-3.377665,0.305803,8.442446,0.27853,0.200041,True,created_hour,1,0.050697,0.02737,3856.0425,3972.8489,not_support
H3-main,M3,log1p_reply_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-1.794679,0.555092,0.71173,0.921065,1.260786,False,created_hour,1,0.062569,0.039534,3700.5152,3817.3216,not_support
H3-main,M3,log1p_quote_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-4.257039,0.214829,7.973909,0.325217,0.266936,True,created_hour,1,0.041523,0.01797,3932.095,4048.9014,not_support
H3-main,M3,log1p_bookmark_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-12.671839,6e-05,25.234925,0.000709,0.251077,True,created_hour,1,0.064048,0.041049,3765.4262,3882.2326,not_support
H3-main,M4,log1p_engagement_total,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-2.195865,0.530185,-3.487981,0.687479,-0.314776,False,created_year+created_month,2,0.122645,0.103958,3732.8198,3835.0254,not_support
H3-main,M4,log1p_engagement_favorite_retweet,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-2.442888,0.489687,-2.748838,0.753807,-0.444349,False,created_year+created_month,2,0.127879,0.109304,3753.5986,3855.8042,not_support
H3-main,M4,log1p_favorite_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-2.265129,0.587838,-3.54442,0.73224,-0.319535,False,created_year+created_month,2,0.104882,0.085816,4074.5194,4176.725,not_support
H3-main,M4,log1p_retweet_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-1.983781,0.582912,-6.212231,0.487866,-0.159667,False,created_year+created_month,2,0.103913,0.084827,3794.6595,3896.8651,not_support
H3-main,M4,log1p_reply_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-0.352168,0.916821,-8.665039,0.300018,-0.020321,False,created_year+created_month,2,0.093323,0.074012,3662.4924,3764.698,not_support
H3-main,M4,log1p_quote_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-0.59925,0.87254,-7.197351,0.43702,-0.04163,False,created_year+created_month,2,0.106306,0.087271,3858.9121,3961.1177,not_support
H3-main,M4,log1p_bookmark_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-5.880768,0.080596,5.465081,0.512137,0.538031,False,created_year+created_month,2,0.158429,0.140504,3657.385,3759.5906,not_support
H3-main,M5,log1p_engagement_total,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-7.035668,0.039413,13.534741,0.106877,0.259911,True,created_year+created_hour,2,0.094263,0.065014,3783.3841,3934.2591,not_support
