metric,value
primary_n,597
full_n,978
primary_humor_1,309
primary_humor_0,288
full_predicted_humor_1,564
full_predicted_humor_0,414
primary_year_unique,8
primary_month_unique,12
primary_hour_unique,20
full_year_unique,9
full_month_unique,12
full_hour_unique,22
sample_reduced_by_missing,no
rank_deficient_any,False
se_type,conventional_MSE
view_count_used,False
post_format_vars_used,False
posting_intensity_used,False
year_quarter_fe_used,False
day_of_week_created,False
H2_performed,False
H3_performed,False
new_vars_created,False
primary_M1_beta,0.5043
primary_M1_p_value,0.0004
primary_M4_beta,0.3306
primary_M4_p_value,0.0283
primary_M4_flag,supports_H1
original_posts_json_modified,False
