sample_type,model_name,dv,iv,n,coefficient,p_value,r_squared,adj_r_squared,aic,bic,included_time_fe,interpretation_flag
fullsample_binary_n978,M1_baseline,log1p_engagement_total,pred_humor_final_050,978,0.5008,0.0,0.0197,0.0187,1092.9491,1102.7201,none,supports_H1
fullsample_binary_n978,M2_year_fe,log1p_engagement_total,pred_humor_final_050,978,0.4207,0.0003,0.0573,0.0485,1070.7353,1119.5904,year_FE,supports_H1
fullsample_binary_n978,M3_year_month_fe,log1p_engagement_total,pred_humor_final_050,978,0.443,0.0001,0.129,0.1108,1015.3759,1117.9716,year_FE+month_FE,supports_H1
fullsample_binary_n978,M4_year_month_hour_fe,log1p_engagement_total,pred_humor_final_050,978,0.4677,0.0,0.1646,0.128,1016.5058,1221.6972,year_FE+month_FE+hour_FE,supports_H1
fullsample_binary_n978,M1_baseline,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.518,0.0,0.0205,0.0195,1119.6497,1129.4207,none,supports_H1
fullsample_binary_n978,M2_year_fe,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.4253,0.0003,0.0631,0.0544,1092.1681,1141.0231,year_FE,supports_H1
fullsample_binary_n978,M3_year_month_fe,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.4466,0.0001,0.1343,0.1162,1036.834,1139.4297,year_FE+month_FE,supports_H1
fullsample_binary_n978,M4_year_month_hour_fe,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.4751,0.0,0.1702,0.1339,1037.3963,1242.5877,year_FE+month_FE+hour_FE,supports_H1
fullsample_binary_n978,M1_baseline,log1p_favorite_count,pred_humor_final_050,978,0.6314,0.0,0.0225,0.0215,1415.4524,1425.2234,none,supports_H1
fullsample_binary_n978,M2_year_fe,log1p_favorite_count,pred_humor_final_050,978,0.563,0.0,0.0495,0.0406,1404.0514,1452.9064,year_FE,supports_H1
fullsample_binary_n978,M3_year_month_fe,log1p_favorite_count,pred_humor_final_050,978,0.5806,0.0,0.1169,0.0985,1354.0415,1456.6372,year_FE+month_FE,supports_H1
fullsample_binary_n978,M4_year_month_hour_fe,log1p_favorite_count,pred_humor_final_050,978,0.6036,0.0,0.1474,0.11,1361.7435,1566.9349,year_FE+month_FE+hour_FE,supports_H1
fullsample_binary_n978,M1_baseline,log1p_retweet_count,pred_humor_final_050,978,0.258,0.0273,0.005,0.004,1154.9894,1164.7604,none,supports_H1
fullsample_binary_n978,M2_year_fe,log1p_retweet_count,pred_humor_final_050,978,0.2436,0.0419,0.0329,0.0239,1143.1956,1192.0506,year_FE,supports_H1
fullsample_binary_n978,M3_year_month_fe,log1p_retweet_count,pred_humor_final_050,978,0.2745,0.0192,0.0973,0.0784,1097.7709,1200.3666,year_FE+month_FE,supports_H1
fullsample_binary_n978,M4_year_month_hour_fe,log1p_retweet_count,pred_humor_final_050,978,0.3068,0.0091,0.1367,0.0989,1096.1057,1301.2971,year_FE+month_FE+hour_FE,supports_H1
fullsample_binary_n978,M1_baseline,log1p_reply_count,pred_humor_final_050,978,0.4351,0.0001,0.0167,0.0157,984.189,993.96,none,supports_H1
fullsample_binary_n978,M2_year_fe,log1p_reply_count,pred_humor_final_050,978,0.4028,0.0003,0.0442,0.0353,972.4031,1021.2582,year_FE,supports_H1
fullsample_binary_n978,M3_year_month_fe,log1p_reply_count,pred_humor_final_050,978,0.426,0.0001,0.0962,0.0773,939.7069,1042.3026,year_FE+month_FE,supports_H1
fullsample_binary_n978,M4_year_month_hour_fe,log1p_reply_count,pred_humor_final_050,978,0.436,0.0001,0.1452,0.1077,927.2108,1132.4022,year_FE+month_FE+hour_FE,supports_H1
fullsample_binary_n978,M1_baseline,log1p_quote_count,pred_humor_final_050,978,0.2387,0.0494,0.004,0.0029,1230.6645,1240.4355,none,supports_H1
fullsample_binary_n978,M2_year_fe,log1p_quote_count,pred_humor_final_050,978,0.168,0.1763,0.0344,0.0254,1216.2843,1265.1394,year_FE,positive_not_significant
fullsample_binary_n978,M3_year_month_fe,log1p_quote_count,pred_humor_final_050,978,0.1963,0.1053,0.1039,0.0852,1165.2136,1267.8093,year_FE+month_FE,positive_not_significant
fullsample_binary_n978,M4_year_month_hour_fe,log1p_quote_count,pred_humor_final_050,978,0.2078,0.0893,0.1346,0.0967,1173.1925,1378.3839,year_FE+month_FE+hour_FE,weak_support
fullsample_binary_n978,M1_baseline,log1p_bookmark_count,pred_humor_final_050,978,-0.1382,0.2209,0.0015,0.0005,1089.0654,1098.8364,none,not_support
fullsample_binary_n978,M2_year_fe,log1p_bookmark_count,pred_humor_final_050,978,0.0814,0.4677,0.0893,0.0808,1015.1054,1063.9605,year_FE,positive_not_significant
fullsample_binary_n978,M3_year_month_fe,log1p_bookmark_count,pred_humor_final_050,978,0.0992,0.3641,0.1553,0.1377,963.4609,1066.0566,year_FE+month_FE,positive_not_significant
fullsample_binary_n978,M4_year_month_hour_fe,log1p_bookmark_count,pred_humor_final_050,978,0.1207,0.2744,0.1821,0.1463,973.9228,1179.1142,year_FE+month_FE+hour_FE,positive_not_significant
