source_file,variable_name,inferred_variable_group,dtype,non_missing_n,missing_n,missing_rate,unique_n,example_values,min,max,mean,std,notes
wendys_final_humor_presence_full_predictions.csv,no,identifier,numeric,978,0,0.0,978,"1, 2, 3",1.0,978.0,489.5,282.4686,
wendys_final_humor_presence_full_predictions.csv,id,identifier,numeric,978,0,0.0,978,"2065192194277818396, 2064726596179706275, 2064504139749417369",6083264102.0,2.0651921942778184e+18,1.5380194409677256e+18,2.7473973786319725e+17,
wendys_final_humor_presence_full_predictions.csv,tweet_url,identifier,string/mixed,0,978,0.0,978,"https://x.com/Wendys/status/2065192194277818396, https://x.com/Wendys/status/2064726596179706275, https://x.com/Wendys/status/2064504139749417369",nan,nan,nan,nan,
wendys_final_humor_presence_full_predictions.csv,text,text_raw,string/mixed,0,978,0.0,965,"if u dress up i will love u forever. Come experience the most bananas drive-thru ever. https://t.co/FDvzC4JTr1, Her: Gimme 10
Me: minutes or nuggets?, What does one wear to meet a minion",nan,nan,nan,nan,
wendys_final_humor_presence_full_predictions.csv,final_humor_binary,humor_presence_label,numeric,597,381,0.3896,2,"1, 0",0.0,1.0,0.5176,0.5001,
wendys_final_humor_presence_full_predictions.csv,final_humor_source,humor_presence_label,string/mixed,0,978,0.3896,3,"human, coder2, coder1",nan,nan,nan,nan,
wendys_final_humor_presence_full_predictions.csv,final_humor_label_available,humor_presence_label,numeric,978,0,0.0,2,"1, 0",0.0,1.0,0.6104,0.4879,
wendys_final_humor_presence_full_predictions.csv,model_humor,humor_presence_prediction,numeric,978,0,0.0,2,"1, 0",0.0,1.0,0.5409,0.4986,
wendys_final_humor_presence_full_predictions.csv,p_humor,humor_presence_prediction,numeric,978,0,0.0,760,"0.6370, 0.6379, 0.4224",0.2262,0.6762,0.4974,0.0839,
wendys_final_humor_presence_full_predictions.csv,p_humor_ml,humor_presence_prediction,numeric,978,0,0.0,722,"0.357664, 0.755204, 0.40964",0.0801,0.8054,0.3749,0.1441,
wendys_final_humor_presence_full_predictions.csv,p_humor_final_tfidf_logreg,humor_presence_prediction,numeric,978,0,0.0,907,"0.689021, 0.536777, 0.445943",0.0455,0.7926,0.5116,0.1592,
wendys_final_humor_presence_full_predictions.csv,pred_humor_final_050,humor_presence_prediction,numeric,978,0,0.0,2,"1, 0",0.0,1.0,0.5767,0.4943,
wendys_final_humor_presence_full_predictions.csv,log1p_p_humor_final_tfidf_logreg,humor_presence_prediction,numeric,978,0,0.0,906,"0.524149, 0.429688, 0.368762",0.0445,0.5837,0.4071,0.1127,
wendys_final_humor_presence_full_predictions.csv,prediction_set,humor_presence_prediction,string/mixed,0,978,0.0,2,"labeled, unlabeled",nan,nan,nan,nan,
wendys_fast_weak_supervised_humor_dataset.csv,id,identifier,numeric,978,0,0.0,978,"2065192194277818396, 2064726596179706275, 2064504139749417369",6083264102.0,2.0651921942778184e+18,1.5380194409677256e+18,2.7473973786319725e+17,
wendys_fast_weak_supervised_humor_dataset.csv,tweet_url,identifier,string/mixed,0,978,0.0,978,"https://x.com/Wendys/status/2065192194277818396, https://x.com/Wendys/status/2064726596179706275, https://x.com/Wendys/status/2064504139749417369",nan,nan,nan,nan,
wendys_fast_weak_supervised_humor_dataset.csv,created_year,date_time,numeric,978,0,0.0,9,"2026, 2025, 2024",2009.0,2026.0,2022.0153,2.1243,
wendys_fast_weak_supervised_humor_dataset.csv,created_month,date_time,numeric,978,0,0.0,12,"6, 5, 4",1.0,12.0,5.8793,3.2532,
wendys_fast_weak_supervised_humor_dataset.csv,created_day,date_time,numeric,978,0,0.0,31,"11, 10, 5",1.0,31.0,14.8517,8.5068,
wendys_fast_weak_supervised_humor_dataset.csv,created_time,date_time,string/mixed,0,978,0.0,946,"21:59:23, 15:09:15, 00:25:18",nan,nan,nan,nan,
wendys_fast_weak_supervised_humor_dataset.csv,text,text_raw,string/mixed,0,978,0.0,965,"if u dress up i will love u forever. Come experience the most bananas drive-thru ever. https://t.co/FDvzC4JTr1, Her: Gimme 10
Me: minutes or nuggets?, What does one wear to meet a minion",nan,nan,nan,nan,
wendys_fast_weak_supervised_humor_dataset.csv,clean_text,text_raw,string/mixed,0,978,0.0031,932,"if u dress up i will love u forever. come experience the most bananas drive-thru ever. <url>, her: gimme 10
me: minutes or nuggets?, what does one wear to meet a minion",nan,nan,nan,nan,
wendys_fast_weak_supervised_humor_dataset.csv,text_length,post_format_existing,numeric,978,0,0.0,243,"110, 37, 35",1.0,359.0,101.3415,65.2832,
wendys_fast_weak_supervised_humor_dataset.csv,url_count,post_format_existing,numeric,978,0,0.0,4,"1, 0, 3",0.0,3.0,0.5481,0.6106,
wendys_fast_weak_supervised_humor_dataset.csv,mention_count,post_format_existing,numeric,978,0,0.0,8,"0, 1, 2",0.0,8.0,0.3344,0.7861,
wendys_fast_weak_supervised_humor_dataset.csv,hashtag_count,post_format_existing,numeric,978,0,0.0,5,"0, 1, 2",0.0,5.0,0.1544,0.4429,
wendys_fast_weak_supervised_humor_dataset.csv,emoji_count,post_format_existing,numeric,978,0,0.0,5,"0, 2, 1",0.0,4.0,0.1912,0.523,
wendys_fast_weak_supervised_humor_dataset.csv,is_quote_status,post_format_existing,string/mixed,0,978,0.0,2,"False, True",nan,nan,nan,nan,
wendys_fast_weak_supervised_humor_dataset.csv,is_retweet_text,post_format_existing,string/mixed,0,978,0.0,2,"false, true",nan,nan,nan,nan,
wendys_fast_weak_supervised_humor_dataset.csv,reply_count,engagement_dv,numeric,978,0,0.0,435,"37, 83, 75",0.0,19267.0,351.5266,1095.0637,
wendys_fast_weak_supervised_humor_dataset.csv,favorite_count,engagement_dv,numeric,978,0,0.0,871,"401, 507, 411",0.0,796387.0,8032.6861,38447.5282,
wendys_fast_weak_supervised_humor_dataset.csv,retweet_count,engagement_dv,numeric,978,0,0.0,401,"69, 40, 26",0.0,112925.0,765.4683,5006.6987,
wendys_fast_weak_supervised_humor_dataset.csv,quote_count,engagement_dv,numeric,978,0,0.0,235,"9, 8, 7",0.0,11260.0,165.8548,773.9672,
wendys_fast_weak_supervised_humor_dataset.csv,bookmark_count,engagement_dv,numeric,978,0,0.0,202,"54, 11, 15",0.0,21285.0,114.955,779.9911,
wendys_fast_weak_supervised_humor_dataset.csv,view_count,engagement_dv,numeric,344,634,0.6483,344,"43444, 40600, 44746",1.0,44350314.0,1092693.4012,3747510.5699,
wendys_fast_weak_supervised_humor_dataset.csv,engagement_total,engagement_dv,numeric,978,0,0.0,900,"570, 649, 534",4.0,931445.0,9430.4908,44762.1267,
wendys_fast_weak_supervised_humor_dataset.csv,humor_score,possible_control_existing,numeric,978,0,0.0,33,"0.11, 0.928, 0.0",0.0,1.0,0.072,0.1654,
wendys_fast_weak_supervised_humor_dataset.csv,log1p_humor_score,humor_presence_prediction,numeric,978,0,0.0,33,"0.10436001532424277, 0.6564831961883539, 0.0",0.0,0.6931,0.0599,0.1312,
wendys_fast_weak_supervised_humor_dataset.csv,humor_score_components,possible_control_existing,string/mixed,0,978,0.0,47,"casual_conversational_tone, joke_qa_structure; pun_wordplay, insufficient_text_signal",nan,nan,nan,nan,
wendys_fast_weak_supervised_humor_dataset.csv,p_humor_ml,humor_presence_prediction,numeric,978,0,0.0,722,"0.357664, 0.755204, 0.40964",0.0801,0.8054,0.3749,0.1441,
wendys_fast_weak_supervised_humor_dataset.csv,log1p_p_humor_ml,humor_presence_prediction,numeric,978,0,0.0,722,"0.305766, 0.562585, 0.343334",0.077,0.5908,0.3129,0.106,
wendys_fast_weak_supervised_humor_dataset.csv,classifier_prob,humor_presence_prediction,numeric,978,0,0.0,697,"0.491022, 0.662159, 0.630215",0.1232,0.9127,0.5381,0.1766,
wendys_fast_weak_supervised_humor_dataset.csv,weak_humor_label,humor_presence_prediction,numeric,174,804,0.8221,2,"1, 0",0.0,1.0,0.5287,0.5006,
wendys_fast_weak_supervised_humor_dataset.csv,weak_label_source,possible_control_existing,string/mixed,0,978,0.0,3,"unlabeled, humor_score>=0.60 or strong_cue, score=0 and (plain_promotion or url_only)",nan,nan,nan,nan,
wendys_fast_weak_supervised_humor_dataset.csv,weak_label_confidence,possible_control_existing,string/mixed,0,978,0.0,2,"uncertain, high",nan,nan,nan,nan,
wendys_fast_weak_supervised_humor_dataset.csv,dominant_topic,possible_control_existing,numeric,978,0,0.0,8,"0, 5, 7",0.0,7.0,3.0348,2.3633,
wendys_fast_weak_supervised_humor_dataset.csv,dominant_topic_weight,possible_control_existing,numeric,978,0,0.0,885,"0.050042, 0.040481, 0.005148",0.0,0.583,0.1122,0.1158,
wendys_fast_weak_supervised_humor_dataset.csv,topic_0_prob,possible_control_existing,numeric,978,0,0.0,614,"0.050042, 0.00012, 0.000702",0.0,0.3617,0.0372,0.0744,
wendys_fast_weak_supervised_humor_dataset.csv,topic_1_prob,possible_control_existing,numeric,978,0,0.0,555,"0.000735, 0.003952, 8.6e-05",0.0,0.3973,0.0256,0.0577,
wendys_fast_weak_supervised_humor_dataset.csv,topic_2_prob,possible_control_existing,numeric,978,0,0.0,469,"0.007324, 0.0, 0.000269",0.0,0.4115,0.0141,0.0408,
wendys_fast_weak_supervised_humor_dataset.csv,topic_3_prob,possible_control_existing,numeric,978,0,0.0,330,"0.0, 0.000352, 0.004793",0.0,0.5141,0.0133,0.0606,
wendys_fast_weak_supervised_humor_dataset.csv,topic_4_prob,possible_control_existing,numeric,978,0,0.0,292,"0.0, 0.000106, 0.001242",0.0,0.58,0.0071,0.0542,
wendys_fast_weak_supervised_humor_dataset.csv,topic_5_prob,possible_control_existing,numeric,978,0,0.0,733,"0.03824, 0.040481, 0.0051",0.0,0.2612,0.0319,0.039,
wendys_fast_weak_supervised_humor_dataset.csv,topic_6_prob,possible_control_existing,numeric,978,0,0.0,295,"0.00114, 0.0, 0.009048",0.0,0.583,0.0079,0.055,
wendys_fast_weak_supervised_humor_dataset.csv,topic_7_prob,possible_control_existing,numeric,978,0,0.0,411,"0.0, 0.005148, 0.000786",0.0,0.4882,0.0144,0.0487,
wendys_fast_weak_supervised_humor_dataset.csv,log1p_engagement_total,engagement_dv,numeric,978,0,0.0,900,"6.3473892096560105, 6.476972362889683, 6.282266746896006",1.6094,13.7445,7.4138,1.7633,
wendys_fast_weak_supervised_humor_dataset.csv,log1p_favorite_count,engagement_dv,numeric,978,0,0.0,871,"5.996452088619021, 6.230481447578482, 6.021023349349527",0.0,13.5878,7.093,2.0823,
wendys_fast_weak_supervised_humor_dataset.csv,log1p_retweet_count,engagement_dv,numeric,978,0,0.0,401,"4.248495242049359, 3.713572066704308, 3.295836866004329",0.0,11.6345,4.4687,1.8066,
wendys_fast_weak_supervised_humor_dataset.csv,log1p_reply_count,engagement_dv,numeric,978,0,0.0,435,"3.6375861597263857, 4.430816798843313, 4.330733340286331",0.0,9.8662,4.5934,1.6654,
wendys_fast_weak_supervised_humor_dataset.csv,log1p_quote_count,engagement_dv,numeric,978,0,0.0,235,"2.302585092994046, 2.1972245773362196, 2.0794415416798357",0.0,9.3291,2.9027,1.8769,
