metric,value
total_rows,978
merged_rows,978
predicted_humor_rows,564
predicted_non_humor_rows,414
missing_pred_humor_rows,0
month_period_count,80
quarter_period_count,28
month_total_posts_min,1.0
month_total_posts_median,17.0
month_total_posts_mean,20.3497
month_total_posts_max,50.0
quarter_total_posts_min,1.0
quarter_total_posts_median,46.0
quarter_total_posts_mean,50.773
quarter_total_posts_max,110.0
month_humor_frequency_min,0.0
month_humor_frequency_max,37.0
month_humor_frequency_mean,12.4693
month_humor_frequency_sd,9.6138
quarter_humor_frequency_min,1.0
quarter_humor_frequency_max,78.0
quarter_humor_frequency_mean,31.3804
quarter_humor_frequency_sd,21.1122
month_humor_proportion_min,0.0
month_humor_proportion_max,1.0
month_humor_proportion_mean,0.5767
month_humor_proportion_sd,0.189
quarter_humor_proportion_min,0.2
quarter_humor_proportion_max,1.0
quarter_humor_proportion_mean,0.5767
quarter_humor_proportion_sd,0.1544
month_loo_missing_rows,3
quarter_loo_missing_rows,1
month_proportion_matches_existing_intensity,True
quarter_proportion_matches_existing_intensity,True
month_loo_matches_existing_intensity_loo,True
quarter_loo_matches_existing_intensity_loo,True
original_posts_json_modified,False
analysis_note,H3 회귀분석 미수행. 변수화 작업만 수행.
