sample_type,model_name,dv,iv,n,coefficient,p_value,r_squared,adj_r_squared,aic,bic,included_time_fe,included_post_format_variables,number_of_post_format_variables,interpretation_flag
probability_n978,M0_time_fe_only,log1p_engagement_total,p_humor_final_tfidf_logreg,978,1.0666,0.0027,0.1574,0.1205,1024.9421,1230.1336,year_FE+month_FE+hour_FE,none,0,supports_H1
probability_n978,M1_add_text_length,log1p_engagement_total,p_humor_final_tfidf_logreg,978,1.5082,0.0,0.1968,0.1607,980.1449,1190.2218,year_FE+month_FE+hour_FE,text_length,1,supports_H1
probability_n978,M2_add_hashtag,log1p_engagement_total,p_humor_final_tfidf_logreg,978,1.4994,0.0,0.2022,0.1655,975.4836,1190.446,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,supports_H1
probability_n978,M3_add_mention,log1p_engagement_total,p_humor_final_tfidf_logreg,978,0.8404,0.0175,0.248,0.2125,919.6923,1139.5402,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,supports_H1
probability_n978,M4_add_emoji,log1p_engagement_total,p_humor_final_tfidf_logreg,978,0.8392,0.0177,0.2481,0.2118,921.4948,1146.2282,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count+emoji_count,4,supports_H1
probability_n978,M0_time_fe_only,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,1.0547,0.0034,0.1626,0.1259,1046.4151,1251.6065,year_FE+month_FE+hour_FE,none,0,supports_H1
probability_n978,M1_add_text_length,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,1.5336,0.0,0.2075,0.1719,994.4073,1204.4843,year_FE+month_FE+hour_FE,text_length,1,supports_H1
probability_n978,M2_add_hashtag,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,1.5249,0.0,0.2126,0.1764,990.131,1205.0934,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,supports_H1
probability_n978,M3_add_mention,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,0.8967,0.0121,0.2531,0.2178,940.5433,1160.3912,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,supports_H1
probability_n978,M4_add_emoji,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,0.8952,0.0123,0.2533,0.2172,942.2494,1166.9828,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count+emoji_count,4,supports_H1
probability_n978,M0_time_fe_only,log1p_favorite_count,p_humor_final_tfidf_logreg,978,1.4941,0.0004,0.1405,0.1028,1369.6424,1574.8338,year_FE+month_FE+hour_FE,none,0,supports_H1
probability_n978,M1_add_text_length,log1p_favorite_count,p_humor_final_tfidf_logreg,978,2.0472,0.0,0.1847,0.1481,1319.9258,1530.0027,year_FE+month_FE+hour_FE,text_length,1,supports_H1
probability_n978,M2_add_hashtag,log1p_favorite_count,p_humor_final_tfidf_logreg,978,2.039,0.0,0.1881,0.1507,1317.9023,1532.8647,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,supports_H1
probability_n978,M3_add_mention,log1p_favorite_count,p_humor_final_tfidf_logreg,978,1.0553,0.0108,0.2612,0.2264,1227.562,1447.4099,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,supports_H1
probability_n978,M4_add_emoji,log1p_favorite_count,p_humor_final_tfidf_logreg,978,1.0534,0.011,0.2615,0.2258,1229.215,1453.9484,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count+emoji_count,4,supports_H1
probability_n978,M0_time_fe_only,log1p_retweet_count,p_humor_final_tfidf_logreg,978,0.5736,0.1206,0.1327,0.0947,1100.6923,1305.8837,year_FE+month_FE+hour_FE,none,0,positive_not_significant
probability_n978,M1_add_text_length,log1p_retweet_count,p_humor_final_tfidf_logreg,978,0.8345,0.0255,0.1457,0.1074,1087.8259,1297.9028,year_FE+month_FE+hour_FE,text_length,1,supports_H1
probability_n978,M2_add_hashtag,log1p_retweet_count,p_humor_final_tfidf_logreg,978,0.8325,0.0259,0.146,0.1067,1089.5254,1304.4878,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,supports_H1
probability_n978,M3_add_mention,log1p_retweet_count,p_humor_final_tfidf_logreg,978,0.4094,0.2832,0.164,0.1245,1070.7171,1290.565,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,positive_not_significant
probability_n978,M4_add_emoji,log1p_retweet_count,p_humor_final_tfidf_logreg,978,0.4084,0.2846,0.1641,0.1237,1072.6008,1297.3343,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count+emoji_count,4,positive_not_significant
probability_n978,M0_time_fe_only,log1p_reply_count,p_humor_final_tfidf_logreg,978,1.2521,0.0002,0.1428,0.1052,929.9721,1135.1635,year_FE+month_FE+hour_FE,none,0,supports_H1
probability_n978,M1_add_text_length,log1p_reply_count,p_humor_final_tfidf_logreg,978,1.482,0.0,0.1547,0.1168,918.227,1128.3039,year_FE+month_FE+hour_FE,text_length,1,supports_H1
probability_n978,M2_add_hashtag,log1p_reply_count,p_humor_final_tfidf_logreg,978,1.4713,0.0,0.1637,0.1252,909.8158,1124.7782,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,supports_H1
probability_n978,M3_add_mention,log1p_reply_count,p_humor_final_tfidf_logreg,978,0.5367,0.1033,0.2669,0.2324,782.9614,1002.8093,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,positive_not_significant
probability_n978,M4_add_emoji,log1p_reply_count,p_humor_final_tfidf_logreg,978,0.5348,0.1046,0.2674,0.232,784.3823,1009.1158,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count+emoji_count,4,positive_not_significant
probability_n978,M0_time_fe_only,log1p_quote_count,p_humor_final_tfidf_logreg,978,0.4552,0.2355,0.1332,0.0952,1174.7385,1379.9299,year_FE+month_FE+hour_FE,none,0,positive_not_significant
probability_n978,M1_add_text_length,log1p_quote_count,p_humor_final_tfidf_logreg,978,0.5962,0.1262,0.1367,0.098,1172.73,1382.807,year_FE+month_FE+hour_FE,text_length,1,positive_not_significant
probability_n978,M2_add_hashtag,log1p_quote_count,p_humor_final_tfidf_logreg,978,0.5958,0.1267,0.1368,0.097,1174.7185,1389.681,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,positive_not_significant
probability_n978,M3_add_mention,log1p_quote_count,p_humor_final_tfidf_logreg,978,0.0475,0.9045,0.1647,0.1253,1144.4964,1364.3443,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,positive_not_significant
probability_n978,M4_add_emoji,log1p_quote_count,p_humor_final_tfidf_logreg,978,0.0475,0.9046,0.1647,0.1244,1146.4964,1371.2298,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count+emoji_count,4,positive_not_significant
probability_n978,M0_time_fe_only,log1p_bookmark_count,p_humor_final_tfidf_logreg,978,0.0191,0.956,0.1811,0.1452,975.1686,1180.36,year_FE+month_FE+hour_FE,none,0,positive_not_significant
probability_n978,M1_add_text_length,log1p_bookmark_count,p_humor_final_tfidf_logreg,978,0.1784,0.6117,0.1863,0.1498,970.8924,1180.9693,year_FE+month_FE+hour_FE,text_length,1,positive_not_significant
probability_n978,M2_add_hashtag,log1p_bookmark_count,p_humor_final_tfidf_logreg,978,0.1754,0.6177,0.187,0.1495,972.1248,1187.0873,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,positive_not_significant
probability_n978,M3_add_mention,log1p_bookmark_count,p_humor_final_tfidf_logreg,978,-0.3703,0.2981,0.2191,0.1823,934.7204,1154.5683,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,not_support
probability_n978,M4_add_emoji,log1p_bookmark_count,p_humor_final_tfidf_logreg,978,-0.3721,0.296,0.2194,0.1817,936.2997,1161.0331,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count+emoji_count,4,not_support
