sample_type,model_name,dv,iv,n,aggressive_n,other_humor_n,aggressive_mean,other_humor_mean,mean_difference,coefficient,p_value,r_squared,adj_r_squared,aic,bic,included_time_fe,included_post_format_variables,number_of_post_format_variables,interpretation_flag
model_based_n564,M0_time_fe_only,log1p_engagement_total,is_aggressive_humor,564,200,364,7.9281,7.4597,0.4684,0.5199,0.0006,0.2279,0.1672,560.2592,742.3315,year_FE+month_FE+hour_FE,none,0,supports_H2
model_based_n564,M1_time_fe_text,log1p_engagement_total,is_aggressive_humor,564,200,364,7.9281,7.4597,0.4684,0.3454,0.0229,0.2598,0.2001,538.4355,724.8428,year_FE+month_FE+hour_FE,text_length,1,supports_H2
model_based_n564,M2_time_fe_hashtag,log1p_engagement_total,is_aggressive_humor,564,200,364,7.9281,7.4597,0.4684,0.5551,0.0002,0.2498,0.1893,546.0206,732.428,year_FE+month_FE+hour_FE,hashtag_count,1,supports_H2
model_based_n564,M3_time_fe_mention,log1p_engagement_total,is_aggressive_humor,564,200,364,7.9281,7.4597,0.4684,0.5005,0.0005,0.2975,0.2409,508.9233,695.3307,year_FE+month_FE+hour_FE,mention_count,1,supports_H2
model_based_n564,M4_time_fe_text_hashtag,log1p_engagement_total,is_aggressive_humor,564,200,364,7.9281,7.4597,0.4684,0.4006,0.0087,0.2695,0.2091,533.0163,723.7587,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,supports_H2
model_based_n564,M5_time_fe_text_mention,log1p_engagement_total,is_aggressive_humor,564,200,364,7.9281,7.4597,0.4684,0.37,0.0115,0.3153,0.2587,496.4713,687.2137,year_FE+month_FE+hour_FE,text_length+mention_count,2,supports_H2
model_based_n564,M6_time_fe_hashtag_mention,log1p_engagement_total,is_aggressive_humor,564,200,364,7.9281,7.4597,0.4684,0.526,0.0002,0.3074,0.2501,502.9811,693.7235,year_FE+month_FE+hour_FE,hashtag_count+mention_count,2,supports_H2
model_based_n564,M7_time_fe_all_post_format,log1p_engagement_total,is_aggressive_humor,564,200,364,7.9281,7.4597,0.4684,0.4056,0.006,0.3195,0.2618,495.0376,690.115,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,supports_H2
model_based_n564,M0_time_fe_only,log1p_engagement_favorite_retweet,is_aggressive_humor,564,200,364,7.8146,7.3327,0.4819,0.5407,0.0004,0.233,0.1728,572.795,754.8672,year_FE+month_FE+hour_FE,none,0,supports_H2
model_based_n564,M1_time_fe_text,log1p_engagement_favorite_retweet,is_aggressive_humor,564,200,364,7.8146,7.3327,0.4819,0.3475,0.023,0.271,0.2123,546.123,732.5303,year_FE+month_FE+hour_FE,text_length,1,supports_H2
model_based_n564,M2_time_fe_hashtag,log1p_engagement_favorite_retweet,is_aggressive_humor,564,200,364,7.8146,7.3327,0.4819,0.5767,0.0001,0.2552,0.1951,558.2451,744.6524,year_FE+month_FE+hour_FE,hashtag_count,1,supports_H2
model_based_n564,M3_time_fe_mention,log1p_engagement_favorite_retweet,is_aggressive_humor,564,200,364,7.8146,7.3327,0.4819,0.5214,0.0003,0.3004,0.244,522.9066,709.314,year_FE+month_FE+hour_FE,mention_count,1,supports_H2
model_based_n564,M4_time_fe_text_hashtag,log1p_engagement_favorite_retweet,is_aggressive_humor,564,200,364,7.8146,7.3327,0.4819,0.4011,0.0091,0.2799,0.2203,541.2307,731.9731,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,supports_H2
model_based_n564,M5_time_fe_text_mention,log1p_engagement_favorite_retweet,is_aggressive_humor,564,200,364,7.8146,7.3327,0.4819,0.3717,0.0118,0.3231,0.2671,506.3081,697.0505,year_FE+month_FE+hour_FE,text_length+mention_count,2,supports_H2
model_based_n564,M6_time_fe_hashtag_mention,log1p_engagement_favorite_retweet,is_aggressive_humor,564,200,364,7.8146,7.3327,0.4819,0.5477,0.0002,0.3106,0.2536,516.6443,707.3867,year_FE+month_FE+hour_FE,hashtag_count+mention_count,2,supports_H2
model_based_n564,M7_time_fe_all_post_format,log1p_engagement_favorite_retweet,is_aggressive_humor,564,200,364,7.8146,7.3327,0.4819,0.406,0.0064,0.3269,0.2698,505.1728,700.2503,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,supports_H2
model_based_n564,M0_time_fe_only,log1p_favorite_count,is_aggressive_humor,564,200,364,7.7386,7.1524,0.5862,0.6504,0.0002,0.2092,0.1471,711.3735,893.4458,year_FE+month_FE+hour_FE,none,0,supports_H2
model_based_n564,M1_time_fe_text,log1p_favorite_count,is_aggressive_humor,564,200,364,7.7386,7.1524,0.5862,0.447,0.01,0.2432,0.1822,688.6026,875.0099,year_FE+month_FE+hour_FE,text_length,1,supports_H2
model_based_n564,M2_time_fe_hashtag,log1p_favorite_count,is_aggressive_humor,564,200,364,7.7386,7.1524,0.5862,0.6846,0.0001,0.2254,0.1629,701.7157,888.123,year_FE+month_FE+hour_FE,hashtag_count,1,supports_H2
model_based_n564,M3_time_fe_mention,log1p_favorite_count,is_aggressive_humor,564,200,364,7.7386,7.1524,0.5862,0.6234,0.0001,0.3158,0.2607,631.6866,818.0939,year_FE+month_FE+hour_FE,mention_count,1,supports_H2
model_based_n564,M4_time_fe_text_hashtag,log1p_favorite_count,is_aggressive_humor,564,200,364,7.7386,7.1524,0.5862,0.4944,0.0047,0.2488,0.1866,686.4312,877.1736,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,supports_H2
model_based_n564,M5_time_fe_text_mention,log1p_favorite_count,is_aggressive_humor,564,200,364,7.7386,7.1524,0.5862,0.4822,0.0032,0.3321,0.2769,620.1102,810.8525,year_FE+month_FE+hour_FE,text_length+mention_count,2,supports_H2
model_based_n564,M6_time_fe_hashtag_mention,log1p_favorite_count,is_aggressive_humor,564,200,364,7.7386,7.1524,0.5862,0.6424,0.0001,0.3201,0.2639,630.1275,820.8699,year_FE+month_FE+hour_FE,hashtag_count+mention_count,2,supports_H2
model_based_n564,M7_time_fe_all_post_format,log1p_favorite_count,is_aggressive_humor,564,200,364,7.7386,7.1524,0.5862,0.5017,0.0024,0.3331,0.2765,621.2853,816.3627,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,supports_H2
model_based_n564,M0_time_fe_only,log1p_retweet_count,is_aggressive_humor,564,200,364,4.8844,4.4095,0.4749,0.4636,0.0047,0.1891,0.1254,658.1319,840.2042,year_FE+month_FE+hour_FE,none,0,supports_H2
model_based_n564,M1_time_fe_text,log1p_retweet_count,is_aggressive_humor,564,200,364,4.8844,4.4095,0.4749,0.3536,0.0352,0.2003,0.1358,652.2929,838.7003,year_FE+month_FE+hour_FE,text_length,1,supports_H2
model_based_n564,M2_time_fe_hashtag,log1p_retweet_count,is_aggressive_humor,564,200,364,4.8844,4.4095,0.4749,0.4845,0.0031,0.1959,0.1311,655.3644,841.7717,year_FE+month_FE+hour_FE,hashtag_count,1,supports_H2
model_based_n564,M3_time_fe_mention,log1p_retweet_count,is_aggressive_humor,564,200,364,4.8844,4.4095,0.4749,0.449,0.0052,0.2238,0.1613,635.4112,821.8186,year_FE+month_FE+hour_FE,mention_count,1,supports_H2
model_based_n564,M4_time_fe_text_hashtag,log1p_retweet_count,is_aggressive_humor,564,200,364,4.8844,4.4095,0.4749,0.3852,0.023,0.2031,0.1372,652.3116,843.054,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,supports_H2
model_based_n564,M5_time_fe_text_mention,log1p_retweet_count,is_aggressive_humor,564,200,364,4.8844,4.4095,0.4749,0.3725,0.0241,0.2292,0.1655,633.4845,824.2269,year_FE+month_FE+hour_FE,text_length+mention_count,2,supports_H2
model_based_n564,M6_time_fe_hashtag_mention,log1p_retweet_count,is_aggressive_humor,564,200,364,4.8844,4.4095,0.4749,0.462,0.0041,0.2261,0.1621,635.7599,826.5023,year_FE+month_FE+hour_FE,hashtag_count+mention_count,2,supports_H2
model_based_n564,M7_time_fe_all_post_format,log1p_retweet_count,is_aggressive_humor,564,200,364,4.8844,4.4095,0.4749,0.3891,0.0196,0.23,0.1648,634.899,829.9764,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,supports_H2
model_based_n564,M0_time_fe_only,log1p_reply_count,is_aggressive_humor,564,200,364,4.908,4.706,0.202,0.223,0.1212,0.1769,0.1122,512.6643,694.7366,year_FE+month_FE+hour_FE,none,0,positive_not_significant
model_based_n564,M1_time_fe_text,log1p_reply_count,is_aggressive_humor,564,200,364,4.908,4.706,0.202,0.1586,0.2837,0.1819,0.1159,511.2029,697.6103,year_FE+month_FE+hour_FE,text_length,1,positive_not_significant
model_based_n564,M2_time_fe_hashtag,log1p_reply_count,is_aggressive_humor,564,200,364,4.908,4.706,0.202,0.2516,0.0783,0.1936,0.1286,503.0691,689.4764,year_FE+month_FE+hour_FE,hashtag_count,1,weak_support
model_based_n564,M3_time_fe_mention,log1p_reply_count,is_aggressive_humor,564,200,364,4.908,4.706,0.202,0.2011,0.1355,0.2795,0.2214,439.5655,625.9729,year_FE+month_FE+hour_FE,mention_count,1,positive_not_significant
model_based_n564,M4_time_fe_text_hashtag,log1p_reply_count,is_aggressive_humor,564,200,364,4.908,4.706,0.202,0.2176,0.1425,0.1947,0.1281,504.2983,695.0407,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,positive_not_significant
model_based_n564,M5_time_fe_text_mention,log1p_reply_count,is_aggressive_humor,564,200,364,4.908,4.706,0.202,0.1889,0.1742,0.2797,0.2201,441.4241,632.1665,year_FE+month_FE+hour_FE,text_length+mention_count,2,positive_not_significant
model_based_n564,M6_time_fe_hashtag_mention,log1p_reply_count,is_aggressive_humor,564,200,364,4.908,4.706,0.202,0.2176,0.1063,0.2843,0.2251,437.8167,628.5591,year_FE+month_FE+hour_FE,hashtag_count+mention_count,2,positive_not_significant
model_based_n564,M7_time_fe_all_post_format,log1p_reply_count,is_aggressive_humor,564,200,364,4.908,4.706,0.202,0.2238,0.1101,0.2843,0.2236,439.7875,634.8649,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,positive_not_significant
model_based_n564,M0_time_fe_only,log1p_quote_count,is_aggressive_humor,564,200,364,3.2164,2.8869,0.3295,0.4178,0.0117,0.2018,0.1391,670.406,852.4783,year_FE+month_FE+hour_FE,none,0,supports_H2
model_based_n564,M1_time_fe_text,log1p_quote_count,is_aggressive_humor,564,200,364,3.2164,2.8869,0.3295,0.3841,0.0246,0.2028,0.1386,671.6906,858.0979,year_FE+month_FE+hour_FE,text_length,1,supports_H2
model_based_n564,M2_time_fe_hashtag,log1p_quote_count,is_aggressive_humor,564,200,364,3.2164,2.8869,0.3295,0.4256,0.0104,0.2027,0.1384,671.7641,858.1714,year_FE+month_FE+hour_FE,hashtag_count,1,supports_H2
model_based_n564,M3_time_fe_mention,log1p_quote_count,is_aggressive_humor,564,200,364,3.2164,2.8869,0.3295,0.4058,0.0131,0.2247,0.1622,656.0169,842.4243,year_FE+month_FE+hour_FE,mention_count,1,supports_H2
model_based_n564,M4_time_fe_text_hashtag,log1p_quote_count,is_aggressive_humor,564,200,364,3.2164,2.8869,0.3295,0.3972,0.0214,0.2033,0.1374,673.3642,864.1066,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,supports_H2
model_based_n564,M5_time_fe_text_mention,log1p_quote_count,is_aggressive_humor,564,200,364,3.2164,2.8869,0.3295,0.4009,0.0175,0.2247,0.1606,658.0013,848.7437,year_FE+month_FE+hour_FE,text_length+mention_count,2,supports_H2
model_based_n564,M6_time_fe_hashtag_mention,log1p_quote_count,is_aggressive_humor,564,200,364,3.2164,2.8869,0.3295,0.4061,0.0133,0.2247,0.1606,658.0161,848.7585,year_FE+month_FE+hour_FE,hashtag_count+mention_count,2,supports_H2
model_based_n564,M7_time_fe_all_post_format,log1p_quote_count,is_aggressive_humor,564,200,364,3.2164,2.8869,0.3295,0.4007,0.0188,0.2247,0.159,660.0013,855.0787,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,supports_H2
model_based_n564,M0_time_fe_only,log1p_bookmark_count,is_aggressive_humor,564,200,364,2.8861,2.394,0.492,0.4064,0.0057,0.1997,0.1368,534.1391,716.2114,year_FE+month_FE+hour_FE,none,0,supports_H2
model_based_n564,M1_time_fe_text,log1p_bookmark_count,is_aggressive_humor,564,200,364,2.8861,2.394,0.492,0.3548,0.019,0.2027,0.1384,533.9968,720.4041,year_FE+month_FE+hour_FE,text_length,1,supports_H2
model_based_n564,M2_time_fe_hashtag,log1p_bookmark_count,is_aggressive_humor,564,200,364,2.8861,2.394,0.492,0.4185,0.0045,0.2025,0.1382,534.1752,720.5825,year_FE+month_FE+hour_FE,hashtag_count,1,supports_H2
model_based_n564,M3_time_fe_mention,log1p_bookmark_count,is_aggressive_humor,564,200,364,2.8861,2.394,0.492,0.3944,0.0063,0.2287,0.1666,515.2885,701.6958,year_FE+month_FE+hour_FE,mention_count,1,supports_H2
model_based_n564,M4_time_fe_text_hashtag,log1p_bookmark_count,is_aggressive_humor,564,200,364,2.8861,2.394,0.492,0.3751,0.0141,0.2041,0.1383,534.986,725.7284,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,supports_H2
model_based_n564,M5_time_fe_text_mention,log1p_bookmark_count,is_aggressive_humor,564,200,364,2.8861,2.394,0.492,0.3711,0.0127,0.2293,0.1656,516.8398,707.5822,year_FE+month_FE+hour_FE,text_length+mention_count,2,supports_H2
model_based_n564,M6_time_fe_hashtag_mention,log1p_bookmark_count,is_aggressive_humor,564,200,364,2.8861,2.394,0.492,0.3994,0.0058,0.2291,0.1654,516.9859,707.7283,year_FE+month_FE+hour_FE,hashtag_count+mention_count,2,supports_H2
model_based_n564,M7_time_fe_all_post_format,log1p_bookmark_count,is_aggressive_humor,564,200,364,2.8861,2.394,0.492,0.3786,0.0119,0.2295,0.1642,518.6967,713.7741,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,supports_H2
