model_name,dv,n,quarter_count,humor_n,nonhumor_n,intensity_mean_raw,intensity_min_raw,intensity_max_raw,intensity_mean_centered,coef_humor,p_humor,coef_intensity_centered,p_intensity_centered,coef_intensity_centered_sq,p_intensity_centered_sq,coef_humor_x_intensity_centered,p_humor_x_intensity_centered,coef_humor_x_intensity_centered_sq,p_humor_x_intensity_centered_sq,h3_condition_beta4_positive,h3_condition_beta5_negative,h3_condition_beta4_significant,h3_condition_beta5_significant,r_squared,adj_r_squared,aic,bic,included_time_fe,included_post_format_controls,interpretation_flag
M0_simple_interaction,log1p_engagement_total,960,25,557,403,0.580208,0.157895,0.916667,0.0,0.544738,0.000216,-0.757895,0.270091,0.035089,0.991417,1.6488,0.055452,-1.427536,0.727199,True,True,False,False,0.025798,0.020692,1078.9768,1108.1784,none,none,weak_support
M1_time_fe,log1p_engagement_total,960,25,557,403,0.580208,0.157895,0.916667,0.0,0.423724,0.003458,-2.49157,0.004898,2.171408,0.504697,1.589256,0.059082,2.362217,0.5616,True,False,False,False,0.175441,0.135791,996.8774,1215.8894,year_FE+month_FE+hour_FE,none,not_support
M2_time_fe_controls,log1p_engagement_total,960,25,557,403,0.580208,0.157895,0.916667,0.0,0.245872,0.079914,-2.313116,0.006278,2.466275,0.426339,1.417594,0.076624,1.964782,0.611397,True,False,False,False,0.260212,0.222087,898.7317,1132.3445,year_FE+month_FE+hour_FE,텍스트길이+해시태그수+멘션수,not_support
