sample_type,model_name,dv,iv,n,coefficient,p_value,r_squared,adj_r_squared,aic,bic,included_time_fe,included_post_format_variables,number_of_post_format_variables,interpretation_flag
probability_n978,M0_time_fe_only,log1p_engagement_total,p_humor_final_tfidf_logreg,978,1.0666,0.0027,0.1574,0.1205,1024.9421,1230.1336,year_FE+month_FE+hour_FE,none,0,supports_H1
probability_n978,M1_text_length,log1p_engagement_total,p_humor_final_tfidf_logreg,978,1.5082,0.0,0.1968,0.1607,980.1449,1190.2218,year_FE+month_FE+hour_FE,text_length,1,supports_H1
probability_n978,M2_hashtag,log1p_engagement_total,p_humor_final_tfidf_logreg,978,1.125,0.0015,0.1727,0.1355,1009.0231,1219.1,year_FE+month_FE+hour_FE,hashtag_count,1,supports_H1
probability_n978,M3_mention,log1p_engagement_total,p_humor_final_tfidf_logreg,978,0.4463,0.197,0.2311,0.1966,937.3459,1147.4228,year_FE+month_FE+hour_FE,mention_count,1,positive_not_significant
probability_n978,M4_text_hashtag,log1p_engagement_total,p_humor_final_tfidf_logreg,978,1.4994,0.0,0.2022,0.1655,975.4836,1190.446,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,supports_H1
probability_n978,M5_text_mention,log1p_engagement_total,p_humor_final_tfidf_logreg,978,0.8274,0.0191,0.2475,0.2129,918.2909,1133.2533,year_FE+month_FE+hour_FE,text_length+mention_count,2,supports_H1
probability_n978,M6_hashtag_mention,log1p_engagement_total,p_humor_final_tfidf_logreg,978,0.5017,0.1486,0.2333,0.198,936.5825,1151.545,year_FE+month_FE+hour_FE,hashtag_count+mention_count,2,positive_not_significant
probability_n978,M7_all_three,log1p_engagement_total,p_humor_final_tfidf_logreg,978,0.8404,0.0175,0.248,0.2125,919.6923,1139.5402,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,supports_H1
probability_n978,M0_time_fe_only,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,1.0547,0.0034,0.1626,0.1259,1046.4151,1251.6065,year_FE+month_FE+hour_FE,none,0,supports_H1
probability_n978,M1_text_length,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,1.5336,0.0,0.2075,0.1719,994.4073,1204.4843,year_FE+month_FE+hour_FE,text_length,1,supports_H1
probability_n978,M2_hashtag,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,1.1146,0.0018,0.1781,0.1412,1030.0668,1240.1437,year_FE+month_FE+hour_FE,hashtag_count,1,supports_H1
probability_n978,M3_mention,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,0.446,0.2035,0.2316,0.1971,964.214,1174.2909,year_FE+month_FE+hour_FE,mention_count,1,positive_not_significant
probability_n978,M4_text_hashtag,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,1.5249,0.0,0.2126,0.1764,990.131,1205.0934,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,supports_H1
probability_n978,M5_text_mention,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,0.8832,0.0133,0.2526,0.2182,939.1713,1154.1338,year_FE+month_FE+hour_FE,text_length+mention_count,2,supports_H1
probability_n978,M6_hashtag_mention,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,0.5067,0.1501,0.2342,0.1989,962.9798,1177.9422,year_FE+month_FE+hour_FE,hashtag_count+mention_count,2,positive_not_significant
