id,tweet_url,created_at,text,lang,conversation_id,is_quote_status,is_retweet_text,reply_count,favorite_count,retweet_count,quote_count,bookmark_count,view_count,humor_score,humor_score_band,humor_present_050,humor_score_reason,humor_score_components
2065192194277818396,https://x.com/Wendys/status/2065192194277818396,Thu Jun 11 21:59:23 +0000 2026,if u dress up i will love u forever. Come experience the most bananas drive-thru ever. https://t.co/FDvzC4JTr1,en,2065192194277818396,False,false,37,401,69,9,54,43444,0.11,very_low,0,casual conversational tone detected,casual_conversational_tone
2064726596179706275,https://x.com/Wendys/status/2064726596179706275,Wed Jun 10 15:09:15 +0000 2026,"Her: Gimme 10
Me: minutes or nuggets?",en,2064726596179706275,False,false,83,507,40,8,11,40600,0.928,very_high,1,joke-like question-answer structure detected,joke_qa_structure; pun_wordplay
2064504139749417369,https://x.com/Wendys/status/2064504139749417369,Wed Jun 10 00:25:18 +0000 2026,What does one wear to meet a minion,en,2064504139749417369,False,false,75,411,26,7,15,44746,0.0,very_low,0,insufficient textual humor signal,insufficient_text_signal
2063002561263640786,https://x.com/Wendys/status/2063002561263640786,Fri Jun 05 20:58:33 +0000 2026,"The KPIs, ROIs, and LOLs are about to go off the charts.
Congratulations to our NEW Chief Tasting Officer Amber Luster 🎉🎉🎉 We can’t wait to see all the incredible things you do with your title. 

And thank you to all our fans who submitted an application❤️ https://t.co/WxU0LzL72Z",en,2063002561263640786,False,false,46,209,16,1,13,47924,0.52,medium,1,mock-serious framing detected,mock_serious_framing
2061565494453555359,https://x.com/Wendys/status/2061565494453555359,Mon Jun 01 21:48:10 +0000 2026,"Came for a Frosty, stayed for the door to the backrooms https://t.co/0BMCyHc7XK",en,2061565494453555359,False,false,76,650,52,11,30,66225,0.6,high,1,absurd or surreal phrasing detected,absurdity_surrealism
2060433958609813857,https://x.com/Wendys/status/2060433958609813857,Fri May 29 18:51:51 +0000 2026,"Y’all nearly crashed the system with all your applications, but we’ve finally made our top selections. Stay tuned for an announcement coming real soon 👀👀👀 https://t.co/f6wqnO0yeF",en,2060433958609813857,False,false,62,152,21,7,9,39657,0.11,very_low,0,casual conversational tone detected,casual_conversational_tone
2060406022825554333,https://x.com/Wendys/status/2060406022825554333,Fri May 29 17:00:50 +0000 2026,50% off on Sat &amp; Sun too 💅,en,2060405944735957384,False,false,10,48,8,0,1,22076,0.0,very_low,0,insufficient textual humor signal,insufficient_text_signal
2060405944735957384,https://x.com/Wendys/status/2060405944735957384,Fri May 29 17:00:32 +0000 2026,rich asf craving the new Ice Spicy Meal on DoorDash https://t.co/kVe28gJjYt,en,2060405944735957384,True,false,59,157,28,4,4,59705,0.0,very_low,0,insufficient textual humor signal,insufficient_text_signal
2060393163458498982,https://x.com/Wendys/status/2060393163458498982,Fri May 29 16:09:45 +0000 2026,28 and 10? Fine. Free FRENCH fries in the app with $5 purchase for everybody (including aliens 👽),en,2060393163458498982,True,false,16,170,16,3,6,49054,0.0,very_low,0,plain promotion without clear humor,plain_promotion
2059700189909111001,https://x.com/Wendys/status/2059700189909111001,Wed May 27 18:16:07 +0000 2026,Big star energy. Pocket-sized legends. https://t.co/oNQdB0s9Mn,en,2059700189909111001,False,false,32,303,45,2,25,45120,0.0,very_low,0,insufficient textual humor signal,insufficient_text_signal
2059459943040753916,https://x.com/Wendys/status/2059459943040753916,Wed May 27 02:21:27 +0000 2026,"It’s giving fan behavior but I’m a fan of me too, so I get it! https://t.co/ecpi4sU0kz",en,2059459943040753916,False,false,18,192,15,0,13,43398,0.0,very_low,0,insufficient textual humor signal,insufficient_text_signal
2059351523583311924,https://x.com/Wendys/status/2059351523583311924,Tue May 26 19:10:38 +0000 2026,Be there. Seaport Square.,en,2059351523583311924,True,false,14,89,9,2,4,55132,0.0,very_low,0,insufficient textual humor signal,insufficient_text_signal
