year_quarter,total_posts,predicted_humor_posts,aggressive_posts,other_humor_posts,non_humor_posts,aggressive_humor_frequency,other_humor_frequency,aggressive_humor_proportion,other_humor_proportion,aggressive_share_among_humor,mean_aggressive_humor_proportion_loo,mean_other_humor_proportion_loo,mean_aggressive_share_among_humor_loo,mean_log1p_engagement_total,median_log1p_engagement_total,mean_log1p_engagement_favorite_retweet,mean_log1p_favorite_count,mean_log1p_retweet_count,mean_log1p_reply_count,mean_log1p_quote_count,mean_log1p_bookmark_count,mean_log1p_view_count,min_created_date,max_created_date,included_in_filtered_sample
2009-Q4,1,1,1,0,0,1,0,1.0,0.0,1.0,nan,nan,nan,7.32975,7.32975,7.185387,7.127694,4.317488,5.049856,3.496508,2.944439,0.0,2009-11-26,2009-11-26,0
2019-Q4,28,14,7,7,14,7,7,0.25,0.25,0.5,0.25,0.25,0.5,8.028305,8.390693,7.980261,7.37359,5.544372,3.939116,1.575271,1.609673,0.0,2019-11-16,2019-12-29,1
2020-Q1,50,32,10,22,18,10,22,0.2,0.44,0.3125,0.2,0.44,0.3125,9.085502,8.821027,8.992928,8.920931,6.180946,5.767251,4.49988,3.505347,0.0,2020-01-02,2020-03-27,1
2020-Q2,110,78,21,57,32,21,57,0.190909,0.518182,0.269231,0.190909,0.518182,0.269231,7.012648,6.950484,6.893774,6.723457,3.916332,4.27895,2.413065,1.646031,0.0,2020-04-01,2020-06-25,1
2020-Q3,65,43,8,35,22,8,35,0.123077,0.538462,0.186047,0.123077,0.538462,0.186047,7.637069,7.775696,7.549053,7.501921,4.366029,4.761687,3.046202,2.171045,0.0,2020-07-01,2020-09-28,1
2020-Q4,56,35,9,26,21,9,26,0.160714,0.464286,0.257143,0.160714,0.464286,0.257143,7.838615,7.249501,7.729317,7.665809,4.450721,5.069962,3.388219,2.338115,0.0,2020-10-06,2020-12-26,1
2021-Q1,78,51,26,25,27,26,25,0.333333,0.320513,0.509804,0.333333,0.320513,0.509804,7.588188,7.526892,7.494673,7.258923,4.418255,4.491908,2.984747,2.328245,0.0,2021-01-06,2021-03-31,1
2021-Q2,48,24,9,15,24,9,15,0.1875,0.3125,0.375,0.1875,0.3125,0.375,7.710112,7.312744,7.609052,7.294089,4.848815,4.646736,3.187875,2.542445,0.0,2021-04-01,2021-06-29,1
2021-Q3,43,36,8,28,7,8,28,0.186047,0.651163,0.222222,0.186047,0.651163,0.222222,7.088253,7.316548,6.975547,6.634771,4.110634,4.432302,2.670718,1.783851,0.0,2021-07-06,2021-09-28,1
2021-Q4,25,22,6,16,3,6,16,0.24,0.64,0.272727,0.24,0.64,0.272727,8.328426,8.083329,8.133822,8.070488,5.152348,5.910807,4.015337,2.815266,0.0,2021-10-04,2021-12-16,1
2022-Q1,42,28,12,16,14,12,16,0.285714,0.380952,0.428571,0.285714,0.380952,0.428571,7.093879,7.530647,6.965911,6.551023,4.193577,4.383004,2.869377,2.215278,0.0,2022-01-10,2022-03-31,1
2022-Q2,24,18,4,14,6,4,14,0.166667,0.583333,0.222222,0.166667,0.583333,0.222222,7.759733,7.790936,7.617489,7.157519,4.971515,5.054465,3.403165,2.739593,0.0,2022-04-03,2022-06-27,1
2022-Q3,39,24,12,12,15,12,12,0.307692,0.307692,0.5,0.307692,0.307692,0.5,7.311002,7.228388,7.226465,6.828926,4.357434,4.222766,2.433299,2.148767,0.0,2022-07-07,2022-09-27,1
2022-Q4,32,19,6,13,13,6,13,0.1875,0.40625,0.315789,0.1875,0.40625,0.315789,7.675636,7.828222,7.564767,7.315113,4.802522,4.750228,3.196984,2.850169,2.786765,2022-10-04,2022-12-24,1
2023-Q1,19,9,4,5,10,4,5,0.210526,0.263158,0.444444,0.210526,0.263158,0.444444,8.362852,8.637639,8.182445,7.992987,5.310896,5.694423,3.79067,3.499187,13.32329,2023-01-18,2023-03-30,1
2023-Q2,32,11,7,4,21,7,4,0.21875,0.125,0.636364,0.21875,0.125,0.636364,6.756306,7.072464,6.579279,6.420139,3.822259,4.397343,2.372679,2.522393,12.709255,2023-04-06,2023-06-30,1
2023-Q3,12,3,1,2,9,1,2,0.083333,0.166667,0.333333,0.083333,0.166667,0.333333,7.259874,7.517524,7.04006,6.979314,4.218698,5.078075,3.195359,3.069104,13.089271,2023-07-06,2023-09-22,1
2023-Q4,8,3,0,3,5,0,3,0.0,0.375,0.0,0.0,0.375,0.0,8.354286,7.640725,8.196461,8.083903,5.835013,5.293826,4.321135,4.275918,13.655025,2023-10-02,2023-11-15,0
2024-Q1,18,7,5,2,11,5,2,0.277778,0.111111,0.714286,0.277778,0.111111,0.714286,7.278001,7.190114,7.05603,6.678659,4.618888,4.78416,3.222497,3.46675,12.295811,2024-01-08,2024-03-20,1
2024-Q2,27,10,8,2,17,8,2,0.296296,0.074074,0.8,0.296296,0.074074,0.8,7.168498,7.13966,7.019031,6.910412,4.634276,4.351307,2.927474,3.278063,12.683113,2024-04-02,2024-06-27,1
2024-Q3,41,18,10,8,23,10,8,0.243902,0.195122,0.555556,0.243902,0.195122,0.555556,6.362638,6.156979,6.240724,6.165949,3.560959,3.527204,1.865412,2.274103,12.006923,2024-07-03,2024-09-27,1
2024-Q4,20,4,0,4,16,0,4,0.0,0.2,0.0,0.0,0.2,0.0,7.705925,7.21854,7.528909,7.414001,5.184317,5.032544,3.412029,4.295886,12.669707,2024-10-01,2024-12-31,1
2025-Q1,21,9,4,5,12,4,5,0.190476,0.238095,0.444444,0.190476,0.238095,0.444444,7.179313,7.044033,7.053974,6.920851,4.730075,4.442459,2.553099,3.393144,12.722019,2025-01-02,2025-03-31,1
2025-Q2,14,4,3,1,10,3,1,0.214286,0.071429,0.75,0.214286,0.071429,0.75,8.333818,8.424631,8.209379,8.135021,5.42509,5.388439,3.723715,4.68657,13.700766,2025-04-01,2025-06-25,1
2025-Q3,9,3,1,2,6,1,2,0.111111,0.222222,0.333333,0.111111,0.222222,0.333333,7.518484,6.924612,7.345403,7.270753,4.598603,4.964577,2.980427,4.000553,12.586792,2025-07-09,2025-09-09,0
2025-Q4,11,6,3,3,5,3,3,0.272727,0.272727,0.5,0.272727,0.272727,0.5,6.752924,6.45047,6.538752,6.455286,3.99861,4.550056,2.746145,3.297824,12.12046,2025-10-06,2025-12-18,1
2026-Q1,46,17,6,11,29,6,11,0.130435,0.23913,0.352941,0.130435,0.23913,0.352941,6.942879,6.962609,6.747747,6.663863,4.166064,4.320633,2.802489,3.695194,12.417026,2026-01-04,2026-03-30,1
2026-Q2,59,35,9,26,24,9,26,0.152542,0.440678,0.257143,0.152542,0.440678,0.257143,6.275776,5.723585,6.085216,6.005024,3.477409,3.854753,2.00534,3.065375,11.633579,2026-04-02,2026-06-11,1
