label,check,value
H3-pre (general humor),source_file,wendys_humor_frequency_proportion_post_level_dataset.csv
H3-pre (general humor),row_count_after_filter,960
H3-pre (general humor),col_count,46
H3-pre (general humor),unique_year_quarter,25
H3-pre (general humor),quarter_total_posts_filter,>= 10 applied
H3-pre (general humor),predictor_missing,0
H3-pre (general humor),predictor_sq_missing,0
H3-pre (general humor),predictor_min,0.157895
H3-pre (general humor),predictor_max,0.916667
H3-pre (general humor),predictor_mean,0.580208
H3-pre (general humor),predictor_std,0.153014
H3-pre (general humor),created_year_unique,"[2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026]"
H3-pre (general humor),created_month_unique,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
H3-pre (general humor),created_hour_unique,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
H3-pre (general humor),year_quarter_FE_used,False
H3-pre (general humor),quarter_FE_used,False
H3-pre (general humor),post_format_controls_used,False
H3-pre (general humor),view_count_used,False
H3-pre (general humor),frequency_count_used,False
H3-pre (general humor),H1_performed,False
H3-pre (general humor),H2_performed,False
H3-pre (general humor),new_humor_classifier,False
H3-main (aggressive humor),source_file,wendys_h3_aggressive_vs_other_intensity_dataset.csv
H3-main (aggressive humor),row_count_after_filter,960
H3-main (aggressive humor),col_count,66
H3-main (aggressive humor),unique_year_quarter,25
H3-main (aggressive humor),quarter_total_posts_filter,>= 10 applied
H3-main (aggressive humor),predictor_missing,0
H3-main (aggressive humor),predictor_sq_missing,0
H3-main (aggressive humor),predictor_min,0.0
H3-main (aggressive humor),predictor_max,0.337662
H3-main (aggressive humor),predictor_mean,0.20625
H3-main (aggressive humor),predictor_std,0.070264
H3-main (aggressive humor),created_year_unique,"[2019, 2020, 2021, 2022, 2023, 2024, 2025, 2026]"
H3-main (aggressive humor),created_month_unique,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
H3-main (aggressive humor),created_hour_unique,"[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]"
H3-main (aggressive humor),year_quarter_FE_used,False
H3-main (aggressive humor),quarter_FE_used,False
H3-main (aggressive humor),post_format_controls_used,False
H3-main (aggressive humor),view_count_used,False
H3-main (aggressive humor),frequency_count_used,False
H3-main (aggressive humor),H1_performed,False
H3-main (aggressive humor),H2_performed,False
H3-main (aggressive humor),new_humor_classifier,False
