dv,comparison,n_aggressive,n_comparison_type,mean_aggressive,mean_comparison_type,diff_aggressive_minus_comparison,t_stat,p_value_raw,p_value_bonferroni,p_value_fdr,cohens_d,effect_size_label,h2_direction,h2_preliminary_support,sample_size_warning
log1p_engagement_total,aggressive_vs_affiliative,187,251,7.9424,7.33,0.6124,3.5318,0.0005,0.0014,0.0014,0.3462,small,H2방향,예비적지지(p<.05),False
log1p_engagement_total,aggressive_vs_self-enhancing,187,96,7.9424,7.6327,0.3096,1.5521,0.122,0.3659,0.1829,0.1789,negligible,H2방향,방향성만지지,False
log1p_engagement_total,aggressive_vs_self-defeating,187,30,7.9424,8.1047,-0.1624,-0.4548,0.6517,1.0,0.6517,-0.0873,negligible,역방향,H2불지지,False
log1p_engagement_favorite_retweet,aggressive_vs_affiliative,187,251,7.8288,7.2086,0.6202,3.5304,0.0005,0.0014,0.0014,0.3463,small,H2방향,예비적지지(p<.05),False
log1p_engagement_favorite_retweet,aggressive_vs_self-enhancing,187,96,7.8288,7.4816,0.3472,1.708,0.0889,0.2668,0.1334,0.1973,negligible,H2방향,방향성만지지,False
log1p_engagement_favorite_retweet,aggressive_vs_self-defeating,187,30,7.8288,8.0156,-0.1869,-0.5111,0.6121,1.0,0.6121,-0.0989,negligible,역방향,H2불지지,False
log1p_favorite_count,aggressive_vs_affiliative,187,251,7.753,6.9916,0.7615,3.9625,0.0001,0.0003,0.0003,0.3796,small,H2방향,예비적지지(p<.05),False
log1p_favorite_count,aggressive_vs_self-enhancing,187,96,7.753,7.4316,0.3214,1.5689,0.118,0.3539,0.177,0.1797,negligible,H2방향,방향성만지지,False
log1p_favorite_count,aggressive_vs_self-defeating,187,30,7.753,7.7684,-0.0154,-0.0354,0.972,1.0,0.972,-0.0078,negligible,역방향,H2불지지,False
log1p_retweet_count,aggressive_vs_affiliative,187,251,4.8809,4.3609,0.5199,2.814,0.0052,0.0155,0.0155,0.2778,small,H2방향,예비적지지(p<.05),False
log1p_retweet_count,aggressive_vs_self-enhancing,187,96,4.8809,4.3294,0.5515,2.5015,0.0131,0.0392,0.0196,0.2912,small,H2방향,예비적지지(p<.05),False
log1p_retweet_count,aggressive_vs_self-defeating,187,30,4.8809,5.2996,-0.4188,-1.1117,0.2728,0.8185,0.2728,-0.2083,small,역방향,H2불지지,False
log1p_reply_count,aggressive_vs_affiliative,187,251,4.9072,4.5236,0.3837,2.3858,0.0175,0.0525,0.0525,0.2312,small,H2방향,예비적지지(p<.05),False
log1p_reply_count,aggressive_vs_self-enhancing,187,96,4.9072,5.156,-0.2488,-1.3475,0.1791,0.5374,0.2687,-0.1579,negligible,역방향,H2불지지,False
log1p_reply_count,aggressive_vs_self-defeating,187,30,4.9072,4.8842,0.0231,0.081,0.9358,1.0,0.9358,0.014,negligible,H2방향,방향성만지지,False
log1p_quote_count,aggressive_vs_affiliative,187,251,3.2529,2.6797,0.5733,3.018,0.0027,0.0082,0.0082,0.2969,small,H2방향,예비적지지(p<.05),False
log1p_quote_count,aggressive_vs_self-enhancing,187,96,3.2529,3.2432,0.0098,0.0442,0.9648,1.0,0.9648,0.0051,negligible,H2방향,방향성만지지,False
log1p_quote_count,aggressive_vs_self-defeating,187,30,3.2529,3.3962,-0.1432,-0.4049,0.6876,1.0,0.9648,-0.0707,negligible,역방향,H2불지지,False
log1p_bookmark_count,aggressive_vs_affiliative,187,251,2.9221,2.3142,0.6078,3.7674,0.0002,0.0006,0.0006,0.3669,small,H2방향,예비적지지(p<.05),False
log1p_bookmark_count,aggressive_vs_self-enhancing,187,96,2.9221,2.4003,0.5218,2.5173,0.0126,0.0378,0.0189,0.3106,small,H2방향,예비적지지(p<.05),False
log1p_bookmark_count,aggressive_vs_self-defeating,187,30,2.9221,3.0307,-0.1086,-0.3483,0.7294,1.0,0.7294,-0.0642,negligible,역방향,H2불지지,False
log1p_view_count,aggressive_vs_affiliative,187,251,4.149,2.5629,1.5861,2.9487,0.0034,0.0102,0.0102,0.292,small,H2방향,예비적지지(p<.05),False
log1p_view_count,aggressive_vs_self-enhancing,187,96,4.149,2.68,1.469,2.0717,0.0395,0.1186,0.0593,0.2534,small,H2방향,예비적지지(p<.05),False
log1p_view_count,aggressive_vs_self-defeating,187,30,4.149,3.6957,0.4533,0.3978,0.6929,1.0,0.6929,0.0765,negligible,H2방향,방향성만지지,False
