"dv","n","base_category","intercept","coef_aggressive_vs_affiliative","se_aggressive","p_aggressive_vs_affiliative","coef_self_enhancing_vs_affiliative","se_self_enhancing","p_self_enhancing_vs_affiliative","coef_self_defeating_vs_affiliative","se_self_defeating","p_self_defeating_vs_affiliative","r_squared","adj_r_squared","h2_interpretation","notes"
"log1p_engagement_total","278","affiliative","7.6505","0.6906","0.2293","0.0028","-0.1670","0.2595","0.5203","0.4861","0.4477","0.2785","0.0482","0.0377","H2 예비적 지지 (aggressive > affiliative)","base=affiliative; exploratory 4-type decomposition"
"log1p_engagement_favorite_retweet","278","affiliative","7.5193","0.6927","0.2342","0.0034","-0.1849","0.2650","0.4859","0.5404","0.4572","0.2382","0.0481","0.0377","H2 예비적 지지 (aggressive > affiliative)","base=affiliative; exploratory 4-type decomposition"
"log1p_favorite_count","278","affiliative","7.4013","0.7405","0.2497","0.0033","-0.1203","0.2826","0.6706","0.3090","0.4876","0.5268","0.0425","0.0321","H2 예비적 지지 (aggressive > affiliative)","base=affiliative; exploratory 4-type decomposition"
"log1p_retweet_count","278","affiliative","4.6083","0.7927","0.2440","0.0013","-0.3924","0.2762","0.1564","0.6746","0.4765","0.1579","0.0712","0.0610","H2 예비적 지지 (aggressive > affiliative)","base=affiliative; exploratory 4-type decomposition"
"log1p_reply_count","278","affiliative","4.9095","0.4025","0.2038","0.0493","0.1172","0.2307","0.6119","-0.0656","0.3980","0.8693","0.0158","0.0051","H2 예비적 지지 (aggressive > affiliative)","base=affiliative; exploratory 4-type decomposition"
"log1p_quote_count","278","affiliative","3.0211","0.8440","0.2577","0.0012","0.0274","0.2916","0.9251","0.3809","0.5032","0.4496","0.0443","0.0339","H2 예비적 지지 (aggressive > affiliative)","base=affiliative; exploratory 4-type decomposition"
"log1p_bookmark_count","278","affiliative","2.5443","0.7962","0.2249","0.0005","-0.1982","0.2545","0.4369","0.2960","0.4392","0.5009","0.0640","0.0537","H2 예비적 지지 (aggressive > affiliative)","base=affiliative; exploratory 4-type decomposition"
"log1p_view_count","278","affiliative","2.3172","1.8433","0.7789","0.0187","0.8816","0.8815","0.3182","0.1549","1.5209","0.9190","0.0209","0.0102","H2 예비적 지지 (aggressive > affiliative)","base=affiliative; exploratory 4-type decomposition"
