"humor_type","n","share","median_log1p_engagement_total","mean_log1p_engagement_total","mean_log1p_engagement_favorite_retweet","mean_log1p_favorite_count","mean_log1p_retweet_count","mean_log1p_reply_count","mean_log1p_quote_count","mean_log1p_bookmark_count","mean_log1p_view_count"
"aggressive","95","0.3417","8.5305","8.3411","8.2120","8.1418","5.4009","5.3120","3.8651","3.3405","4.1605"
"affiliative","106","0.3813","7.4340","7.6505","7.5193","7.4013","4.6083","4.9095","3.0211","2.5443","2.3172"
"self-enhancing","62","0.2230","7.5221","7.4835","7.3344","7.2810","4.2158","5.0267","3.0485","2.3461","3.1988"
"self-defeating","15","0.0540","8.3202","8.1366","8.0597","7.7103","5.2829","4.8439","3.4020","2.8403","2.4721"
