sample_type,model_name,dv,iv,n,coefficient,p_value,r_squared,adj_r_squared,aic,bic,included_time_fe,interpretation_flag
probability_n978,M1_baseline,log1p_engagement_total,p_humor_final_tfidf_logreg,978,1.2367,0.0005,0.0125,0.0115,1100.1441,1109.9151,none,supports_H1
probability_n978,M2_year_fe,log1p_engagement_total,p_humor_final_tfidf_logreg,978,0.9511,0.0086,0.0511,0.0423,1077.1429,1125.998,year_FE,supports_H1
probability_n978,M3_year_month_fe,log1p_engagement_total,p_humor_final_tfidf_logreg,978,0.965,0.0065,0.1216,0.1032,1023.6274,1126.2231,year_FE+month_FE,supports_H1
probability_n978,M4_year_month_hour_fe,log1p_engagement_total,p_humor_final_tfidf_logreg,978,1.0666,0.0027,0.1574,0.1205,1024.9421,1230.1336,year_FE+month_FE+hour_FE,supports_H1
probability_n978,M1_baseline,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,1.2761,0.0004,0.0129,0.0119,1127.1982,1136.9693,none,supports_H1
probability_n978,M2_year_fe,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,0.9419,0.0101,0.0567,0.0479,1098.8509,1147.706,year_FE,supports_H1
probability_n978,M3_year_month_fe,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,0.9493,0.0081,0.1267,0.1085,1045.3941,1147.9898,year_FE+month_FE,supports_H1
probability_n978,M4_year_month_hour_fe,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,1.0547,0.0034,0.1626,0.1259,1046.4151,1251.6065,year_FE+month_FE+hour_FE,supports_H1
probability_n978,M1_baseline,log1p_favorite_count,p_humor_final_tfidf_logreg,978,1.672,0.0001,0.0163,0.0153,1421.5559,1431.3269,none,supports_H1
probability_n978,M2_year_fe,log1p_favorite_count,p_humor_final_tfidf_logreg,978,1.4154,0.001,0.0436,0.0347,1410.0976,1458.9527,year_FE,supports_H1
probability_n978,M3_year_month_fe,log1p_favorite_count,p_humor_final_tfidf_logreg,978,1.4098,0.0008,0.1099,0.0913,1361.8132,1464.4089,year_FE+month_FE,supports_H1
probability_n978,M4_year_month_hour_fe,log1p_favorite_count,p_humor_final_tfidf_logreg,978,1.4941,0.0004,0.1405,0.1028,1369.6424,1574.8338,year_FE+month_FE+hour_FE,supports_H1
probability_n978,M1_baseline,log1p_retweet_count,p_humor_final_tfidf_logreg,978,0.5028,0.1661,0.002,0.0009,1157.9529,1167.7239,none,positive_not_significant
probability_n978,M2_year_fe,log1p_retweet_count,p_humor_final_tfidf_logreg,978,0.3937,0.2934,0.0298,0.0208,1146.2627,1195.1178,year_FE,positive_not_significant
probability_n978,M3_year_month_fe,log1p_retweet_count,p_humor_final_tfidf_logreg,978,0.4477,0.2246,0.0935,0.0746,1101.8714,1204.4671,year_FE+month_FE,positive_not_significant
probability_n978,M4_year_month_hour_fe,log1p_retweet_count,p_humor_final_tfidf_logreg,978,0.5736,0.1206,0.1327,0.0947,1100.6923,1305.8837,year_FE+month_FE+hour_FE,positive_not_significant
probability_n978,M1_baseline,log1p_reply_count,p_humor_final_tfidf_logreg,978,1.1775,0.0004,0.0127,0.0117,988.1619,997.9329,none,supports_H1
probability_n978,M2_year_fe,log1p_reply_count,p_humor_final_tfidf_logreg,978,1.118,0.0012,0.0414,0.0325,975.2915,1024.1466,year_FE,supports_H1
probability_n978,M3_year_month_fe,log1p_reply_count,p_humor_final_tfidf_logreg,978,1.1751,0.0006,0.0928,0.0739,943.3563,1045.952,year_FE+month_FE,supports_H1
probability_n978,M4_year_month_hour_fe,log1p_reply_count,p_humor_final_tfidf_logreg,978,1.2521,0.0002,0.1428,0.1052,929.9721,1135.1635,year_FE+month_FE+hour_FE,supports_H1
probability_n978,M1_baseline,log1p_quote_count,p_humor_final_tfidf_logreg,978,0.5208,0.1674,0.002,0.0009,1232.6264,1242.3974,none,positive_not_significant
probability_n978,M2_year_fe,log1p_quote_count,p_humor_final_tfidf_logreg,978,0.318,0.413,0.0333,0.0243,1217.455,1266.3101,year_FE,positive_not_significant
probability_n978,M3_year_month_fe,log1p_quote_count,p_humor_final_tfidf_logreg,978,0.3648,0.3384,0.1023,0.0836,1166.9584,1269.5541,year_FE+month_FE,positive_not_significant
probability_n978,M4_year_month_hour_fe,log1p_quote_count,p_humor_final_tfidf_logreg,978,0.4552,0.2355,0.1332,0.0952,1174.7385,1379.9299,year_FE+month_FE+hour_FE,positive_not_significant
probability_n978,M1_baseline,log1p_bookmark_count,p_humor_final_tfidf_logreg,978,-0.7523,0.0317,0.0047,0.0037,1085.9407,1095.7117,none,not_support
probability_n978,M2_year_fe,log1p_bookmark_count,p_humor_final_tfidf_logreg,978,-0.0915,0.7939,0.0888,0.0804,1015.5696,1064.4247,year_FE,not_support
probability_n978,M3_year_month_fe,log1p_bookmark_count,p_humor_final_tfidf_logreg,978,-0.0851,0.8043,0.1547,0.137,964.2403,1066.836,year_FE+month_FE,not_support
probability_n978,M4_year_month_hour_fe,log1p_bookmark_count,p_humor_final_tfidf_logreg,978,0.0191,0.956,0.1811,0.1452,975.1686,1180.36,year_FE+month_FE+hour_FE,positive_not_significant
