h3_test_type,dv,predictor,squared_predictor,n,quarter_count,predictor_min,predictor_max,predictor_mean,predictor_std,beta_linear,p_linear,beta_quadratic,p_quadratic,turning_point,turning_point_in_range,r_squared,adj_r_squared,aic,bic,interpretation_flag
H3-main,log1p_engagement_total,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.33766234,0.20624999923958331,0.07026416411960602,-1.459812,0.653023,2.553898,0.738835,0.285801,True,0.000384,-0.001705,3822.0613,3836.6621,not_support
H3-main,log1p_engagement_favorite_retweet,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.33766234,0.20624999923958331,0.07026416411960602,-1.246092,0.705092,2.404057,0.756939,0.259164,True,0.000204,-0.001886,3848.7571,3863.3579,not_support
H3-main,log1p_favorite_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.33766234,0.20624999923958331,0.07026416411960602,-1.880077,0.624252,1.493219,0.869008,0.629538,False,0.001843,-0.000243,4143.1155,4157.7163,not_support
H3-main,log1p_retweet_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.33766234,0.20624999923958331,0.07026416411960602,-2.485679,0.453781,5.268262,0.500923,0.235911,True,0.000632,-0.001457,3863.3816,3877.9824,not_support
H3-main,log1p_reply_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.33766234,0.20624999923958331,0.07026416411960602,-1.744942,0.569926,-0.139123,0.984679,-6.271202,False,0.00571,0.003632,3715.0459,3729.6467,not_support
H3-main,log1p_quote_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.33766234,0.20624999923958331,0.07026416411960602,-4.065809,0.236105,6.564528,0.417358,0.30968,True,0.003344,0.001261,3927.5928,3942.1936,not_support
H3-main,log1p_bookmark_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.33766234,0.20624999923958331,0.07026416411960602,-12.505169,7.7e-05,23.431018,0.001661,0.266851,True,0.023844,0.021804,3763.8023,3778.4031,not_support
