dv,model,b1,b2,turning_point,tp_ci_low,tp_ci_high,turning_point_in_range,x_min,x_max,h3_pre_preliminary_support
log1p_engagement_total,primary_raw,0.1917,0.3153,-0.304,-0.304,9.9922,False,0.1579,0.9167,H3pre_불지지
log1p_engagement_favorite_retweet,primary_raw,0.9007,-0.2385,1.8886,1.8886,23.6347,False,0.1579,0.9167,방향성만_지지(tp_out_of_range)
log1p_favorite_count,primary_raw,0.2497,0.1766,-0.707,-0.707,31.2726,False,0.1579,0.9167,H3pre_불지지
log1p_retweet_count,primary_raw,-1.2437,0.8951,0.6947,0.6947,1.4663,True,0.1579,0.9167,H3pre_불지지
log1p_reply_count,primary_raw,-4.7579,4.7182,0.5042,0.5042,0.5838,True,0.1579,0.9167,H3pre_불지지
log1p_quote_count,primary_raw,-3.8747,3.9189,0.4944,0.4944,0.6058,True,0.1579,0.9167,H3pre_불지지
log1p_bookmark_count,primary_raw,-6.9036,3.7052,0.9316,0.9316,1.319,False,0.1579,0.9167,H3pre_불지지
log1p_view_count,primary_raw,-57.3065,25.2946,1.1328,1.1328,1.3267,False,0.1579,0.9167,H3pre_불지지
log1p_engagement_total,frequency_robustness,0.015122,-0.000227,33.32,nan,nan,True,3.0,78.0,강한_예비적_지지(p<.05)
log1p_engagement_favorite_retweet,frequency_robustness,0.018281,-0.000256,35.69,nan,nan,True,3.0,78.0,강한_예비적_지지(p<.05)
log1p_favorite_count,frequency_robustness,0.018628,-0.000252,36.92,nan,nan,True,3.0,78.0,약한_예비적_지지(tp_in_range)
log1p_retweet_count,frequency_robustness,-0.004997,-6.3e-05,-39.48,nan,nan,False,3.0,78.0,H3pre_불지지
log1p_reply_count,frequency_robustness,0.002421,-8.4e-05,14.44,nan,nan,True,3.0,78.0,약한_예비적_지지(tp_in_range)
log1p_quote_count,frequency_robustness,0.014619,-0.00024,30.52,nan,nan,True,3.0,78.0,강한_예비적_지지(p<.05)
log1p_bookmark_count,frequency_robustness,-0.037278,0.000181,102.98,nan,nan,False,3.0,78.0,H3pre_불지지
log1p_view_count,frequency_robustness,-0.556999,0.004734,58.83,nan,nan,True,3.0,78.0,H3pre_불지지
log1p_engagement_total,nonloo_proportion_robustness,-0.5184,1.0419,0.2488,nan,nan,True,0.2,0.88,H3pre_불지지
log1p_engagement_favorite_retweet,nonloo_proportion_robustness,0.1841,0.4947,-0.1861,nan,nan,False,0.2,0.88,H3pre_불지지
log1p_favorite_count,nonloo_proportion_robustness,-0.41,0.8931,0.2295,nan,nan,True,0.2,0.88,H3pre_불지지
log1p_retweet_count,nonloo_proportion_robustness,-1.9051,1.5313,0.6221,nan,nan,True,0.2,0.88,H3pre_불지지
log1p_reply_count,nonloo_proportion_robustness,-5.5214,5.4949,0.5024,nan,nan,True,0.2,0.88,H3pre_불지지
log1p_quote_count,nonloo_proportion_robustness,-4.4759,4.4803,0.4995,nan,nan,True,0.2,0.88,H3pre_불지지
log1p_bookmark_count,nonloo_proportion_robustness,-7.7213,4.4242,0.8726,nan,nan,True,0.2,0.88,H3pre_불지지
log1p_view_count,nonloo_proportion_robustness,-59.5584,27.0572,1.1006,nan,nan,False,0.2,0.88,H3pre_불지지
