sample_type,model_name,dv,iv,n,coefficient,p_value,r_squared,adj_r_squared,aic,bic,included_time_fe,included_post_format_variables,number_of_post_format_variables,interpretation_flag
fullsample_binary_n978,M0_time_fe_only,log1p_engagement_total,pred_humor_final_050,978,0.4677,0.0,0.1646,0.128,1016.5058,1221.6972,year_FE+month_FE+hour_FE,none,0,supports_H1
fullsample_binary_n978,M1_text_length,log1p_engagement_total,pred_humor_final_050,978,0.5134,0.0,0.1995,0.1635,976.8008,1186.8777,year_FE+month_FE+hour_FE,text_length,1,supports_H1
fullsample_binary_n978,M2_hashtag,log1p_engagement_total,pred_humor_final_050,978,0.4601,0.0,0.1785,0.1416,1002.1004,1212.1773,year_FE+month_FE+hour_FE,hashtag_count,1,supports_H1
fullsample_binary_n978,M3_mention,log1p_engagement_total,pred_humor_final_050,978,0.2285,0.0402,0.2332,0.1988,934.6802,1144.7571,year_FE+month_FE+hour_FE,mention_count,1,supports_H1
fullsample_binary_n978,M4_text_hashtag,log1p_engagement_total,pred_humor_final_050,978,0.5039,0.0,0.2044,0.1678,972.7487,1187.7111,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,supports_H1
fullsample_binary_n978,M5_text_mention,log1p_engagement_total,pred_humor_final_050,978,0.2898,0.0092,0.2486,0.214,916.9383,1131.9007,year_FE+month_FE+hour_FE,text_length+mention_count,2,supports_H1
fullsample_binary_n978,M6_hashtag_mention,log1p_engagement_total,pred_humor_final_050,978,0.2377,0.0329,0.2353,0.2001,933.9987,1148.9611,year_FE+month_FE+hour_FE,hashtag_count+mention_count,2,supports_H1
fullsample_binary_n978,M7_all_three,log1p_engagement_total,pred_humor_final_050,978,0.2918,0.0088,0.249,0.2135,918.4152,1138.2631,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,supports_H1
fullsample_binary_n978,M0_time_fe_only,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.4751,0.0,0.1702,0.1339,1037.3963,1242.5877,year_FE+month_FE+hour_FE,none,0,supports_H1
fullsample_binary_n978,M1_text_length,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.5249,0.0,0.2105,0.175,990.7465,1200.8234,year_FE+month_FE+hour_FE,text_length,1,supports_H1
fullsample_binary_n978,M2_hashtag,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.4673,0.0,0.1844,0.1478,1022.5493,1232.6262,year_FE+month_FE+hour_FE,hashtag_count,1,supports_H1
fullsample_binary_n978,M3_mention,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.2412,0.0326,0.2341,0.1997,961.1286,1171.2055,year_FE+month_FE+hour_FE,mention_count,1,supports_H1
fullsample_binary_n978,M4_text_hashtag,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.5156,0.0,0.2151,0.1789,987.0701,1202.0325,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,supports_H1
fullsample_binary_n978,M5_text_mention,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.3118,0.0056,0.2538,0.2195,937.5358,1152.4982,year_FE+month_FE+hour_FE,text_length+mention_count,2,supports_H1
fullsample_binary_n978,M6_hashtag_mention,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.2513,0.026,0.2365,0.2014,959.9602,1174.9226,year_FE+month_FE+hour_FE,hashtag_count+mention_count,2,supports_H1
fullsample_binary_n978,M7_all_three,log1p_engagement_favorite_retweet,pred_humor_final_050,978,0.3138,0.0053,0.2543,0.2191,938.9883,1158.8363,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,supports_H1
fullsample_binary_n978,M0_time_fe_only,log1p_favorite_count,pred_humor_final_050,978,0.6036,0.0,0.1474,0.11,1361.7435,1566.9349,year_FE+month_FE+hour_FE,none,0,supports_H1
fullsample_binary_n978,M1_text_length,log1p_favorite_count,pred_humor_final_050,978,0.6602,0.0,0.1859,0.1493,1318.5645,1528.6415,year_FE+month_FE+hour_FE,text_length,1,supports_H1
fullsample_binary_n978,M2_hashtag,log1p_favorite_count,pred_humor_final_050,978,0.5956,0.0,0.1584,0.1206,1351.0694,1561.1463,year_FE+month_FE+hour_FE,hashtag_count,1,supports_H1
fullsample_binary_n978,M3_mention,log1p_favorite_count,pred_humor_final_050,978,0.2634,0.0432,0.2469,0.2131,1242.3658,1452.4427,year_FE+month_FE+hour_FE,mention_count,1,supports_H1
fullsample_binary_n978,M4_text_hashtag,log1p_favorite_count,pred_humor_final_050,978,0.6516,0.0,0.1888,0.1514,1317.0512,1532.0136,year_FE+month_FE+hour_FE,text_length+hashtag_count,2,supports_H1
fullsample_binary_n978,M5_text_mention,log1p_favorite_count,pred_humor_final_050,978,0.3332,0.0105,0.2611,0.2271,1225.6816,1440.644,year_FE+month_FE+hour_FE,text_length+mention_count,2,supports_H1
fullsample_binary_n978,M6_hashtag_mention,log1p_favorite_count,pred_humor_final_050,978,0.2673,0.0406,0.2472,0.2125,1244.0157,1458.9781,year_FE+month_FE+hour_FE,hashtag_count+mention_count,2,supports_H1
fullsample_binary_n978,M7_all_three,log1p_favorite_count,pred_humor_final_050,978,0.3321,0.0109,0.2612,0.2264,1227.5723,1447.4203,year_FE+month_FE+hour_FE,text_length+hashtag_count+mention_count,3,supports_H1
