h3_test_type,model_name,dv,predictor,squared_predictor,n,quarter_count,predictor_min,predictor_max,predictor_mean,predictor_std,beta_linear,p_linear,beta_quadratic,p_quadratic,turning_point,turning_point_in_range,included_time_variables,included_post_format_variables,number_of_post_format_variables,r_squared,adj_r_squared,aic,bic,interpretation_flag
H3-main,M0,log1p_engagement_total,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-3.381042,0.33859,0.797445,0.92775,2.119922,False,created_year+created_month+created_hour,none,0,0.155803,0.1181,3737.8352,3942.2464,not_support
H3-main,M0,log1p_engagement_favorite_retweet,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-3.816419,0.285147,2.0071,0.821328,0.95073,False,created_year+created_month+created_hour,none,0,0.16137,0.123915,3758.0065,3962.4177,not_support
H3-main,M0,log1p_favorite_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-3.468452,0.412724,0.957468,0.927623,1.811263,False,created_year+created_month+created_hour,none,0,0.133248,0.094537,4085.6039,4290.0151,not_support
H3-main,M0,log1p_retweet_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-3.616275,0.320925,-0.649409,0.942912,-2.784281,False,created_year+created_month+created_hour,none,0,0.140354,0.10196,3796.8032,4001.2143,not_support
H3-main,M0,log1p_reply_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,0.167149,0.960577,-8.772725,0.297561,0.009527,True,created_year+created_month+created_hour,none,0,0.139654,0.101229,3654.1387,3858.5499,directional_only
H3-main,M0,log1p_quote_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-1.350248,0.721045,-3.989486,0.671764,-0.169226,False,created_year+created_month+created_hour,none,0,0.135784,0.097186,3868.7124,4073.1236,not_support
H3-main,M0,log1p_bookmark_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-6.901352,0.043162,9.330937,0.271777,0.36981,False,created_year+created_month+created_hour,none,0,0.184052,0.14761,3669.701,3874.1122,not_support
H3-main,M1,log1p_engagement_total,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-3.622485,0.296306,1.433436,0.868129,1.263567,False,created_year+created_month+created_hour,text_length,1,0.187465,0.15025,3703.1375,3912.4156,not_support
H3-main,M1,log1p_engagement_favorite_retweet,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-4.080328,0.242856,2.702268,0.755984,0.754982,False,created_year+created_month+created_hour,text_length,1,0.198167,0.161442,3716.9317,3926.2098,not_support
H3-main,M1,log1p_favorite_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-3.767788,0.364081,1.745957,0.865828,1.079004,False,created_year+created_month+created_hour,text_length,1,0.16803,0.129925,4048.2861,4257.5642,not_support
H3-main,M1,log1p_retweet_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,-3.758745,0.299552,-0.274126,0.975751,-6.855882,False,created_year+created_month+created_hour,text_length,1,0.150911,0.112022,3786.9404,3996.2185,not_support
H3-main,M1,log1p_reply_count,aggressive_humor_proportion_quarter_loo,aggressive_humor_proportion_quarter_loo_sq,960,25,0.0,0.337662,0.20625,0.070264,0.058191,0.986221,-8.485719,0.311915,0.003429,True,created_year+created_month+created_hour,text_length,1,0.146824,0.107748,3648.1049,3857.383,directional_only
