"id","tweet_url","text","human_humor_binary","oof_p_humor_tfidf_logreg","oof_pred_humor_tfidf_logreg","error_type","humor","type"
"1198285151702118400","https://x.com/Wendys/status/1198285151702118400","Time for the biggest game of the day: @PennStateFball vs @OhioStateFBall Come hang out with @LaVarArrington &amp; @BeanieWells26 on the sideline of The Shoe for our @Wendys Watch Party! https://t.co/eTL9bPNbBT","0","0.442282","0","true_negative","none","none"
"1198363148094328832","https://x.com/Wendys/status/1198363148094328832","To be fair, you have to have a very high IQ to understand Rick and Morty. So make sure you watch it this Sunday night, genius.","1","0.518910","1","true_positive","humor","affiliative"
"1198858858267127809","https://x.com/Wendys/status/1198858858267127809","What's the most disrespectful diss track of all time?","1","0.483728","0","false_negative","humor","aggressive"
"1202638489126342657","https://x.com/Wendys/status/1202638489126342657","This is no drill. Frosty Key Tags are back. Get your $2 hookup for a free Jr. Frosty all year. Proceeds help support @DTFA. https://t.co/hlpZZouIcK","0","0.463290","0","true_negative","non_humor","none"
"1205531387975090177","https://x.com/Wendys/status/1205531387975090177","Wendy’s cups should be square but no one wants to poke that tiger","1","0.569875","1","true_positive","humor","aggressive"
"1205577307810910209","https://x.com/Wendys/status/1205577307810910209","10 patties of fresh, never frozen Canadian beef. This is our dream. #PowerYourDreams https://t.co/2FLxlUIBZc","0","0.454862","0","true_negative","non_humor","none"
"1205932906406920194","https://x.com/Wendys/status/1205932906406920194","Watch Rick and Morty with us on Sunday and try to get five in a row on this game your grandma loves that we can’t legally say the name of! Schwifty! https://t.co/rw8leGuV1n","1","0.481331","0","false_negative","humor","affiliative"
"1205941546538938368","https://x.com/Wendys/status/1205941546538938368","Rick and Morty are back again this Sunday, so come by our place and grab a Baconator to eat while you watch.","0","0.558183","1","false_positive","none","none"
"1207030238447898625","https://x.com/Wendys/status/1207030238447898625","Sir, this is a","0","0.462954","0","true_negative","non_humor","none"
"1207700570213101585","https://x.com/Wendys/status/1207700570213101585","meryl can have a little french fries, as a treat.","1","0.577709","1","true_positive","humor","affiliative"
"1216801098608017413","https://x.com/Wendys/status/1216801098608017413","Not saying eating our french fries gets you an #Oscar nomination but also...sup","1","0.555030","1","true_positive","humor","self-defeating"
"1216894246021713920","https://x.com/Wendys/status/1216894246021713920","Looked who dropped by to see what Spicy Nuggets were supposed to taste like.","1","0.481943","0","false_negative","humor","affiliative"
"1217123276549427201","https://x.com/Wendys/status/1217123276549427201","That's what we call a glow up.","1","0.600790","1","true_positive","humor","affiliative"
"1220437845388730370","https://x.com/Wendys/status/1220437845388730370","Is it a garbage truck?","1","0.544873","1","true_positive","humor","aggressive"
"1221885535737864192","https://x.com/Wendys/status/1221885535737864192","Picking up their order.","0","0.546717","1","false_positive","non_humor","aggressive"
"1224794757559455746","https://x.com/Wendys/status/1224794757559455746","When they ask what your weaknesses are during the interview.","1","0.537198","1","true_positive","humor","aggressive"
"1228371313938567174","https://x.com/Wendys/status/1228371313938567174","Thanks for the huge nugget @Wendys 😂😂😍😋 https://t.co/4vgfPGyUZR","0","0.424339","0","true_negative","non_humor","none"
"1228373033167048705","https://x.com/Wendys/status/1228373033167048705","Proud of this big spicy boi","0","0.474230","0","true_negative","non_humor","none"
"1229264235387129856","https://x.com/Wendys/status/1229264235387129856","BURGER KING is testing a sandwich with nothing but french fries: https://t.co/cMELl6fZaV https://t.co/D1taIscJk2","1","0.472952","0","false_negative","humor","aggressive"
"1233494419925585924","https://x.com/Wendys/status/1233494419925585924","Here lies mediocrity. #EggRIPMuffin https://t.co/fYxcn8LObe","1","0.497489","0","false_negative","humor","aggressive"
"1234275836905369603","https://x.com/Wendys/status/1234275836905369603","Y’all got any plans for breakfast tomorrow orrrrrrrrr…..?","0","0.502733","1","false_positive","non_humor","none"
"1234448367230627840","https://x.com/Wendys/status/1234448367230627840","BREAKFAST NEWS! Wendy's is now serving up breakfast. Sources say it's “pretty lit.” https://t.co/meBemp31hH","1","0.518652","1","true_positive","humor","self-enhancing"
"1235705290755960832","https://x.com/Wendys/status/1235705290755960832","We love you too sweet, sweet Guillermo.","1","0.575632","1","true_positive","humor","affiliative"
"1236305605188636672","https://x.com/Wendys/status/1236305605188636672","Yep, your new favorite is free with purchase in the Wendy's app. https://t.co/drxmKsYTyu https://t.co/gmJWGNgvBD","0","0.473833","0","true_negative","non_humor","none"
"1237012795327238144","https://x.com/Wendys/status/1237012795327238144","Better come and get you some. https://t.co/Z5bXZ97iAy","0","0.475030","0","true_negative","non_humor","none"
"1237741943809028096","https://x.com/Wendys/status/1237741943809028096","Honey. Butter. Chicken. Biscuit. Free. (with any purchase in our app)","0","0.420639","0","true_negative","non_humor","none"
"1242894464760328192","https://x.com/Wendys/status/1242894464760328192","Don’t miss our best catches! Hop in the stream now! https://t.co/J4Z5cZlvtz #ACNH https://t.co/mnAaUVZ3TJ","0","0.486377","0","true_negative","non_humor","none"
"1247262166392221698","https://x.com/Wendys/status/1247262166392221698","The Wooden Award winner will be revealed tomorrow. Who’s your choice? ( 📍 @Wendys) https://t.co/SQdg3QVmoi","0","0.451621","0","true_negative","non_humor","none"
"1247574856784379906","https://x.com/Wendys/status/1247574856784379906","Picking up a new hobby. Come paint with us on Twitch. https://t.co/P0GZ7DIn5g https://t.co/8mllJ9tke4","0","0.486313","0","true_negative","non_humor","none"
