hypothesis,model_number,model_label,sample_type,dv,iv_primary,n,quarter_count,coefficient_name,coefficient,standard_error,t_value,p_value,r_squared,adj_r_squared,aic,bic,included_time_fe,included_post_format_controls,significance,interpretation_flag,existing_source_file,existing_model_name,coef_matches_existing,p_matches_existing,r2_matches_existing,adj_r2_matches_existing,notes
H1,1,Full Sample OLS,full_sample,log1p_engagement_total,유머예측이진,978,,Humor,0.500786,0.113046,4.429930,0.000010,0.019711,0.018706,3868.392854,3878.163873,no,no,***,supports_H1,wendys_h1_simple_ols_results_final_humor.csv,N/A (different IV),N/A (new),N/A (new),N/A (new),N/A (new),H1M1 simple OLS: new computation with binary IV 유머예측이진. Existing file uses log1p_p_humor_final_tfidf_logreg (probability IV) — not directly comparable.
H1,2,Full Sample Time FE,full_sample,log1p_engagement_total,유머예측이진,978,,Humor,0.467719,0.112756,4.148053,0.000037,0.164621,0.128029,3791.949623,3997.141029,yes,no,***,supports_H1,wendys_h1_three_post_format_fullsample_binary_results.csv,M0_time_fe_only,PASS,PASS,PASS,PASS,Existing p=0.0 stored as rounded; actual p is near 0.
H1,3,Full Sample Time FE+Controls,full_sample,log1p_engagement_total,유머예측이진,978,,Humor,0.291754,0.111100,2.626053,0.008780,0.248964,0.213546,3693.858935,3913.706870,yes,yes,***,supports_H1,wendys_h1_three_post_format_fullsample_binary_results.csv,M7_all_three,PASS,PASS,PASS,PASS,
H1,4,Human-Coded OLS,human_coded,log1p_engagement_total,유머레이블최종,597,,Humor,0.504322,0.141754,3.557731,0.000404,0.020830,0.019184,2351.151665,2359.935499,no,no,***,supports_H1,wendys_h1_human_coded_simple_ols_results.csv,simple_ols,PASS,PASS,PASS,PASS,
H1,5,Human-Coded Time FE,human_coded,log1p_engagement_total,유머레이블최종,597,,Humor,0.330610,0.150310,2.199519,0.028250,0.196766,0.142066,2306.910058,2478.194825,yes,no,**,supports_H1,wendys_h1_three_post_format_human_validation_results.csv,M0_time_fe_only,PASS,PASS,PASS,PASS,
H1,6,Human-Coded Time FE+Controls,human_coded,log1p_engagement_total,유머레이블최종,597,,Humor,0.317080,0.146342,2.166713,0.030682,0.259955,0.205285,2263.995218,2448.455737,yes,yes,**,supports_H1,wendys_h1_three_post_format_human_validation_results.csv,M7_all_three,PASS,PASS,PASS,PASS,
