sample_type,model_name,dv,iv,n,coefficient,p_value,r_squared,adj_r_squared,aic,bic,included_time_fe,number_of_time_variables,interpretation_flag
probability_n978,M0_baseline,log1p_engagement_total,p_humor_final_tfidf_logreg,978,1.2367,0.0005,0.0125,0.0115,1100.1441,1109.9151,none,0,supports_H1
probability_n978,M1_year_fe,log1p_engagement_total,p_humor_final_tfidf_logreg,978,0.9511,0.0086,0.0511,0.0423,1077.1429,1125.998,year_FE,1,supports_H1
probability_n978,M2_month_fe,log1p_engagement_total,p_humor_final_tfidf_logreg,978,1.2042,0.0005,0.0907,0.0794,1041.4734,1104.985,month_FE,1,supports_H1
probability_n978,M3_hour_fe,log1p_engagement_total,p_humor_final_tfidf_logreg,978,1.2295,0.0005,0.0578,0.0361,1096.1806,1208.5474,hour_FE,1,supports_H1
probability_n978,M4_year_month_fe,log1p_engagement_total,p_humor_final_tfidf_logreg,978,0.965,0.0065,0.1216,0.1032,1023.6274,1126.2231,year_FE+month_FE,2,supports_H1
probability_n978,M5_year_hour_fe,log1p_engagement_total,p_humor_final_tfidf_logreg,978,1.0381,0.0042,0.0945,0.0658,1073.3178,1224.7686,year_FE+hour_FE,2,supports_H1
probability_n978,M6_month_hour_fe,log1p_engagement_total,p_humor_final_tfidf_logreg,978,1.2175,0.0004,0.129,0.0985,1041.3881,1207.4955,month_FE+hour_FE,2,supports_H1
probability_n978,M7_year_month_hour_fe,log1p_engagement_total,p_humor_final_tfidf_logreg,978,1.0666,0.0027,0.1574,0.1205,1024.9421,1230.1336,year_FE+month_FE+hour_FE,3,supports_H1
probability_n978,M0_baseline,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,1.2761,0.0004,0.0129,0.0119,1127.1982,1136.9693,none,0,supports_H1
probability_n978,M1_year_fe,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,0.9419,0.0101,0.0567,0.0479,1098.8509,1147.706,year_FE,1,supports_H1
probability_n978,M2_month_fe,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,1.2371,0.0004,0.0913,0.08,1068.2799,1131.7915,month_FE,1,supports_H1
probability_n978,M3_hour_fe,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,1.2634,0.0004,0.0584,0.0367,1123.0549,1235.4216,hour_FE,1,supports_H1
probability_n978,M4_year_month_fe,log1p_engagement_favorite_retweet,p_humor_final_tfidf_logreg,978,0.9493,0.0081,0.1267,0.1085,1045.3941,1147.9898,year_FE+month_FE,2,supports_H1
