"actual","predicted_affiliative","predicted_aggressive","predicted_self-defeating","predicted_self-enhancing"
"affiliative","63","30","2","11"
"aggressive","33","52","4","6"
"self-defeating","7","5","1","2"
"self-enhancing","31","19","1","11"
