sample_type,model_name,dv,iv,n,coefficient,p_value,r_squared,adj_r_squared,aic,bic,included_time_fe,number_of_time_variables,interpretation_flag
primary_human_n597,M5_year_hour_fe,log1p_reply_count,final_humor_binary,597,0.3484,0.0108,0.1238,0.0822,513.5699,636.5436,year_FE+hour_FE,2,supports_H1
primary_human_n597,M6_month_hour_fe,log1p_reply_count,final_humor_binary,597,0.3346,0.0091,0.1337,0.0861,514.7937,655.335,month_FE+hour_FE,2,supports_H1
primary_human_n597,M7_year_month_hour_fe,log1p_reply_count,final_humor_binary,597,0.3009,0.0283,0.1731,0.1168,500.9853,672.2701,year_FE+month_FE+hour_FE,3,supports_H1
primary_human_n597,M0_baseline,log1p_quote_count,final_humor_binary,597,0.3533,0.0203,0.009,0.0074,738.9845,747.7684,none,0,supports_H1
primary_human_n597,M1_year_fe,log1p_quote_count,final_humor_binary,597,0.2282,0.1575,0.0599,0.0471,721.536,761.0633,year_FE,1,positive_not_significant
primary_human_n597,M2_month_fe,log1p_quote_count,final_humor_binary,597,0.3041,0.0446,0.0686,0.0495,723.9558,781.0507,month_FE,1,supports_H1
primary_human_n597,M3_hour_fe,log1p_quote_count,final_humor_binary,597,0.3717,0.0165,0.0478,0.0147,753.181,845.4112,hour_FE,1,supports_H1
primary_human_n597,M4_year_month_fe,log1p_quote_count,final_humor_binary,597,0.196,0.2237,0.1198,0.0909,704.1781,792.0165,year_FE+month_FE,2,positive_not_significant
primary_human_n597,M5_year_hour_fe,log1p_quote_count,final_humor_binary,597,0.2622,0.112,0.0896,0.0464,740.3554,863.3291,year_FE+hour_FE,2,positive_not_significant
primary_human_n597,M6_month_hour_fe,log1p_quote_count,final_humor_binary,597,0.3306,0.0325,0.1042,0.0551,738.6994,879.2407,month_FE+hour_FE,2,supports_H1
primary_human_n597,M7_year_month_hour_fe,log1p_quote_count,final_humor_binary,597,0.2464,0.1363,0.1448,0.0866,724.9874,896.2722,year_FE+month_FE+hour_FE,3,positive_not_significant
primary_human_n597,M0_baseline,log1p_bookmark_count,final_humor_binary,597,-0.1803,0.2136,0.0026,0.0009,682.4468,691.2306,none,0,not_support
primary_human_n597,M1_year_fe,log1p_bookmark_count,final_humor_binary,597,0.1029,0.5013,0.0652,0.0525,657.7303,697.2576,year_FE,1,positive_not_significant
primary_human_n597,M2_month_fe,log1p_bookmark_count,final_humor_binary,597,-0.2188,0.1276,0.072,0.0529,661.4089,718.5038,month_FE,1,not_support
primary_human_n597,M3_hour_fe,log1p_bookmark_count,final_humor_binary,597,-0.11,0.4554,0.0452,0.0121,694.3827,786.613,hour_FE,1,not_support
primary_human_n597,M4_year_month_fe,log1p_bookmark_count,final_humor_binary,597,0.05,0.7433,0.1233,0.0944,641.4538,729.2921,year_FE+month_FE,2,positive_not_significant
primary_human_n597,M5_year_hour_fe,log1p_bookmark_count,final_humor_binary,597,0.154,0.3233,0.0985,0.0557,674.1041,797.0778,year_FE+hour_FE,2,positive_not_significant
primary_human_n597,M6_month_hour_fe,log1p_bookmark_count,final_humor_binary,597,-0.1381,0.3457,0.1074,0.0584,676.1584,816.6998,month_FE+hour_FE,2,not_support
primary_human_n597,M7_year_month_hour_fe,log1p_bookmark_count,final_humor_binary,597,0.1163,0.4569,0.1529,0.0952,658.9496,830.2343,year_FE+month_FE+hour_FE,3,positive_not_significant
