version,total_template_rows,valid_binary_n,n_humor,n_non_humorous,accuracy,precision,recall,f1,auc,cm_TN,cm_FP,cm_FN,cm_TP
v1,2498,2480,1027,1453,0.7347,0.6713,0.705,0.6874,0.8008,1098,355,303,724
v2,3095,3077,1336,1741,0.714,0.6559,0.7186,0.6857,0.7769,1237,504,376,960
v3,3595,3574,1441,2133,0.7082,0.6236,0.6995,0.659,0.777,1523,610,433,1008
