company_name,ticker,cik,cik_padded,target_report_year,filing_date,event_trading_date,naics_code,naics_sector_code,naics_sector_name,CAR_m1_p1,CAR_m3_p3,CAR_m5_p5,CAR_m1_p1_available,CAR_m3_p3_available,CAR_m5_p5_available,car_source,car_calculation_status,missing_car_reason,future_date_flag,date_alignment_warning,CAR_m3_p3_window_n,CAR_m3_p3_nonmissing_ar_n,CAR_m3_p3_complete_window,CAR_m5_p5_window_n,CAR_m5_p5_nonmissing_ar_n,CAR_m5_p5_complete_window,CAR_m1_p1_recomputed,ar_computation_status,crosscheck_pass
Alphabet,GOOGL,1652044,1652044,2025,2026-02-05,2026-02-05,,51,Information,-0.057867,-0.07073031,-0.07894812,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.05786698,computed,True
CVS Health,CVS,64803,64803,2023,2024-02-07,2024-02-07,,44-45,Retail Trade,0.031007,0.03496876,0.03195408,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.03100702,computed,True
CVS Health,CVS,64803,64803,2024,2025-02-12,2025-02-12,,44-45,Retail Trade,0.205534,0.20529498,0.16814938,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.20553386,computed,True
CVS Health,CVS,64803,64803,2025,2026-02-10,2026-02-10,,44-45,Retail Trade,-0.022546,0.03291834,0.01696335,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.02254647,computed,True
Berkshire Hathaway,BRK-B,1067983,1067983,2023,2024-02-26,2024-02-26,,52,Finance and Insurance,-0.01461,-0.01278157,-0.01648411,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.01461026,computed,True
Berkshire Hathaway,BRK-B,1067983,1067983,2024,2025-02-24,2025-02-24,,52,Finance and Insurance,0.050025,0.06181866,0.08147013,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.05002497,computed,True
Berkshire Hathaway,BRK-B,1067983,1067983,2025,2026-03-02,2026-03-02,,52,Finance and Insurance,-0.034788,0.02010698,0.01250282,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.03478822,computed,True
McKesson,MCK,927653,927653,2023,2023-05-09,2023-05-09,,42,Wholesale Trade,0.074101,0.09028824,0.11350858,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.07410129,computed,True
McKesson,MCK,927653,927653,2024,2024-05-08,2024-05-08,,42,Wholesale Trade,0.03563,0.03576595,0.0122901,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,0.03563036,computed,True
McKesson,MCK,927653,927653,2025,2025-05-09,2025-05-09,,42,Wholesale Trade,-0.053698,-0.04371916,0.01174825,true,True,True,korea_uni_event_study_direct,m1p1_direct_from_dataset__m3p3_m5p5_missing_daily_ar_required,CAR_m3_p3 and CAR_m5_p5: daily_abnormal_returns not available,false,,7,7,True,11,11,True,-0.05369782,computed,True
