year_month,total_posts,humor_posts_t50,non_humor_posts_t50,humor_rate_t50,mean_humor_probability
2009-11,1,1,0,1.0,0.609307
2012-04,1,1,0,1.0,0.51442
2012-08,1,1,0,1.0,0.543115
2015-07,1,0,1,0.0,0.492794
2015-08,2,2,0,1.0,0.552496
2015-10,2,1,1,0.5,0.495296
2015-12,17,8,9,0.470588,0.462814
2016-01,42,23,19,0.547619,0.495354
2016-02,44,22,22,0.5,0.489807
2016-03,31,15,16,0.483871,0.490464
2016-04,34,16,18,0.470588,0.475278
2016-05,60,35,25,0.583333,0.509444
2016-06,107,40,67,0.373832,0.448569
2016-07,127,25,102,0.19685,0.417632
2016-08,114,26,88,0.22807,0.418899
2016-09,138,47,91,0.34058,0.447872
2016-10,166,53,113,0.319277,0.446777
2016-11,102,39,63,0.382353,0.462922
2016-12,110,22,88,0.2,0.415442
2017-01,81,26,55,0.320988,0.43477
2017-02,66,22,44,0.333333,0.453898
2017-03,100,35,65,0.35,0.440616
2017-04,109,41,68,0.376147,0.45363
2017-05,138,93,45,0.673913,0.522405
2017-06,36,31,5,0.861111,0.549357
2017-07,57,54,3,0.947368,0.556227
2017-08,73,60,13,0.821918,0.544227
2017-09,56,50,6,0.892857,0.563045
2017-10,75,70,5,0.933333,0.572917
2017-11,72,63,9,0.875,0.546903
2017-12,69,62,7,0.898551,0.570495
2018-01,55,45,10,0.818182,0.56096
2018-02,53,46,7,0.867925,0.553953
2018-03,39,34,5,0.871795,0.556958
2018-04,32,28,4,0.875,0.563705
2018-05,37,33,4,0.891892,0.566453
2018-06,66,56,10,0.848485,0.558011
2018-07,89,72,17,0.808989,0.548418
2018-08,37,19,18,0.513514,0.512979
2018-09,465,384,81,0.825806,0.535111
2018-10,138,113,25,0.818841,0.541452
2018-11,112,79,33,0.705357,0.541507
2018-12,94,84,10,0.893617,0.555414
2019-01,68,48,20,0.705882,0.538982
2019-02,85,66,19,0.776471,0.540165
2019-03,153,80,73,0.522876,0.505147
2019-04,235,127,108,0.540426,0.509123
2019-05,287,161,126,0.560976,0.508911
2019-06,184,84,100,0.456522,0.498505
2019-07,174,99,75,0.568966,0.507842
2019-08,184,93,91,0.505435,0.503704
2019-09,178,85,93,0.477528,0.496312
2019-10,147,80,67,0.544218,0.508243
2019-11,177,108,69,0.610169,0.514327
2019-12,175,120,55,0.685714,0.531058
2020-01,161,94,67,0.583851,0.516785
2020-02,174,113,61,0.649425,0.520798
2020-03,193,77,116,0.398964,0.490527
2020-04,279,133,146,0.476703,0.496331
2020-05,252,127,125,0.503968,0.501727
2020-06,145,48,97,0.331034,0.475423
2020-07,173,65,108,0.375723,0.482194
2020-08,253,141,112,0.557312,0.507879
2020-09,305,161,144,0.527869,0.500766
2020-10,556,224,332,0.402878,0.481989
2020-11,401,145,256,0.361596,0.476448
2020-12,357,208,149,0.582633,0.508638
2021-01,334,123,211,0.368263,0.474621
2021-02,506,230,276,0.454545,0.489067
2021-03,622,243,379,0.390675,0.482182
2021-04,575,227,348,0.394783,0.477441
2021-05,558,205,353,0.367384,0.473851
2021-06,662,246,416,0.371601,0.475957
