month_of_year,total_posts,humor_posts_t50,non_humor_posts_t50,humor_rate_t50,mean_humor_probability
1,4533,1622,2911,0.35782,0.474142
2,5244,2230,3014,0.425248,0.483978
3,5781,2282,3499,0.394741,0.479508
4,6277,2499,3778,0.39812,0.4786
5,6742,2693,4049,0.399436,0.481477
6,6030,2324,3706,0.385406,0.478343
7,5356,2320,3036,0.433159,0.485045
8,4860,2018,2842,0.415226,0.482185
9,6069,2556,3513,0.421157,0.48321
10,6741,2510,4231,0.372348,0.476237
11,5613,2248,3365,0.400499,0.481629
12,4793,2212,2581,0.461506,0.489102
