day_of_week,day_of_week_name,total_posts,humor_posts_t50,non_humor_posts_t50,humor_rate_t50,mean_humor_probability
0,Monday,11068,4553,6515,0.411366,0.482257
1,Tuesday,12755,4528,8227,0.354998,0.47317
2,Wednesday,13600,5181,8419,0.380956,0.476515
3,Thursday,12909,4859,8050,0.376404,0.477435
4,Friday,11441,4767,6674,0.416659,0.483031
5,Saturday,3335,1826,1509,0.547526,0.502788
6,Sunday,2931,1800,1131,0.614125,0.513823
