hour_of_day,total_posts,humor_posts_t50,non_humor_posts_t50,humor_rate_t50,mean_humor_probability
0,1377,753,624,0.546841,0.501205
1,1022,624,398,0.610568,0.509436
2,592,365,227,0.616554,0.511505
3,446,298,148,0.668161,0.51907
4,289,190,99,0.657439,0.518194
5,233,128,105,0.549356,0.50563
6,160,74,86,0.4625,0.492832
7,188,78,110,0.414894,0.480816
8,217,74,143,0.341014,0.470809
9,276,70,206,0.253623,0.461166
10,619,140,479,0.226171,0.44276
11,1119,214,905,0.191242,0.436106
12,2388,693,1695,0.290201,0.458954
13,5221,1772,3449,0.339399,0.470379
14,7441,2898,4543,0.389464,0.479277
15,7581,3164,4417,0.417359,0.48438
16,7441,3039,4402,0.408413,0.484293
17,6370,2696,3674,0.423234,0.484843
18,6042,2628,3414,0.434955,0.486252
19,5307,2113,3194,0.398153,0.480356
20,5083,1879,3204,0.369664,0.475196
21,3905,1492,2413,0.382074,0.477136
22,2634,1066,1568,0.404708,0.48127
23,2088,1066,1022,0.510536,0.496482
