day_of_month,total_posts,humor_posts_t50,non_humor_posts_t50,humor_rate_t50,mean_humor_probability
1,2288,946,1342,0.413462,0.482758
2,2065,832,1233,0.402906,0.478579
3,2151,858,1293,0.398884,0.479251
4,2154,882,1272,0.409471,0.481834
5,2419,1100,1319,0.454733,0.487101
6,2262,891,1371,0.393899,0.479298
7,2151,838,1313,0.389586,0.478424
8,2371,943,1428,0.397722,0.480712
9,2225,906,1319,0.407191,0.482929
10,2345,983,1362,0.41919,0.482976
11,2354,930,1424,0.395072,0.481312
12,2444,971,1473,0.3973,0.480592
13,2352,998,1354,0.42432,0.484772
14,2405,991,1414,0.412058,0.481789
15,2433,961,1472,0.394986,0.476991
16,2311,952,1359,0.411943,0.481735
17,2303,918,1385,0.398611,0.47815
18,2302,895,1407,0.388792,0.478681
19,2357,911,1446,0.386508,0.478825
20,2264,900,1364,0.397527,0.479862
21,2169,875,1294,0.403412,0.483326
22,2237,903,1334,0.403666,0.481862
23,2137,840,1297,0.393074,0.481994
24,2005,872,1133,0.434913,0.486093
25,1939,759,1180,0.391439,0.4777
26,2144,863,1281,0.402519,0.479551
27,2158,883,1275,0.409175,0.482039
28,2015,806,1209,0.4,0.479353
29,2071,823,1248,0.397393,0.480246
30,1976,750,1226,0.379555,0.477767
31,1232,534,698,0.433442,0.484928
