year,total_posts,humor_posts_t50,non_humor_posts_t50,humor_rate_t50,mean_humor_probability
2009,1,1,0,1.0,0.609307
2012,2,2,0,1.0,0.528768
2015,22,11,11,0.5,0.475282
2016,1075,363,712,0.337674,0.44834
2017,932,607,325,0.651288,0.509896
2018,1217,993,224,0.815941,0.543923
2019,2047,1151,896,0.562286,0.510675
2020,3249,1536,1713,0.472761,0.494802
2021,7314,2924,4390,0.399781,0.480217
2022,12523,4536,7987,0.362214,0.475709
2023,10774,4223,6551,0.391962,0.479284
2024,8895,3607,5288,0.405509,0.47991
2025,11729,4394,7335,0.374627,0.476377
2026,8259,3166,5093,0.383339,0.47851
