variable,coefficient,se,t_stat,p_value,significance,n,r2_within,fixed_effects,h3_status
(FE-absorbed constant),0.0,0.011647,0.0,1.0,,3532,0.0269,firm+period,confirmatory_candidate
aggressive_humor_usage_intensity,-1.64683,0.197729,-8.3287,0.0,***,3532,0.0269,firm+period,confirmatory_candidate
aggressive_humor_usage_intensity_sq,2.52619,0.284073,8.8928,0.0,***,3532,0.0269,firm+period,confirmatory_candidate
mean_text_length,9.1e-05,0.000279,0.3261,0.7444,,3532,0.0269,firm+period,confirmatory_candidate
mean_hashtag_count,-0.082002,0.028202,-2.9077,0.0037,***,3532,0.0269,firm+period,confirmatory_candidate
mean_mention_count,-0.042607,0.02616,-1.6287,0.1035,,3532,0.0269,firm+period,confirmatory_candidate
