metric,value
total_classified_rows,68039
fortune100_rows,65245
extra_rows_wendys_moonpie_etc,2794
presence_ok_all,68039
h1_sample_rows,68039
h1_humor_rows,25433
h1_non_humor_rows,42606
h2_fortune100_base_rows,68039
h2_sample_rows,68039
h2_aggressive_rows,1807
h2_affiliative_rows,13541
h2_non_humorous_rows,42606
h3_fortune100_h1_base,65245
h3_firm_month_rows,3532
h3_nonzero_aggressive_rows,747
training_data_source,batch1+batch2_combined
n_training_labels,1980
classifier,tfidf_logreg_domain_adapted_no_abstention
presence_threshold,0.50_argmax
type_assignment,argmax_always
