variant,class_label,token,feature,weight,rank_abs_weight,leakage_flag
original_text,affiliative,free,word__free medium,-0.028491,3,FAIL
original_text,affiliative,app,word__happy,0.124395,1,FAIL
original_text,affiliative,app,char__happ,0.084385,2,FAIL
original_text,affiliative,app,char__ happ,0.081543,3,FAIL
original_text,affiliative,drive thru,word__drive thru,0.00758,1,FAIL
original_text,affiliative,breakfast,word__off breakfast,0.032201,1,FAIL
original_text,affiliative,breakfast,word__with breakfast,0.030533,2,FAIL
original_text,affiliative,breakfast,word__breakfast sandwich,-0.030519,3,FAIL
original_text,affiliative,fries,word__soggy fries,-0.027394,1,FAIL
original_text,affiliative,fries,word__free fries,0.027336,2,FAIL
original_text,affiliative,fries,word__fries for,0.027232,3,FAIL
original_text,affiliative,chicken sandwich,word__chicken sandwich,0.010846,1,FAIL
original_text,affiliative,nuggets,word__4pc nuggets,0.020425,1,FAIL
original_text,affiliative,nuggets,word__nuggets,0.014154,2,FAIL
original_text,affiliative,nuggets,word__spicy nuggets,0.006937,3,FAIL
original_text,affiliative,deal,char__ deal,-0.012656,1,FAIL
original_text,affiliative,deal,word__big deal,-0.012573,2,FAIL
original_text,affiliative,deal,word__the deals,-0.011005,3,FAIL
original_text,affiliative,offer,char__offer,0.012563,1,FAIL
original_text,affiliative,offer,word__offering,0.005178,2,FAIL
original_text,affiliative,offer,word__offer,-0.004069,3,FAIL
original_text,self-enhancing,wendy,word__the wendy,-0.071279,1,FAIL
original_text,self-enhancing,wendy,word__wendysspicynuggs,0.056451,2,FAIL
original_text,self-enhancing,wendy,word__wendy app,-0.050101,3,FAIL
original_text,self-enhancing,wendys,word__wendysspicynuggs,0.056451,1,FAIL
original_text,self-enhancing,wendys,word__verified wendysspicynuggs,0.038775,2,FAIL
original_text,self-enhancing,wendys,word__wendys,-0.001863,3,FAIL
original_text,self-enhancing,wendy,word__the wendy,-0.071279,1,FAIL
original_text,self-enhancing,wendy,word__wendysspicynuggs,0.056451,2,FAIL
original_text,self-enhancing,wendy,word__wendy app,-0.050101,3,FAIL
original_text,self-enhancing,wendys,word__wendysspicynuggs,0.056451,1,FAIL
original_text,self-enhancing,wendys,word__verified wendysspicynuggs,0.038775,2,FAIL
original_text,self-enhancing,wendys,word__wendys,-0.001863,3,FAIL
original_text,self-enhancing,frosty,word__frosty,0.045261,1,FAIL
original_text,self-enhancing,frosty,word__mints frosty,-0.017862,2,FAIL
original_text,self-enhancing,frosty,word__vanilla frosty,0.007876,3,FAIL
original_text,self-enhancing,baconator,word__baconator,-0.023026,1,FAIL
original_text,self-enhancing,baconator,word__baconator with,0.008873,2,FAIL
original_text,self-enhancing,baconator,word__breakfast baconator,-0.006727,3,FAIL
original_text,self-enhancing,nuggs,word__wendysspicynuggs,0.056451,1,FAIL
original_text,self-enhancing,nuggs,word__nuggs,0.044295,2,FAIL
original_text,self-enhancing,nuggs,word__spicy nuggs,0.043209,3,FAIL
original_text,self-enhancing,nuggets,word__nuggets,-0.032192,1,FAIL
original_text,self-enhancing,nuggets,word__4pc nuggets,-0.013977,2,FAIL
original_text,self-enhancing,nuggets,word__spicy nuggets,0.004147,3,FAIL
original_text,self-enhancing,spicy nuggets,word__spicy nuggets,0.004147,1,FAIL
original_text,self-enhancing,dave,word__free dave,-0.028842,1,FAIL
original_text,self-enhancing,dave,word__dave,-0.023072,2,FAIL
original_text,self-enhancing,dave,word__dave single,-0.018459,3,FAIL
original_text,self-enhancing,breakfast baconator,word__breakfast baconator,-0.006727,1,FAIL
original_text,self-enhancing,burger king,word__burger king,-0.030475,1,FAIL
original_text,self-enhancing,mcdonald,word__mcdonald,-0.026518,1,FAIL
original_text,self-enhancing,mcdonald,word__mcdonald announced,-0.017702,2,FAIL
original_text,self-enhancing,clown,word__clowns,-0.030191,1,FAIL
original_text,self-enhancing,roast,word__nationalroastday,-0.113537,1,FAIL
original_text,self-enhancing,roast,word__roasted,0.048271,2,FAIL
original_text,self-enhancing,roast,char__roast,-0.045451,3,FAIL
original_text,self-enhancing,roasting,word__roasting,-0.036106,1,FAIL
original_text,self-enhancing,free,word__free drink,0.059429,1,FAIL
