experiment,variant,feature_type,n_rows,n_seeds,pr_auc_mean,pr_auc_std,f1_mean,precision_mean,recall_mean,diagnostic_note
feature_type_comparison,original_text,word_only,926,10,0.3839,0.0692,0.2354,0.3992,0.1701,word_only drops char n-grams; detects source-cue leakage via char patterns
feature_type_comparison,original_text,word_char,926,10,0.4497,0.0765,0.3615,0.4506,0.3064,word_only drops char n-grams; detects source-cue leakage via char patterns
feature_type_comparison,mask_all_leakage_groups,word_only,926,10,0.3994,0.0715,0.2685,0.435,0.1975,word_only drops char n-grams; detects source-cue leakage via char patterns
feature_type_comparison,mask_all_leakage_groups,word_char,926,10,0.4582,0.0867,0.3759,0.4528,0.3259,word_only drops char n-grams; detects source-cue leakage via char patterns
