fortune_rank,firm_name,direct_x_profile_url,attempted_at,status,direct_profile_exists,error_type,error_message,page_title,current_url,elapsed_seconds,notes
1,Amazon,https://x.com/amazon,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Amazon (@amazon) / X,https://x.com/amazon,2.216,Direct X profile markers were detected. This does not prove official corporate ownership.
2,Walmart,https://x.com/walmart,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Walmart (@Walmart) / X,https://x.com/walmart,2.274,Direct X profile markers were detected. This does not prove official corporate ownership.
3,UnitedHealth Group,https://x.com/unitedhealthgroup,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/unitedhealthgroup,2.444,Direct X URL rendered a not-found/unavailable account message.
4,Apple,https://x.com/apple,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Apple (@Apple) / X,https://x.com/apple,1.997,Direct X profile markers were detected. This does not prove official corporate ownership.
5,Alphabet,https://x.com/alphabet,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Chris Andrikanich (@alphabet) / X,https://x.com/alphabet,1.956,Direct X profile markers were detected. This does not prove official corporate ownership.
6,CVS Health,https://x.com/cvshealth,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,CVS Health (@CVSHealth) / X,https://x.com/cvshealth,2.171,Direct X profile markers were detected. This does not prove official corporate ownership.
7,Berkshire Hathaway,https://x.com/berkshirehathaway,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/berkshirehathaway,1.749,Direct X URL rendered a not-found/unavailable account message.
8,McKesson,https://x.com/mckesson,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,McKesson Corporation (@McKesson) / X,https://x.com/mckesson,1.805,Direct X profile markers were detected. This does not prove official corporate ownership.
9,Exxon Mobil,https://x.com/exxonmobil,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,ExxonMobil (@exxonmobil) / X,https://x.com/exxonmobil,1.771,Direct X profile markers were detected. This does not prove official corporate ownership.
10,Cencora,https://x.com/cencora,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/cencora,1.698,Direct X URL rendered a not-found/unavailable account message.
11,Microsoft,https://x.com/microsoft,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Microsoft (@Microsoft) / X,https://x.com/microsoft,1.866,Direct X profile markers were detected. This does not prove official corporate ownership.
12,JPMorgan Chase,https://x.com/jpmorganchase,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,JPMorgan Chase (@jpmorganchase) / X,https://x.com/jpmorganchase,1.734,Direct X profile markers were detected. This does not prove official corporate ownership.
13,Costco Wholesale,https://x.com/costcowholesale,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Profile / X,https://x.com/costcowholesale,1.714,Direct X profile markers were detected. This does not prove official corporate ownership.
14,Cigna Group,https://x.com/cignagroup,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Cigna Medical Group (@CignaGroup) / X,https://x.com/cignagroup,1.723,Direct X profile markers were detected. This does not prove official corporate ownership.
15,Cardinal Health,https://x.com/cardinalhealth,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Cardinal Health (@cardinalhealth) / X,https://x.com/cardinalhealth,1.757,Direct X profile markers were detected. This does not prove official corporate ownership.
16,Nvidia,https://x.com/nvidia,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,NVIDIA (@nvidia) / X,https://x.com/nvidia,1.777,Direct X profile markers were detected. This does not prove official corporate ownership.
17,Meta Platforms,https://x.com/metaplatforms,2026-06-10T10:00:52+00:00,ambiguous_render,unknown,,,Profile / X,https://x.com/metaplatforms,1.730,X page rendered but profile/not-found markers were inconclusive.
18,Elevance Health,https://x.com/elevancehealth,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Elevance Health (@ElevanceHealth) / X,https://x.com/elevancehealth,1.793,Direct X profile markers were detected. This does not prove official corporate ownership.
19,Centene,https://x.com/centene,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Centene (@Centene) / X,https://x.com/centene,1.807,Direct X profile markers were detected. This does not prove official corporate ownership.
20,Bank of America,https://x.com/bankofamerica,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Bank of America (@BankofAmerica) / X,https://x.com/bankofamerica,1.855,Direct X profile markers were detected. This does not prove official corporate ownership.
21,Chevron,https://x.com/chevron,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Chevron (@Chevron) / X,https://x.com/chevron,1.859,Direct X profile markers were detected. This does not prove official corporate ownership.
22,Ford Motor,https://x.com/fordmotor,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,FairWinds Recovery (@FordMotor) / X,https://x.com/fordmotor,1.771,Direct X profile markers were detected. This does not prove official corporate ownership.
23,General Motors,https://x.com/generalmotors,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,General Motors (@generalmotors) / X,https://x.com/generalmotors,1.717,Direct X profile markers were detected. This does not prove official corporate ownership.
24,Citigroup,https://x.com/citigroup,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Citigroup (@Citigroup) / X,https://x.com/citigroup,1.724,Direct X profile markers were detected. This does not prove official corporate ownership.
25,Home Depot,https://x.com/homedepot,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,The Home Depot (@HomeDepot) / X,https://x.com/homedepot,1.770,Direct X profile markers were detected. This does not prove official corporate ownership.
26,Fannie Mae,https://x.com/fanniemae,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Fannie Mae (@FannieMae) / X,https://x.com/fanniemae,1.808,Direct X profile markers were detected. This does not prove official corporate ownership.
27,Kroger,https://x.com/kroger,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Kroger (@kroger) / X,https://x.com/kroger,1.753,Direct X profile markers were detected. This does not prove official corporate ownership.
28,Verizon Communications,https://x.com/verizoncommunications,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/verizoncommunications,1.891,Direct X URL rendered a not-found/unavailable account message.
29,Phillips 66,https://x.com/phillips66,2026-06-10T10:00:52+00:00,profile_accessible,yes,,,Phillips 66 (@Phillips66) / X,https://x.com/phillips66,1.722,Direct X profile markers were detected. This does not prove official corporate ownership.
30,Marathon Petroleum,https://x.com/marathonpetroleum,2026-06-10T10:00:52+00:00,not_found,no,,,Profile / X,https://x.com/marathonpetroleum,1.690,Direct X URL rendered a not-found/unavailable account message.
