bin,count,share
0.0-0.1,0,0.0000
0.1-0.2,0,0.0000
0.2-0.3,0,0.0000
0.3-0.4,0,0.0000
0.4-0.5,26,0.2600
0.5-0.6,74,0.7400
0.6-0.7,0,0.0000
0.7-0.8,0,0.0000
0.8-0.9,0,0.0000
0.9-1.0,0,0.0000
