fortune_rank,company_name,official_x_handle,folder,attempted,status,posts_collected,error_type,error_message,started_at,completed_at
87,Tyson Foods,@tysonfoods,data/raw/fortune_x_2025_ranked/087_tyson_foods,true,success,15,,,2026-06-12T17:12:41.134352+00:00,2026-06-12T17:12:49.121050+00:00
88,Intel,@intel,data/raw/fortune_x_2025_ranked/088_intel,true,success,15,,,2026-06-12T17:13:25.368311+00:00,2026-06-12T17:13:31.560271+00:00
89,Enterprise Products Partners,@EProd_Careers,data/raw/fortune_x_2025_ranked/089_enterprise_products_partners,true,success,15,,,2026-06-12T17:13:30.957211+00:00,2026-06-12T17:13:37.911268+00:00
90,Ingram Micro Holding,@IngramMicroInc,data/raw/fortune_x_2025_ranked/090_ingram_micro_holding,true,success,15,,,2026-06-12T17:14:08.500783+00:00,2026-06-12T17:14:14.469004+00:00
91,General Dynamics,@generaldynamics,data/raw/fortune_x_2025_ranked/091_general_dynamics,true,success,15,,,2026-06-12T17:14:15.784021+00:00,2026-06-12T17:14:22.225223+00:00
92,Uber Technologies,@Uber,data/raw/fortune_x_2025_ranked/092_uber_technologies,true,success,15,,,2026-06-12T17:14:48.899270+00:00,2026-06-12T17:14:55.004489+00:00
93,USAA,@usaa,data/raw/fortune_x_2025_ranked/093_usaa,true,success,15,,,2026-06-12T17:14:57.831634+00:00,2026-06-12T17:15:03.710054+00:00
94,TIAA,@tiaa,data/raw/fortune_x_2025_ranked/094_tiaa,true,success,15,,,2026-06-12T17:15:34.142282+00:00,2026-06-12T17:15:40.289579+00:00
95,Liberty Mutual Insurance Group,@LibertyMutual,data/raw/fortune_x_2025_ranked/095_liberty_mutual_insurance_group,true,success,15,,,2026-06-12T17:15:41.947921+00:00,2026-06-12T17:15:47.939619+00:00
96,Travelers,@travelers,data/raw/fortune_x_2025_ranked/096_travelers,true,success,15,,,2026-06-12T17:16:27.653056+00:00,2026-06-12T17:16:33.430650+00:00
97,Bristol-Myers Squibb,@bmsnews,data/raw/fortune_x_2025_ranked/097_bristol_myers_squibb,true,success,15,,,2026-06-12T17:16:25.920410+00:00,2026-06-12T17:16:31.985108+00:00
98,Coca-Cola,@cocacola,data/raw/fortune_x_2025_ranked/098_coca_cola,true,success,15,,,2026-06-12T17:17:10.292170+00:00,2026-06-12T17:17:16.761293+00:00
99,Nike,@nike,data/raw/fortune_x_2025_ranked/099_nike,true,success,15,,,2026-06-12T17:17:13.669294+00:00,2026-06-12T17:17:19.829316+00:00
100,Massachusetts Mutual Life,@massmutual,data/raw/fortune_x_2025_ranked/100_massachusetts_mutual_life,true,failed,0,collector_failed," exception occurred:  Traceback (most recent call last):   File ""/home/runner/work/x_scrapper/x_scrapper/scrape_x.py"", line 20, in <module>     asyncio.run(scrape_profile())   File ""/opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/asyncio/runners.py"", line 190, in run     return runner.run(main)            ^^^^^^^^^^^^^^^^   File ""/opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/asyncio/runners.py"", line 118, in run     return self._loop.run_until_complete(task)            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^   File ""/opt/hostedtoolcache/Python/3.11.15/x64/lib/python3.11/asyncio/base_events.py"", line 654, in run_until_complete     return future.result()            ^^^^^^^^^^^^^^^   File ""/home/runner/work/x_scrapper/x_scrapper/src/x_scrapper/collection/x_scraper.py"", line 257, in scrape_profile     raise RuntimeError( RuntimeError: X profile did not render tweets. url=https://x.com/massmutual, title=MassMutual (@massmutual) / X. 쿠키가 만료됐거나 GitHub Actions 접속이 X에서 차단됐을 수 있습니다. ",2026-06-12T17:18:12.282575+00:00,2026-06-12T17:27:17.609687+00:00
