fortune_rank,company_name,handle,sample_group,status,attempts,previous_posts,final_posts,new_unique_posts,merge_added_posts,existing_id_count,new_posts_collected,known_posts_seen,stopped_on_existing,stop_reason,scrolls_completed,last_error
22,Ford Motor,@Ford,fortune_top100_ranked,failed_skipped,1,232,232,0,0,232,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
34,Humana,@humana,fortune_top100_ranked,failed_skipped,1,758,758,0,0,758,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
46,PepsiCo,@pepsico,fortune_top100_ranked,failed_skipped,1,817,817,0,0,817,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
58,Archer Daniels Midland,@ADMupdates,fortune_top100_ranked,failed_skipped,1,226,226,0,0,226,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
70,Broadcom,@broadcom,fortune_top100_ranked,failed_skipped,1,184,184,0,0,184,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
89,Enterprise Products Partners,@EProd_Careers,fortune_top100_ranked,failed_skipped,1,761,761,0,0,761,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
benchmark,Wendy's,@Wendys,benchmark_aggressive_wendys,failed_skipped,1,978,978,0,0,978,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
11,Microsoft,@microsoft,fortune_top100_ranked,failed_skipped,1,666,666,0,0,666,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
23,General Motors,@GM,fortune_top100_ranked,failed_skipped,1,694,694,0,0,694,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
90,Ingram Micro Holding,@IngramMicroInc,fortune_top100_ranked,failed_skipped,1,177,177,0,0,177,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
benchmark,MoonPie,@MoonPie,benchmark_self_defeating_moonpie,failed_skipped,1,932,932,0,0,932,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
