fortune_rank,company_name,handle,sample_group,status,attempts,previous_posts,final_posts,new_unique_posts,merge_added_posts,existing_id_count,new_posts_collected,known_posts_seen,stopped_on_existing,stop_reason,scrolls_completed,last_error
1,Amazon,@amazon,fortune_top100_ranked,success,1,1086,1099,13,13,1086,13,90,True,existing_threshold_reached,10,
16,Nvidia,@nvidia,fortune_top100_ranked,success,1,1129,1144,15,15,1129,15,66,True,existing_threshold_reached,12,
28,Verizon Communications,@Verizon,fortune_top100_ranked,success,1,43,45,2,2,43,2,43,False,idle_limit_reached,60,
40,Valero Energy,@valeroenergy,fortune_top100_ranked,success,1,186,186,0,0,186,0,39,True,existing_threshold_reached,3,
52,Lowe's,@lowes,fortune_top100_ranked,success,1,908,909,1,1,908,1,66,True,existing_threshold_reached,9,
64,Allstate,@allstate,fortune_top100_ranked,success,1,569,569,0,0,569,0,60,True,existing_threshold_reached,3,
76,Galaxy Digital,@galaxydigital,fortune_top100_ranked,success,1,137,137,0,0,137,0,50,True,existing_threshold_reached,3,
88,Intel,@intel,fortune_top100_ranked,success,1,288,292,4,4,288,4,71,True,existing_threshold_reached,10,
100,Massachusetts Mutual Life,@massmutual,fortune_top100_ranked,success,1,859,859,0,0,859,0,46,True,existing_threshold_reached,4,
2,Walmart,@walmart,fortune_top100_ranked,success,1,842,842,0,0,842,0,42,True,existing_threshold_reached,4,
17,Meta Platforms,@Meta,fortune_top100_ranked,success,1,151,151,0,0,151,0,45,True,existing_threshold_reached,3,
29,Phillips 66,@phillips66,fortune_top100_ranked,success,1,684,684,0,0,684,0,0,False,profile_no_visible_posts,0,
41,Dell Technologies,@Dell,fortune_top100_ranked,success,1,726,732,6,6,726,6,57,True,existing_threshold_reached,9,
53,Energy Transfer,@energytransfer,fortune_top100_ranked,success,1,697,705,8,8,697,8,57,True,existing_threshold_reached,4,
65,Caterpillar,@CaterpillarInc,fortune_top100_ranked,success,1,891,891,0,0,891,0,52,True,existing_threshold_reached,4,
77,AbbVie,@abbvie,fortune_top100_ranked,success,1,839,841,2,2,839,2,60,True,existing_threshold_reached,8,
89,Enterprise Products Partners,@EProd_Careers,fortune_top100_ranked,success,1,761,761,0,0,761,0,41,True,existing_threshold_reached,4,
benchmark,Wendy's,@Wendys,benchmark_aggressive_wendys,success,1,978,978,0,0,978,0,41,True,existing_threshold_reached,4,
14,Cigna Group,@TheCignaGroup,fortune_top100_ranked,success,1,586,586,0,0,586,0,41,True,existing_threshold_reached,4,
26,Fannie Mae,@fanniemae,fortune_top100_ranked,failed_skipped,1,600,600,0,0,600,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
38,Wells Fargo,@wellsfargo,fortune_top100_ranked,failed_skipped,1,256,256,0,0,256,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
50,FedEx,@fedex,fortune_top100_ranked,failed_skipped,1,882,882,0,0,882,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
62,New York Life Insurance,@NewYorkLife,fortune_top100_ranked,failed_skipped,1,456,456,0,0,456,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
74,TD Synnex,@tdsynnex,fortune_top100_ranked,failed_skipped,1,488,488,0,0,488,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
86,American Airlines Group,@AmericanAir,fortune_top100_ranked,failed_skipped,1,188,188,0,0,188,0,0,False,render_failure,0,"Command '['/opt/hostedtoolcache/Python/3.11.15/x64/bin/python', '/home/runner/work/x_scrapper/x_scrapper/scrape_x.py']' returned non-zero exit status 1."
98,Coca-Cola,@cocacola,fortune_top100_ranked,success,1,158,158,0,0,158,0,43,True,existing_threshold_reached,4,
15,Cardinal Health,@cardinalhealth,fortune_top100_ranked,success,1,520,520,0,0,520,0,44,True,existing_threshold_reached,6,
27,Kroger,@kroger,fortune_top100_ranked,success,1,890,890,0,0,890,0,74,True,existing_threshold_reached,3,
39,Morgan Stanley,@morganstanley,fortune_top100_ranked,success,1,846,850,4,4,846,4,55,True,existing_threshold_reached,8,
51,Progressive,@progressive,fortune_top100_ranked,success,1,170,170,0,0,170,0,39,True,existing_threshold_reached,4,
63,Capital One Financial,@CapitalOne,fortune_top100_ranked,success,1,628,628,0,0,628,0,34,True,existing_threshold_reached,5,
75,ConocoPhillips,@conocophillips,fortune_top100_ranked,success,1,942,944,2,2,942,2,61,True,existing_threshold_reached,9,
87,Tyson Foods,@tysonfoods,fortune_top100_ranked,success,1,1081,1082,1,1,1081,1,59,True,existing_threshold_reached,5,
99,Nike,@nike,fortune_top100_ranked,success,1,192,192,0,0,192,0,44,True,existing_threshold_reached,5,
