model,eval_mode,macro_f1,weighted_f1,overall_accuracy,n_labeled_humor_posts,wendys_transfer_baseline_macro_f1,improves_over_wendys_baseline,provisional_macro_f1_threshold,aggressive_precision,aggressive_recall,aggressive_f1,affiliative_precision,affiliative_recall,affiliative_f1,self_enhancing_precision,self_enhancing_recall,self_enhancing_f1,self_defeating_precision,self_defeating_recall,self_defeating_f1,aggressive_meets_provisional_precision,label_dist
logreg_type,stratified_5fold_cv,0.3445,0.5082,0.5212,848,0.3448,no,0.3448,0.1628,0.1014,0.125,0.5831,0.6462,0.6131,0.4913,0.4956,0.4934,0.3,0.0968,0.1463,no (provisional),"{'self_enhancing': 341, 'aggressive': 69, 'self_defeating': 31, 'affiliative': 407}"
linearsvc_type,stratified_5fold_cv,0.2709,0.486,0.5366,848,0.3448,no,0.3448,0.0,0.0,0.0,0.5386,0.8059,0.6457,0.5314,0.3724,0.4379,0.0,0.0,0.0,no (provisional),"{'self_enhancing': 341, 'aggressive': 69, 'self_defeating': 31, 'affiliative': 407}"
