model,eval_mode,accuracy,precision,recall,f1,auc,n_labeled,humor_count,non_humor_count,provisional_auc_threshold,meets_provisional_auc
logreg,random_5fold_cv,0.7217,0.6714,0.6887,0.6792,0.7909,1980,848,1132,0.75,yes
logreg,firm_held_out,0.69,,,0.4962,,1980,,,,
linearsvc_calibrated,random_5fold_cv,0.701,0.6745,0.5861,0.6254,0.7752,1980,848,1132,0.75,yes
linearsvc_calibrated,firm_held_out,0.702,,,0.3295,,1980,,,,
